country,t,pair,u_basis,geo_level,threshold_a,threshold_b,n_cells,n_items,n_geos,median_gap,iqr_gap,share_abs_gap_gt_log1p5,coef_within,se_within,coef_between,se_between,r2_fe,resid_sd,claim_30_50
Tanzania,2020-21,unit_value_vs_community_price,native,national,10,1,17,15,1,-0.1256572141404524,0.6286086594223743,0.47058823529411764,,,0.06334946536126224,0.09976012753283978,,,False
Tanzania,2019-20,unit_value_vs_community_price,native,all,5,1,109,23,39,0.0,0.20499524185352413,0.1559633027522936,-0.3351058054305419,0.1552069993470367,-0.6334333855613851,0.21261053363625657,0.9758600676524989,0.19324484798516,False
Tanzania,2019-20,unit_value_vs_community_price,native,District,5,1,10,5,7,-0.08916873598468289,0.19097424042419897,0.2,,,,,,,False
Tanzania,2019-20,unit_value_vs_community_price,native,national,5,1,8,8,1,0.4337502838523615,3.6374673107146505,0.625,,,-1.0419927460739977,0.3635938109021836,,,False
Tanzania,2019-20,unit_value_vs_community_price,native,v,5,1,91,10,31,0.0,0.18647095820130222,0.10989010989010989,-0.3351058054305414,0.15520699934703208,-0.12587798089802746,0.048979428089595156,0.6163075242144933,0.1872357609391765,False
Tanzania,2020-21,unit_value_vs_community_price,native,all,5,1,101,29,14,0.0,0.14619029661666705,0.1782178217821782,-1.0634136081639585,0.2476258728621783,-0.29464004048078557,0.14631075131211704,0.48082076089049486,0.6743522043317594,False
Tanzania,2020-21,unit_value_vs_community_price,native,District,5,1,80,16,11,0.0,0.12069193303349035,0.1125,-0.9526291046657251,0.12508235987297703,-0.2152766635427049,0.16274245591762265,0.4968088435245742,0.30398832967628975,False
Tanzania,2020-21,unit_value_vs_community_price,native,Region,5,1,11,10,2,0.0,0.23300977221057328,0.18181818181818182,,,-0.27185879328349444,0.2761586096791946,,,False
Tanzania,2020-21,unit_value_vs_community_price,native,national,5,1,10,9,1,-0.1311821322337452,1.0320239520110666,0.7,,,0.0010287510522641757,0.21999125421549384,,,False
Tanzania,2019-20,unit_value_vs_crop_sale_price,kg,all,10,10,10,10,2,1.1231089024693879,0.5667414202776568,1.0,,,-0.40527803620807534,0.29279159384840564,,,False
Tanzania,2019-20,unit_value_vs_crop_sale_price,kg,Region,10,10,1,1,1,2.233403221315844,0.0,1.0,,,,,,,False
Tanzania,2019-20,unit_value_vs_crop_sale_price,kg,national,10,10,9,9,1,0.9896790415614278,0.5798184952529422,1.0,,,-0.40527803620807545,0.29279159384840564,,,False
Tanzania,2020-21,unit_value_vs_crop_sale_price,kg,all,10,10,15,12,6,0.8084090098658612,0.5307160794750367,0.9333333333333333,,,-0.07481401822298055,0.3232673538672005,,,False
Tanzania,2020-21,unit_value_vs_crop_sale_price,kg,Region,10,10,6,3,5,0.5333527778670435,0.4793035239263532,1.0,,,,,,,False
Tanzania,2020-21,unit_value_vs_crop_sale_price,kg,national,10,10,9,9,1,0.896271864983663,0.35034938516195346,0.8888888888888888,,,0.25730610745453275,0.22353748790261135,,,False
Tanzania,2019-20,unit_value_vs_crop_sale_price,kg,all,5,5,14,12,6,1.2656306744200672,1.002318327526453,0.9285714285714286,,,0.5433134964906662,0.6407623734111764,,,False
Tanzania,2019-20,unit_value_vs_crop_sale_price,kg,District,5,5,1,1,1,0.00206185859193031,0.0,0.0,,,,,,,False
Tanzania,2019-20,unit_value_vs_crop_sale_price,kg,Region,5,5,6,4,4,1.6648692088400052,0.8764817228352881,1.0,,,,,,,False
Tanzania,2019-20,unit_value_vs_crop_sale_price,kg,national,5,5,7,7,1,0.9896790415614278,0.6267079949204448,1.0,,,,,,,False
Tanzania,2020-21,unit_value_vs_crop_sale_price,kg,all,5,5,19,14,8,0.9870405130110047,0.7734504618548379,0.8947368421052632,,,0.6828276333671662,0.39858969551325074,,,False
Tanzania,2020-21,unit_value_vs_crop_sale_price,kg,District,5,5,1,1,1,0.27398258535772335,0.0,0.0,,,,,,,True
Tanzania,2020-21,unit_value_vs_crop_sale_price,kg,Region,5,5,13,8,6,1.1223288152854254,0.9718605830289659,1.0,,,-0.38770869854523615,0.4308640051618622,,,False
Tanzania,2020-21,unit_value_vs_crop_sale_price,kg,national,5,5,5,5,1,0.896271864983663,0.13219325492412892,0.8,,,,,,,False
Tanzania,2019-20,community_price_vs_crop_sale_price,kg,all,1,10,13,12,4,1.2080635671965876,0.9988749706580071,0.7692307692307693,,,-0.21820123754017426,0.3706488604037559,,,False
Tanzania,2019-20,community_price_vs_crop_sale_price,kg,District,1,10,1,1,1,0.2623642644674913,0.0,0.0,,,,,,,True
Tanzania,2019-20,community_price_vs_crop_sale_price,kg,Region,1,10,3,2,2,2.107936049891734,0.8004306864104875,1.0,,,,,,,False
Tanzania,2019-20,community_price_vs_crop_sale_price,kg,national,1,10,9,9,1,1.2080635671965876,0.8209805520698303,0.7777777777777778,,,0.04551953495747445,0.43891591244472683,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,kg,all,1,10,17,13,12,0.8066031838936345,0.9422344336661608,0.7058823529411765,,,,,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,kg,District,1,10,9,5,8,0.7436101398549262,1.0000710418811938,0.5555555555555556,,,,,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,kg,Region,1,10,2,2,2,0.71419169314035,0.09241149075328448,1.0,,,,,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,kg,national,1,10,5,5,1,1.015325688755202,0.1592126247928336,1.0,,,,,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,kg,v,1,10,1,1,1,0.04082199452025481,0.0,0.0,,,,,,,False
Tanzania,2019-20,community_price_vs_crop_sale_price,kg,all,1,5,17,12,11,0.41966484536901216,0.9456993027290963,0.5294117647058824,,,0.06505992085800831,0.22702726686005417,,,False
Tanzania,2019-20,community_price_vs_crop_sale_price,kg,District,1,5,7,5,4,0.2623642644674913,0.8254537847251466,0.42857142857142855,,,,,,,True
Tanzania,2019-20,community_price_vs_crop_sale_price,kg,Region,1,5,6,3,6,0.36998607256843474,0.434105645916983,0.5,,,,,,,True
Tanzania,2019-20,community_price_vs_crop_sale_price,kg,national,1,5,4,4,1,1.053502830368065,0.4402074986768352,0.75,,,,,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,kg,all,1,5,39,14,33,0.5389965007326873,0.7936960453700808,0.6410256410256411,,,0.23664226015513729,0.1592305216587779,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,kg,District,1,5,8,4,7,0.7878139092983059,0.45254491718655565,1.0,,,,,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,kg,Region,1,5,5,2,5,0.5952753919971476,0.6986482362313984,0.8,,,,,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,kg,national,1,5,3,3,1,1.015325688755202,0.1832687080842299,1.0,,,,,,,False
Tanzania,2020-21,community_price_vs_crop_sale_price,kg,v,1,5,23,5,20,0.04082199452025481,0.6363685391289433,0.43478260869565216,,,,,,,False
Tanzania,2019-20,unit_value_vs_community_price,kg,all,10,1,131,32,28,0.0,0.32791563512438016,0.2595419847328244,-1.724098262436989,0.35746288916461416,-0.045958424396952795,0.05445694081696078,0.5749315132427444,0.3354052725801482,False
Tanzania,2019-20,unit_value_vs_community_price,kg,District,10,1,110,17,19,0.0,0.3240410194219907,0.24545454545454545,-1.7247747606963435,0.3610072774940484,-0.041105051962524064,0.07051397927764036,0.5635267649720037,0.3284173109781477,False
Tanzania,2019-20,unit_value_vs_community_price,kg,Region,10,1,8,5,6,0.16826162721323534,0.2536908444688908,0.25,,,,,,,False
Tanzania,2019-20,unit_value_vs_community_price,kg,national,10,1,6,6,1,-0.2267844651858053,0.39899796840600565,0.5,,,,,,,False
Tanzania,2019-20,unit_value_vs_community_price,kg,v,10,1,7,4,3,0.0,0.01027507824047591,0.2857142857142857,,,,,,,False
Tanzania,2020-21,unit_value_vs_community_price,kg,all,10,1,96,31,12,0.0,0.15044287870033024,0.10416666666666667,-0.4343436052919579,0.3045131142928719,-0.08413964840839358,0.02346161001790651,0.6676951457209944,0.18807465236516852,False
Tanzania,2020-21,unit_value_vs_community_price,kg,District,10,1,78,15,8,0.0,0.13153823889415883,0.08974358974358974,-0.4343436052919568,0.3045131142928787,-0.09535875768798051,0.02496881726816982,0.548534807412736,0.18455892830076773,False
Tanzania,2020-21,unit_value_vs_community_price,kg,Region,10,1,7,5,3,0.03571808260207909,0.42148255768376064,0.2857142857142857,,,,,,,False
Tanzania,2020-21,unit_value_vs_community_price,kg,national,10,1,11,11,1,-0.04894314757096474,0.20174914090341867,0.09090909090909091,,,-0.03182324871423097,0.06926930349617294,,,False
Tanzania,2019-20,unit_value_vs_community_price,kg,all,5,1,256,32,50,0.0,0.29134526226860835,0.265625,-1.3851392263303233,0.3912199063879723,0.030976091562764835,0.036194029305287895,0.27471111962516526,0.3682044737609319,False
Tanzania,2019-20,unit_value_vs_community_price,kg,District,5,1,34,10,13,0.0,0.538577503507792,0.35294117647058826,-0.906621638345459,0.18866358680752424,-0.19560181798685414,0.1593060399789415,0.6811635435834598,0.38145570648715266,False
Tanzania,2019-20,unit_value_vs_community_price,kg,Region,5,1,3,2,2,0.09531017980432477,0.3715580091140662,0.3333333333333333,,,,,,,False
Tanzania,2019-20,unit_value_vs_community_price,kg,national,5,1,2,2,1,-0.5920375229752244,0.09541163647008322,1.0,,,,,,,False
Tanzania,2019-20,unit_value_vs_community_price,kg,v,5,1,217,18,34,0.0,0.28979494884896884,0.24423963133640553,-1.4122800298990408,0.4095045224595539,0.04029012980539513,0.0399294632115865,0.2290332569816934,0.3638815475415295,False
Tanzania,2020-21,unit_value_vs_community_price,kg,all,5,1,162,32,14,0.0,0.18174480000242155,0.12962962962962962,-0.1962302348284683,0.1188559374537941,-0.08448396513055746,0.02169681823738989,0.5511888939210209,0.20200765071094678,False
Tanzania,2020-21,unit_value_vs_community_price,kg,District,5,1,155,25,12,0.0,0.1711906077563885,0.13548387096774195,-0.19623023482846805,0.11885593745379347,-0.09174710859087676,0.021910716895998255,0.5376269161455249,0.2002736473817063,False
Tanzania,2020-21,unit_value_vs_community_price,kg,Region,5,1,1,1,1,-0.14454985675419607,0.0,0.0,,,,,,,False
Tanzania,2020-21,unit_value_vs_community_price,kg,national,5,1,6,6,1,0.0,0.15496036677239045,0.0,,,,,,,False
