,,,purchased_price,produced_price
Central,Cigarette,Stick,0.3,
Central,Cocoa (milk powder beverages),Balls,0.5,
Central,Cocoa (milk powder beverages),Blister / Strip,5.5,
Central,Cocoa (milk powder beverages),Bundle,0.2,
Central,Cocoa (milk powder beverages),Gram,0.02525,
Central,Cocoa (milk powder beverages),Heap,0.2,
Central,Cocoa (milk powder beverages),Kilogram,0.0275,
Central,Cocoa (milk powder beverages),Loaf,1.0,
Central,Cocoa (milk powder beverages),Other unit,0.5,
Central,Cocoa (milk powder beverages),Packet,6.9,
Central,Cocoa (milk powder beverages),Piece,0.55,
Central,Cocoa (milk powder beverages),Pound,5.5,
Central,Cocoa (milk powder beverages),Satchet,1.0,
Central,Cocoa (milk powder beverages),Single,1.0,
Central,Cocoa (milk powder beverages),Tin,12.0,
Central,Cocoa Powder,Gram,0.024444444444444446,
Central,Cocoa Powder,Piece,0.5,
Central,Cocoa Powder,Satchet,7.0,
Central,Cocoa Powder,Tin,13.5,
Central,Coconut (dried),Single,1.0,
Central,Coconut (fresh),Heap,2.0,
Central,Coconut (fresh),Piece,0.5,
Central,Coconut (fresh),Single,1.0,0.5
Central,Cocoyam,Basket,5.0,8.0
Central,Cocoyam,Bowl,5.0,17.5
Central,Cocoyam,Box/Carton,,60.0
Central,Cocoyam,Bucket,4.0,
Central,Cocoyam,Heap,5.0,5.0
Central,Cocoyam,Piece,0.5,
Central,Cocoyam,Single,0.3333333333333333,
Central,Cocoyam,Tubers,0.225,
Central,Cocoyam Leaves,American Tin (Olonka),1.0,
Central,Cocoyam Leaves,Basket,0.5,
Central,Cocoyam Leaves,Bowl,3.0,
Central,Cocoyam Leaves,Bunch,1.0,
Central,Cocoyam Leaves,Bundle,1.0,
Central,Cocoyam Leaves,Heap,1.0,
Central,Cocoyam Leaves,Rolls,1.0,
Central,Cocoyam Leaves,Single,1.0,
Central,Coffee,Satchet,0.5,
Central,Coffee,Single,0.55,
Central,Condiments,Box/Carton,8.5,
Central,Condiments,Gram,0.02,
Central,Condiments,Heap,0.5,
Central,Condiments,Millilitre,0.225,
Central,Condiments,Other unit,0.41666666666666663,
Central,Condiments,Packet,1.0,
Central,Condiments,Piece,0.2,
Central,Condiments,Satchet,0.5,
Central,Condiments,Single,0.2,
Central,Condiments,Tot (25mls),0.02,
Central,Corflake,Packet,5.0,
Central,Corflake,Single,6.0,
Central,Cowpea,American Tin (Olonka),10.0,
Central,Cowpea,Bowl,15.0,6.0
Central,Cowpea,Gram,0.01,
Central,Cowpea,Heap,2.5,
Central,Cowpea,Margarin tin,2.0,2.0
Central,Cowpea,Piece,1.0,
Central,Cowpea,Tin,3.0,
Central,Crab,Basket,2.0,
Central,Crab,Bowl,5.0,
Central,Crab,Heap,2.5,
Central,Crab,Piece,0.2583333333333333,
Central,Crab,Single,0.4083333333333333,
Central,Curry Power,Bundle,0.5,
Central,Curry Power,Gram,0.025,
Central,Curry Power,Heap,1.0,
Central,Curry Power,Other unit,0.5,
Central,Curry Power,Packet,4.0,
Central,Curry Power,Piece,1.0,
Central,Curry Power,Satchet,0.5,
Central,Curry Power,Single,0.5,
Central,Curry Power,Tin,0.5,
Central,Dawadawa,Balls,1.0,0.9
Central,Dawadawa,Bowl,8.0,
Central,Dawadawa,Bundle,0.5,
Central,Dawadawa,Heap,1.0,
Central,Dawadawa,Piece,1.0,
Central,Dawadawa,Single,0.5,
Central,Eggplant,American Tin (Olonka),4.0,
Central,Eggplant,Basket,4.0,5.0
Central,Eggplant,Bowl,1.0,2.0
Central,Eggplant,Bucket,12.5,
Central,Eggplant,Gram,0.002857142857142857,
Central,Eggplant,Heap,1.0,1.0
Central,Eggplant,Kilogram,0.9413067552602437,
Central,Eggplant,Margarin tin,2.0,
Central,Eggplant,Piece,0.2,
Central,Eggplant,Rolls,1.0,
Central,Eggplant,Single,0.16666666666666666,1.0
Central,Eggplant,Tubers,1.0,
Central,Eggplant Leaf,Bowl,,1.0
Central,Eggs,Box/Carton,12.0,
Central,Eggs,Crate,15.0,
Central,Eggs,Dozen,15.0,
Central,Eggs,Heap,0.7333333333333333,
Central,Eggs,Millilitre,0.7142857142857143,
Central,Eggs,Piece,0.6,
Central,Eggs,Satchet,0.7000000000000001,
Central,Eggs,Single,0.6,0.6
Central,Fish (canned),Gram,0.02,
Central,Fish (canned),Heap,3.0,
Central,Fish (canned),Piece,3.0,
Central,Fish (canned),Satchet,0.75,
Central,Fish (canned),Single,2.5,
Central,Fish (canned),Tin,2.5,
Central,Fish (dried),Bowl,10.0,
Central,Fish (dried),Fingers,1.0,
Central,Fish (dried),Heap,2.0,
Central,Fish (dried),Millilitre,2.0,
Central,Fish (dried),Other unit,2.5,
Central,Fish (dried),Piece,1.0,
Central,Fish (dried),Single,1.5,
Central,Fish (fried),Basket,0.5,
Central,Fish (fried),Bowl,15.0,
Central,Fish (fried),Fingers,0.5,
Central,Fish (fried),Gram,0.0056179775280898875,
Central,Fish (fried),Heap,2.0,
Central,Fish (fried),Kilogram,0.00909090909090909,
Central,Fish (fried),Piece,1.0,
Central,Fish (fried),Pound,5.0,
Central,Fish (fried),Single,1.0,
Central,Fish (fried),Tin,5.0,
Central,Fish (salted),American Tin (Olonka),1.0,
Central,Fish (salted),Bowl,12.0,
Central,Fish (salted),Fingers,0.5,
Central,Fish (salted),Heap,2.0,
Central,Fish (salted),Piece,1.0,
Central,Fish (salted),Single,0.5,
Central,"Fish (smoked, river)",American Tin (Olonka),9.0,
Central,"Fish (smoked, river)",Basket,8.0,
Central,"Fish (smoked, river)",Bowl,5.333333333333333,
Central,"Fish (smoked, river)",Fingers,2.0,
Central,"Fish (smoked, river)",Gram,0.00625,
Central,"Fish (smoked, river)",Heap,5.0,
Central,"Fish (smoked, river)",Piece,2.5,
Central,"Fish (smoked, river)",Single,2.0,
Central,"Fish (smoked, sea)",Basket,7.5,
Central,"Fish (smoked, sea)",Bowl,21.166666666666668,
Central,"Fish (smoked, sea)",Fingers,2.0,
Central,"Fish (smoked, sea)",Gram,0.008615384615384615,
Central,"Fish (smoked, sea)",Heap,5.0,
Central,"Fish (smoked, sea)",Kilogram,10.0,
Central,"Fish (smoked, sea)",Margarin tin,3.0,
Central,"Fish (smoked, sea)",Piece,4.0,
Central,"Fish (smoked, sea)",Pound,5.0,
Central,"Fish (smoked, sea)",Single,3.0,
Central,"Fish (smoked, sea)",Tin,2.5,
Central,Garlic,Balls,1.0,
Central,Garlic,Box/Carton,140.0,
Central,Garlic,Bunch,1.0,
Central,Garlic,Bundle,1.0,
Central,Garlic,Gram,0.037500000000000006,
Central,Garlic,Heap,1.0,
Central,Garlic,Other unit,1.0,
Central,Garlic,Packet,8.5,
Central,Garlic,Piece,0.25,
Central,Garlic,Satchet,14.0,
Central,Garlic,Single,1.0,
Central,Gin,Tot (25mls),0.5,
Central,Ginger,American Tin (Olonka),12.0,
Central,Ginger,Barrel,0.3333333333333333,
Central,Ginger,Bundle,1.0,
Central,Ginger,Fingers,0.1,
Central,Ginger,Heap,1.0,
Central,Ginger,Margarin tin,2.0,
Central,Ginger,Other unit,1.0,
Central,Ginger,Piece,0.25,
Central,Ginger,Single,0.3333333333333333,
Central,Ginger,Tin,5.0,
Central,Goat,Bowl,12.5,
Central,Goat,Heap,15.0,30.0
Central,Goat,Kilogram,12.0,
Central,Goat,Other unit,,
Central,Goat,Piece,5.0,
Central,Goat,Pound,7.0,4.0
Central,Goat,Single,200.0,150.0
Central,Grape,Heap,5.0,
Central,Groundnut,American Tin (Olonka),6.0,
Central,Groundnut,Balls,1.0,
Central,Groundnut,Beer bottle,20.0,
Central,Groundnut,Bowl,5.0,2.0
Central,Groundnut,Bucket,260.0,
Central,Groundnut,Bundle,1.0,
Central,Groundnut,Gram,0.01,
Central,Groundnut,Heap,1.5,2.0
Central,Groundnut,Kilogram,0.01,
Central,Groundnut,Margarin tin,2.2,2.0
Central,Groundnut,Other unit,1.0,
Central,Groundnut,Packet,33.24,
Central,Groundnut,Piece,1.0,
Central,Groundnut,Satchet,2.0,
Central,Groundnut,Single,1.0,
Central,Groundnut,Tin,1.8333333333333335,
Central,Guinea corn/sorghum,Bowl,2.0,2.0
Central,Guinea corn/sorghum,Heap,3.3333333333333335,
Central,Guinea corn/sorghum,Margarin tin,3.0,
Central,Herring (smoked),American Tin (Olonka),10.0,
Central,Herring (smoked),Basket,4.0,
Central,Herring (smoked),Bowl,5.0,
Central,Herring (smoked),Fingers,0.5,
Central,Herring (smoked),Heap,4.0,
Central,Herring (smoked),Margarin tin,3.5,
Central,Herring (smoked),Piece,0.5,
Central,Herring (smoked),Pound,5.0,
Central,Herring (smoked),Single,0.6666666666666666,
Central,Herring (smoked),Tin,1.0,
Central,Herring (smoked),Tubers,3.0,
Central,Honey,Beer bottle,15.0,
Central,Honey,Fanta bottle,20.0,
Central,Honey,Litres,20.0,
Central,Honey,Margarin tin,2.0,
Central,Ice Cream,Gram,0.015384615384615385,
Central,Ice Cream,Millilitre,1.0,
Central,Ice Cream,Other unit,0.7857142857142857,
Central,Ice Cream,Packet,1.1,
Central,Ice Cream,Piece,1.0,
Central,Ice Cream,Satchet,1.0,
Central,Ice Cream,Single,1.0,
Central,Instant Noodle,Packet,1.8,
Central,Instant Noodle,Satchet,1.2,
Central,Instant Noodle,Single,2.0,
Central,Juice,Beer bottle,3.0,
Central,Juice,Box/Carton,22.0,
Central,Juice,Fanta bottle,2.5,
Central,Juice,Litres,8.75,
Central,Juice,Millilitre,0.01,
Central,Juice,Other unit,0.028036363636363637,
Central,Juice,Packet,20.0,
Central,Juice,Satchet,8.0,
Central,Juice,Single,2.0,
Central,Juice,Tin,20.0,
Central,Jute Leaf,Bowl,,2.0
Central,Jute Leaf,Bundle,,1.0
Central,Jute Leaf,Heap,,2.0
Central,Kapla,Bowl,50.0,
Central,Kapla,Box/Carton,55.0,
Central,Kapla,Fingers,4.0,
Central,Kapla,Heap,5.0,
Central,Kapla,Kilogram,6.6,
Central,Kapla,Piece,3.5714285714285716,
Central,Kapla,Pound,5.0,
Central,Kapla,Set,10.0,
Central,Kapla,Single,4.0,
Central,Kapla,Tin,20.0,
Central,Lime,Heap,1.5,
Central,Lime,Single,0.13392857142857142,
Central,Macaroni,Packet,2.25,
Central,Macaroni,Satchet,2.5,
Central,Macaroni,Single,2.25,
Central,Mackerel (processed),Gram,0.024129032258064516,
Central,Mackerel (processed),Margarin tin,5.0,
Central,Mackerel (processed),Millilitre,4.5,
Central,Mackerel (processed),Piece,2.125,
Central,Mackerel (processed),Satchet,3.0,
Central,Mackerel (processed),Single,4.0,
Central,Mackerel (processed),Tin,3.0,
Central,Maize (cob),American Tin (Olonka),,9.5
Central,Maize (cob),Bowl,,10.0
Central,Maize (cob),Single,,1.0
Central,Maize (flour/dough),American Tin (Olonka),,4.0
Central,Maize (flour/dough),Balls,1.0,1.0
Central,Maize (flour/dough),Bowl,5.0,4.0
Central,Maize (flour/dough),Heap,1.0,
Central,Maize (flour/dough),Margarin tin,1.0,
Central,Maize (grain),American Tin (Olonka),5.0,
Central,Maize (grain),Bowl,10.0,
Central,Maize (grain),Bucket,20.0,
Central,Maize (grain),Other unit,8.0,
Central,Malt Drinks (bottle),Beer bottle,3.0,
Central,Malt Drinks (bottle),Crate,54.5,
Central,Malt Drinks (bottle),Fanta bottle,3.0,
Central,Malt Drinks (bottle),Litres,6.666666666666667,
Central,Malt Drinks (bottle),Millilitre,1.003,
Central,Malt Drinks (bottle),Other unit,3.0,
Central,Malt Drinks (bottle),Packet,22.5,
Central,Malt Drinks (bottle),Piece,2.5,
Central,Malt Drinks (bottle),Single,3.0,
Central,Malt Drinks (bottle),Tin,3.0,
Central,Malt Drinks (canned),Box/Carton,65.0,
Central,Malt Drinks (canned),Fanta bottle,3.0,
Central,Malt Drinks (canned),Millilitre,3.5,
Central,Malt Drinks (canned),Packet,21.0,
Central,Malt Drinks (canned),Single,3.0,
Central,Malt Drinks (canned),Tin,3.0,
Central,Mango,Bowl,3.0,30.0
Central,Mango,Heap,2.0,5.0
Central,Mango,Piece,0.2,
Central,Mango,Single,0.5,0.20000000298023224
Central,Margarine,Beer bottle,7.0,
Central,Margarine,Bucket,50.0,
Central,Margarine,Gram,0.01,
Central,Margarine,Millilitre,0.01,
Central,Margarine,Packet,3.0,
Central,Margarine,Satchet,1.0,
Central,Margarine,Single,2.0,
Central,Margarine,Tin,1.75,
Central,Margarine,Tot (25mls),0.01,
Central,Milk (evaporated),Box/Carton,52.5,
Central,Milk (evaporated),Fanta bottle,2.0,
Central,Milk (evaporated),Margarin tin,3.0,
Central,Milk (evaporated),Millilitre,2.0,
Central,Milk (evaporated),Other unit,2.25,
Central,Milk (evaporated),Piece,3.0,
Central,Milk (evaporated),Satchet,2.0,
Central,Milk (evaporated),Single,2.5,
Central,Milk (evaporated),Tin,2.5,
Central,Milk (fresh),Single,3.0,
Central,Milk (fresh),Tin,200.0,
Central,Milk (powdered),Blister / Strip,0.7000000000000001,
Central,Milk (powdered),Gram,0.0275,
Central,Milk (powdered),Heap,0.2,
Central,Milk (powdered),Margarin tin,3.0,
Central,Milk (powdered),Millilitre,1.0,
Central,Milk (powdered),Other unit,0.4,
Central,Milk (powdered),Packet,5.0,
Central,Milk (powdered),Piece,0.2,
Central,Milk (powdered),Satchet,1.0,
Central,Milk (powdered),Single,1.0,
Central,Milk (powdered),Tin,15.0,
Central,"Milk (tinned, condensed)",Satchet,0.6,
Central,"Milk (tinned, condensed)",Tin,2.0,
Central,Millet,Bowl,3.0,
Central,Millet,Margarin tin,2.75,
Central,Millet (flour),American Tin (Olonka),2.5,
Central,Millet (flour),Bowl,4.0,
Central,Millet (flour),Margarin tin,3.0,
Central,Oil (coconut),Beer bottle,4.5,7.0
Central,Oil (coconut),Fanta bottle,2.0,1.0
Central,Oil (coconut),Gram,0.01,2.0
Central,Oil (coconut),Heap,1.0,
Central,Oil (coconut),Litres,,1.0
Central,Oil (coconut),Other unit,3.5,
Central,Oil (coconut),Piece,1.0,
Central,Oil (coconut),Tin,0.5,
Central,Oil (coconut),Tot (25mls),0.01,
Central,Oil (groundnut),Fanta bottle,2.0,
Central,Oil (groundnut),Heap,2.0,
Central,Oil (palm kernel),Beer bottle,3.0,4.0
Central,Oil (palm kernel),Crate,0.86,
Central,Oil (palm kernel),Fanta bottle,1.5,3.5
Central,Oil (palm kernel),Gram,0.0125,3.0
Central,Oil (palm kernel),Litres,1.0,
Central,Oil (palm kernel),Millilitre,0.007,3.0
Central,Oil (palm kernel),Other unit,0.5,
Central,Oil (palm kernel),Satchet,1.0,
Central,Oil (palm),Balls,1.0,
Central,Oil (palm),Beer bottle,5.0,4.0
Central,Oil (palm),Bundle,1.0,
Central,Oil (palm),Fanta bottle,2.0,3.0
Central,Oil (palm),Gram,0.01,2.0
Central,Oil (palm),Heap,1.0,1.0
Central,Oil (palm),Kilogram,5.0,
Central,Oil (palm),Litres,5.0,1.0
Central,Oil (palm),Loaf,5.25,
Central,Oil (palm),Margarin tin,2.25,
Central,Oil (palm),Millilitre,0.01,
Central,Oil (palm),Other unit,1.0,
Central,Oil (palm),Piece,1.0,
Central,Oil (palm),Satchet,1.0,
Central,Oil (palm),Single,3.0,
Central,Oil (palm),Tin,1.0,
Central,Oil (palm),Tot (25mls),0.01,
Central,Oil (vegetable),American Tin (Olonka),10.0,
Central,Oil (vegetable),Balls,1.0,
Central,Oil (vegetable),Beer bottle,6.0,
Central,Oil (vegetable),Bundle,1.0,
Central,Oil (vegetable),Crate,1.0,
Central,Oil (vegetable),Fanta bottle,3.0,
Central,Oil (vegetable),Gram,0.01,
Central,Oil (vegetable),Heap,1.0,
Central,Oil (vegetable),Kilogram,6.6,
Central,Oil (vegetable),Litres,8.0,
Central,Oil (vegetable),Margarin tin,6.0,
Central,Oil (vegetable),Millilitre,0.01,
Central,Oil (vegetable),Other unit,1.0,
Central,Oil (vegetable),Piece,1.0,
Central,Oil (vegetable),Satchet,3.5,
Central,Oil (vegetable),Single,7.0,
Central,Oil (vegetable),Tin,1.0,
Central,Oil (vegetable),Tot (25mls),0.01,
Central,Okra,American Tin (Olonka),1.0,
Central,Okra,Bowl,1.0,2.0
Central,Okra,Fingers,0.16666666666666666,
Central,Okra,Gram,0.0029411764705882353,
Central,Okra,Heap,1.0,1.0
Central,Okra,Kilogram,0.0025,
Central,Okra,Margarin tin,2.0,
Central,Okra,Piece,0.14285714285714285,
Central,Okra,Single,0.1,
Central,Okra,Tin,2.0,
Central,Onion,American Tin (Olonka),3.0,
Central,Onion,Balls,0.5,2.5
Central,Onion,Basket,5.0,
Central,Onion,Bowl,1.0,1.0
Central,Onion,Bucket,15.0,
Central,Onion,Bunch,4.0,
Central,Onion,Gram,0.005714285714285714,
Central,Onion,Heap,1.0,1.0
Central,Onion,Kilogram,0.002777777777777778,
Central,Onion,Litres,1.0,
Central,Onion,Maxi bag,100.0,
Central,Onion,Piece,0.2,
Central,Onion,Single,0.2857142857142857,2.0
Central,Onion,Tin,10.0,
Central,Orange,Balls,0.5,
Central,Orange,Bowl,2.0,6.0
Central,Orange,Heap,2.0,2.0
Central,Orange,Piece,0.25,
Central,Orange,Single,0.2,0.20000000298023224
Central,Other Alchoholic Beverage,Beer bottle,,6.0
Central,Other Alchoholic Beverage,Fanta bottle,,3.0
Central,Other Alchoholic Beverage,Litres,,6.0
Central,Other Alchoholic Beverage,Tot (25mls),,1.0
Central,Other Beverage,Beer bottle,,4.0
Central,Other Beverage,Box/Carton,7.0,
Central,Other Beverage,Gram,0.02,
Central,Other Beverage,Heap,0.2,
Central,Other Beverage,Packet,2.4,
Central,Other Beverage,Piece,0.75,
Central,Other Beverage,Satchet,1.0,
Central,Other Beverage,Single,1.0,
Central,Other Cereal,Margarin tin,3.5,
Central,Other Cereal,Piece,1.75,
Central,Other Cereal,Satchet,2.0,
Central,Other Fish,American Tin (Olonka),9.5,
Central,Other Fish,Basket,5.0,
Central,Other Fish,Bowl,10.0,10.0
Central,Other Fish,Box/Carton,50.0,
Central,Other Fish,Fingers,0.5,
Central,Other Fish,Heap,5.0,10.0
Central,Other Fish,Kilogram,10.5,
Central,Other Fish,Margarin tin,1.5,
Central,Other Fish,Other unit,6.0,
Central,Other Fish,Piece,5.0,
Central,Other Fish,Pound,5.0,
Central,Other Fish,Single,3.0,10.0
Central,Other Fish,Tin,3.0,
Central,Other Flours,Bowl,,14.0
Central,Other Flours,Margarin tin,,1.0
Central,Other Fruits,Bundle,1.0,
Central,Other Fruits,Heap,0.75,
Central,Other Fruits,Other unit,1.0,
Central,Other Fruits,Single,0.25,1.5
Central,Other Fruits,Stick,1.0,1.5
Central,Other Leafy Vegetable,Bundle,,1.0
Central,Other Leafy Vegetable,Heap,,1.0
Central,Other Meat,Heap,17.5,2.0
Central,Other Meat,Kilogram,,10.0
Central,Other Meat,Other unit,13.0,
Central,Other Meat,Piece,20.0,
Central,Other Meat,Pound,11.0,
Central,Other Meat,Single,20.0,20.0
Central,Other Milk Products,Packet,1.0,
Central,Other Milk Products,Satchet,1.0,
Central,Other Milk Products,Single,1.0,
Central,Other Oils,Fingers,2.0,
Central,Other Oils,Litres,42.5,
Central,Other Oils,Other unit,1.0,
Central,Other Oils,Single,35.0,
Central,Other Spices,Heap,1.0,
Central,Other Spices,Other unit,0.10505050505050506,
Central,Other Spices,Piece,0.5,
Central,Other Spices,Satchet,0.6,
Central,Other Spices,Single,2.75,
Central,Other Spirits,Litres,6.03030303030303,
Central,Other Spirits,Satchet,0.7,
Central,Other Spirits,Single,4.5,
Central,Other Spirits,Tot (25mls),0.75,
Central,Other Tobacco,Other unit,1.0,
Central,Other Tobacco,Single,2.25,
Central,Other Tubers ,Basket,,6.0
Central,Other Tubers ,Bunch,5.0,
Central,Other Tubers ,Fingers,0.5,
Central,Other Tubers ,Heap,2.5,
Central,Other Tubers ,Single,,1.0
Central,Other Tubers ,Tubers,1.6666666666666667,3.75
Central,Other Vegetable,Balls,2.0,
Central,Other Vegetable,Bowl,,1.5
Central,Other Vegetable,Bunch,2.0,
Central,Other Vegetable,Bundle,0.5,
Central,Other Vegetable,Heap,0.75,1.0
Central,Other Vegetable,Piece,2.5,
Central,Other Vegetable,Single,2.0,
Central,Palm Nut,American Tin (Olonka),3.0,3.0
Central,Palm Nut,Balls,2.0,
Central,Palm Nut,Basket,0.2,6.5
Central,Palm Nut,Beer bottle,4.0,
Central,Palm Nut,Bowl,3.0,5.0
Central,Palm Nut,Bucket,15.0,
Central,Palm Nut,Bunch,2.0,2.0
Central,Palm Nut,Heap,2.0,3.0
Central,Palm Nut,Margarin tin,1.0,
Central,Palm Nut,Piece,2.0,
Central,Palm Nut,Single,2.0,
Central,Palm Nut,Tin,3.0,
Central,Pawpaw,Bowl,,2.0
Central,Pawpaw,Heap,1.0,
Central,Pawpaw,Other unit,1.0,
Central,Pawpaw,Single,1.0,0.5
Central,"Pepper (dried, red)",American Tin (Olonka),5.0,
Central,"Pepper (dried, red)",Basket,10.0,
Central,"Pepper (dried, red)",Bowl,4.0,
Central,"Pepper (dried, red)",Gram,0.013571428571428571,
Central,"Pepper (dried, red)",Heap,1.0,
Central,"Pepper (dried, red)",Margarin tin,2.0,
Central,"Pepper (dried, red)",Other unit,0.3,
Central,"Pepper (dried, red)",Piece,0.5,
Central,"Pepper (dried, red)",Satchet,0.4,
Central,"Pepper (dried, red)",Single,2.0,
Central,"Pepper (dried, red)",Tin,0.5,
Central,Pepper (fresh),American Tin (Olonka),5.0,
Central,Pepper (fresh),Basket,9.5,
Central,Pepper (fresh),Beer bottle,0.5,
Central,Pepper (fresh),Bowl,1.0,2.0
Central,Pepper (fresh),Gram,0.005,
Central,Pepper (fresh),Heap,1.0,1.0
Central,Pepper (fresh),Kilogram,0.0025,
Central,Pepper (fresh),Margarin tin,1.0,1.0
Central,Pepper (fresh),Other unit,0.75,
Central,Pepper (fresh),Piece,0.5,
Central,Pepper (fresh),Satchet,0.3,
Central,Pepper (fresh),Single,1.0,
Central,Pepper (fresh),Tin,0.5,
Central,Pepper (powder),American Tin (Olonka),7.0,
Central,Pepper (powder),Balls,0.35,
Central,Pepper (powder),Bar,0.2,
Central,Pepper (powder),Bowl,2.5,
Central,Pepper (powder),Bunch,0.5,
Central,Pepper (powder),Bundle,0.5,
Central,Pepper (powder),Gram,0.025,
Central,Pepper (powder),Heap,0.5,
Central,Pepper (powder),Kilogram,0.004,
Central,Pepper (powder),Margarin tin,4.0,
Central,Pepper (powder),Other unit,0.5,
Central,Pepper (powder),Packet,0.75,
Central,Pepper (powder),Piece,0.5,
Central,Pepper (powder),Satchet,0.5,
Central,Pepper (powder),Single,0.5,
Central,Pepper (powder),Tin,0.5,
Central,Pineapple,Basket,15.0,
Central,Pineapple,Heap,1.0,
Central,Pineapple,Piece,1.5,
Central,Pineapple,Single,2.0,3.0
Central,Plantain,Bucket,15.0,
Central,Plantain,Bunch,10.0,8.0
Central,Plantain,Bundle,10.0,
Central,Plantain,Fanta bottle,0.5,
Central,Plantain,Fingers,0.5,3.0
Central,Plantain,Gram,0.5,
Central,Plantain,Heap,3.0,2.0
Central,Plantain,Piece,0.7333333333333334,
Central,Plantain,Single,0.5,3.0
Central,Plantain,Stick,10.0,
Central,Plantain,Tubers,1.6666666666666665,
Central,Pork,Heap,5.0,
Central,Pork,Kilogram,10.0,
Central,Pork,Piece,1.625,
Central,Pork,Pound,9.0,
Central,Pork,Single,6.25,
Central,Pork (feet),Heap,2.0,
Central,Pork (feet),Piece,1.0,
Central,Pork (feet),Pound,6.0,
Central,Pork (feet),Single,5.0,
Central,Pork (fillet),Piece,1.0,
Central,Potato ,Bowl,3.0,
Central,Potato ,Heap,5.0,
Central,Potato ,Piece,0.25,
Central,Potato ,Single,0.6458333333333333,
Central,Rice (imported),American Tin (Olonka),9.0,
Central,Rice (imported),Kilogram,5.0,
Central,Rice (imported),Margarin tin,2.5,
Central,Rice (imported),Mini bag,25.0,
Central,Rice (imported),Satchet,25.0,
Central,Rice (local),American Tin (Olonka),13.5,
Central,Rice (local),Bowl,2.0,
Central,Rice (local),Margarin tin,2.0,2.0
Central,Salmon (smoked),Fingers,3.0,
Central,Salmon (smoked),Gram,0.01,
Central,Salmon (smoked),Heap,5.0,
Central,Salmon (smoked),Kilogram,10.0,
Central,Salmon (smoked),Millilitre,2.6666666666666665,
Central,Salmon (smoked),Piece,3.0,
Central,Salmon (smoked),Pound,8.0,
Central,Salmon (smoked),Satchet,1.0,
Central,Salmon (smoked),Single,2.6666666666666665,
Central,Salt,1000 kg /metric tonnes/tonnes,1.0,
Central,Salt,American Tin (Olonka),5.0,
Central,Salt,Balls,0.5,
Central,Salt,Bowl,3.0,
Central,Salt,Bunch,0.5,
Central,Salt,Bundle,0.5,
Central,Salt,Gram,0.01,
Central,Salt,Heap,0.5,
Central,Salt,Litres,4.0,
Central,Salt,Margarin tin,1.0,
Central,Salt,Minutes,5.0,
Central,Salt,Other unit,0.5,
Central,Salt,Packet,1.0,
Central,Salt,Piece,0.5,
Central,Salt,Pound,1.0,
Central,Salt,Satchet,1.0,
Central,Salt,Single,1.0,
Central,Salt,Tin,1.0,
Central,Salt,Tot (25mls),0.01,
Central,Sausage (beef),Packet,5.75,
Central,Sausage (beef),Piece,1.0,
Central,Sausage (beef),Pound,12.0,
Central,Sausage (chicken),Packet,120.0,
Central,Sausage (chicken),Single,2.0,
Central,Sausage (pork),Packet,4.0,
Central,Shallot,Bowl,3.0,
Central,Shallot,Bunch,2.5,
Central,Shallot,Bundle,2.0,
Central,Shallot,Heap,1.5,
Central,Shea Butter,Balls,1.0,
Central,Shea Butter,Beer bottle,6.0,
Central,Shea Butter,Piece,2.0,
Central,Shea Butter,Single,1.0,
Central,Shrimp,Bowl,2.0,
Central,Shrimp,Heap,2.75,
Central,Shrimp,Margarin tin,15.0,
Central,Shrimp,Piece,1.0,
Central,Shrimp,Single,5.0,
Central,Snail,Bowl,5.5,
Central,Snail,Gram,0.01,
Central,Snail,Heap,3.0,5.0
Central,Snail,Kilogram,,2.0
Central,Snail,Piece,1.6666666666666665,
Central,Snail,Single,2.0,5.0
Central,Soft Drinks,Beer bottle,2.0,
Central,Soft Drinks,Box/Carton,30.0,
Central,Soft Drinks,Crate,24.0,
Central,Soft Drinks,Fanta bottle,1.5,
Central,Soft Drinks,Fingers,1.0,
Central,Soft Drinks,Heap,2.0,
Central,Soft Drinks,Litres,5.333333333333333,
Central,Soft Drinks,Loaf,2.166666666666667,
Central,Soft Drinks,Millilitre,0.004545454545454545,
Central,Soft Drinks,Other unit,2.0,
Central,Soft Drinks,Packet,23.5,
Central,Soft Drinks,Set,12.0,
Central,Soft Drinks,Single,1.4,
Central,Soft Drinks,Tin,0.5,
Central,Soybean,Bowl,,5.0
Central,Spaghetti,Packet,3.0,
Central,Spaghetti,Satchet,2.3333333333333335,
Central,Spaghetti,Single,2.0,
Central,Spinach,Bowl,,4.0
Central,Spinach,Bundle,,1.0
Central,Spinach,Heap,,0.5
Central,Spinach,Rolls,,1.0
Central,Sugar (cubed),Box/Carton,5.0,
Central,Sugar (cubed),Heap,0.19999999999999998,
Central,Sugar (cubed),Margarin tin,2.0,
Central,Sugar (cubed),Packet,4.0,
Central,Sugar (cubed),Piece,0.5,
Central,Sugar (cubed),Single,1.55,
Central,Sugar (granulated),American Tin (Olonka),5.0,
Central,Sugar (granulated),Balls,0.5,
Central,Sugar (granulated),Bowl,1.0,
Central,Sugar (granulated),Bucket,2.2,
Central,Sugar (granulated),Bunch,0.2,
Central,Sugar (granulated),Bundle,0.2,
Central,Sugar (granulated),Gram,0.01,
Central,Sugar (granulated),Heap,0.2,
Central,Sugar (granulated),Kilogram,13.99,
Central,Sugar (granulated),Litres,1.0,
