,,,purchased_price,produced_price
Ashanti,Chicken (broiler),Heap,5.5,
Ashanti,Chicken (broiler),Kilogram,14.0,
Ashanti,Chicken (broiler),Piece,15.0,
Ashanti,Chicken (broiler),Pound,10.0,
Ashanti,Chicken (broiler),Single,14.5,
Ashanti,Chicken (frozen),Heap,2.0,
Ashanti,Chicken (frozen),Kilogram,7.0,
Ashanti,Chicken (frozen),Pound,5.0,
Ashanti,Chicken (frozen),Single,1.0,
Ashanti,Chicken (gizzard),Heap,5.0,
Ashanti,Chicken (gizzard),Kilogram,12.0,
Ashanti,Chicken (gizzard),Other unit,10.0,
Ashanti,Chicken (gizzard),Packet,14.0,
Ashanti,Chicken (gizzard),Pound,5.0,
Ashanti,Chicken (gizzard),Single,10.0,
Ashanti,Chicken (live),Single,30.0,30.0
Ashanti,Chicken (thigh),Bowl,15.0,
Ashanti,Chicken (thigh),Box/Carton,82.5,
Ashanti,Chicken (thigh),Gram,5.0,
Ashanti,Chicken (thigh),Heap,5.0,
Ashanti,Chicken (thigh),Kilogram,10.0,
Ashanti,Chicken (thigh),Millilitre,5.0,
Ashanti,Chicken (thigh),Other unit,10.0,
Ashanti,Chicken (thigh),Piece,7.0,
Ashanti,Chicken (thigh),Pound,5.666666666666666,
Ashanti,Chicken (thigh),Single,7.0,
Ashanti,Chicken (wing),Bowl,1.0,
Ashanti,Chicken (wing),Heap,4.0,
Ashanti,Chicken (wing),Kilogram,12.0,
Ashanti,Chicken (wing),Piece,1.0,
Ashanti,Chicken (wing),Pound,8.333333333333334,
Ashanti,Chicken (wing),Single,2.5,
Ashanti,Chocolate ,Bar,4.0,
Ashanti,Chocolate ,Satchet,7.0,
Ashanti,Chocolate ,Single,6.0,
Ashanti,Cigarette,Box/Carton,1.5,
Ashanti,Cigarette,Other unit,0.5,
Ashanti,Cigarette,Packet,4.0,
Ashanti,Cigarette,Single,0.4,
Ashanti,Cigarette,Stick,0.19999999999999998,
Ashanti,Cocoa (milk powder beverages),Blister / Strip,9.0,
Ashanti,Cocoa (milk powder beverages),Box/Carton,8.0,
Ashanti,Cocoa (milk powder beverages),Gram,1.0,
Ashanti,Cocoa (milk powder beverages),Heap,0.35,
Ashanti,Cocoa (milk powder beverages),Loaf,1.0,
Ashanti,Cocoa (milk powder beverages),Maxi bag,1.0,
Ashanti,Cocoa (milk powder beverages),Other unit,0.5,
Ashanti,Cocoa (milk powder beverages),Packet,1.0,
Ashanti,Cocoa (milk powder beverages),Piece,0.95,
Ashanti,Cocoa (milk powder beverages),Pound,1.0,
Ashanti,Cocoa (milk powder beverages),Satchet,1.0,
Ashanti,Cocoa (milk powder beverages),Set,10.0,
Ashanti,Cocoa (milk powder beverages),Single,1.0,
Ashanti,Cocoa (milk powder beverages),Tin,12.0,
Ashanti,Cocoa Powder,Single,6.1,
Ashanti,Coconut (dried),Single,2.0,
Ashanti,Coconut (fresh),Balls,1.5,
Ashanti,Coconut (fresh),Maxi bag,2.0,
Ashanti,Coconut (fresh),Single,2.0,2.75
Ashanti,Cocoyam,Basket,4.5,15.0
Ashanti,Cocoyam,Bowl,10.0,20.0
Ashanti,Cocoyam,Bucket,6.0,
Ashanti,Cocoyam,Heap,5.0,5.0
Ashanti,Cocoyam,Mini bag,8.0,
Ashanti,Cocoyam,Single,0.5333333333333333,
Ashanti,Cocoyam,Tubers,0.8333333333333334,
Ashanti,Cocoyam Leaves,American Tin (Olonka),2.0,
Ashanti,Cocoyam Leaves,Bowl,3.0,
Ashanti,Cocoyam Leaves,Bunch,1.0,
Ashanti,Cocoyam Leaves,Bundle,1.0,
Ashanti,Cocoyam Leaves,Gram,1.0,
Ashanti,Cocoyam Leaves,Heap,1.0,
Ashanti,Cocoyam Leaves,Mini bag,2.0,
Ashanti,Cocoyam Leaves,Other unit,1.0,
Ashanti,Cocoyam Leaves,Single,1.0,
Ashanti,Coffee,Gram,1.0,
Ashanti,Coffee,Packet,0.4,
Ashanti,Coffee,Satchet,1.0,
Ashanti,Coffee,Single,0.4,
Ashanti,Condiments,Bar,0.16666666666666666,
Ashanti,Condiments,Box/Carton,8.0,
Ashanti,Condiments,Bundle,1.0,
Ashanti,Condiments,Gram,0.5,
Ashanti,Condiments,Heap,1.0,
Ashanti,Condiments,Millilitre,0.2,
Ashanti,Condiments,Other unit,0.2,
Ashanti,Condiments,Packet,8.0,
Ashanti,Condiments,Piece,0.2,
Ashanti,Condiments,Satchet,0.5,
Ashanti,Condiments,Set,1.0,
Ashanti,Condiments,Single,0.2,
Ashanti,Corflake,Packet,15.0,
Ashanti,Corflake,Single,20.0,
Ashanti,Cowpea,American Tin (Olonka),9.0,10.0
Ashanti,Cowpea,Bowl,10.0,7.0
Ashanti,Cowpea,Bunch,5.0,
Ashanti,Cowpea,Heap,2.0,1.5
Ashanti,Cowpea,Loaf,2.5,
Ashanti,Cowpea,Margarin tin,2.0,4.0
Ashanti,Cowpea,Mini bag,3.0,
Ashanti,Cowpea,Other unit,0.5,
Ashanti,Cowpea,Single,2.0,
Ashanti,Cowpea,Tin,2.0,
Ashanti,Crab,Heap,3.0,
Ashanti,Crab,Single,0.42857142857142855,
Ashanti,Curry Power,Crate,2.0,
Ashanti,Curry Power,Gram,0.5,
Ashanti,Curry Power,Margarin tin,10.0,
Ashanti,Curry Power,Packet,0.5,
Ashanti,Curry Power,Piece,0.5,
Ashanti,Curry Power,Satchet,0.5,
Ashanti,Curry Power,Single,0.5,
Ashanti,Dawadawa,Balls,0.5,1.0
Ashanti,Dawadawa,Gram,2.0,
Ashanti,Dawadawa,Heap,2.0,
Ashanti,Dawadawa,Other unit,1.0,
Ashanti,Dawadawa,Packet,1.0,
Ashanti,Dawadawa,Single,1.0,1.0
Ashanti,Eggplant,American Tin (Olonka),8.0,
Ashanti,Eggplant,Basket,4.5,
Ashanti,Eggplant,Beer bottle,3.0,
Ashanti,Eggplant,Bowl,2.0,2.0
Ashanti,Eggplant,Bucket,5.0,
Ashanti,Eggplant,Bunch,0.75,
Ashanti,Eggplant,Gram,0.18333333333333335,
Ashanti,Eggplant,Heap,1.0,2.0
Ashanti,Eggplant,Millilitre,0.2,
Ashanti,Eggplant,Other unit,0.5,
Ashanti,Eggplant,Piece,0.25,
Ashanti,Eggplant,Rolls,1.0,
Ashanti,Eggplant,Single,0.16025641025641024,1.5
Ashanti,Eggplant,Tubers,1.0,
Ashanti,Eggs,Crate,15.0,
Ashanti,Eggs,Dozen,14.0,
Ashanti,Eggs,Gram,0.5,
Ashanti,Eggs,Millilitre,0.6,
Ashanti,Eggs,Piece,0.5,
Ashanti,Eggs,Satchet,0.7,
Ashanti,Eggs,Single,0.5,0.699999988079071
Ashanti,Fish (canned),1000 kg /metric tonnes/tonnes,2.95,
Ashanti,Fish (canned),Box/Carton,59.0,
Ashanti,Fish (canned),Gram,2.0,
