pair,u,j,n_cells,median_gap,ratio,in_30_50
unit_value_vs_community_price,No 12 Plate,Maize Grain (Not As Ufa),1,-2.9957322735539904,0.05000000000000003,False
unit_value_vs_community_price,No 12 Plate,Maize Ufa Mgaiwa (Normal Flour),1,-0.05889151782819191,0.9428090415820632,False
unit_value_vs_community_price,No 12 Plate,Rice,1,0.0,1.0,False
unit_value_vs_community_price,Pail (Large),Maize Ufa Mgaiwa (Normal Flour),1,0.8472978603872034,2.333333333333333,False
unit_value_vs_community_price,Pail (Small),Maize Ufa Mgaiwa (Normal Flour),1,0.0,1.0,False
unit_value_vs_community_price,Pail (Small),Rice,1,0.43152310867767074,1.539600717839001,False
unit_value_vs_community_price,Piece,Eggs,196,0.0,1.0,False
unit_value_vs_community_price,Piece,"Mandazi, Doughnut (Vendor)",122,0.0,1.0,False
unit_value_vs_community_price,Piece,Bread,75,0.0,1.0,False
unit_value_vs_community_price,Piece,Cabbage,61,-0.2876820724517808,0.7500000000000001,False
unit_value_vs_community_price,Piece,Banana,10,-0.1438410362258905,0.8660254037844386,False
unit_value_vs_community_price,Piece,Chicken,9,-0.05715841383994835,0.9444444444444446,False
unit_value_vs_community_price,Piece,Tomato,3,-1.242453324894,0.2886751345948129,False
unit_value_vs_community_price,Piece,Beef,2,0.0374495912720989,1.0381596634548074,False
unit_value_vs_community_price,Piece,Chips (Vendor),2,0.49152821409320846,1.6348126556655491,False
unit_value_vs_community_price,Piece,Fresh Milk,2,1.7563845786596302,5.791460926441346,False
unit_value_vs_community_price,Piece,Sun Dried Fish,2,-0.6373612927313927,0.5286856317202822,False
unit_value_vs_community_price,Piece,Cooking Oil,1,-0.2027325540540823,0.8164965809277259,False
unit_value_vs_community_price,Piece,Salt,1,-1.007451510271133,0.3651483716701105,False
unit_value_vs_community_price,Piece,Sugar,1,-0.06899287148695166,0.9333333333333331,False
unit_value_vs_community_price,Piece,Tea,1,0.0,1.0,False
unit_value_vs_community_price,Satchet/Tube,Cooking Oil,28,-0.026340128914456695,0.9740037464252966,False
unit_value_vs_community_price,Satchet/Tube,Sugar,6,-0.2027325540540823,0.8164965809277259,False
unit_value_vs_community_price,Satchet/Tube,Tea,3,0.0,1.0,False
unit_value_vs_community_price,Satchet/Tube,Salt,2,0.0,1.0,False
unit_value_vs_community_price,kg,Sugar,423,-0.03588339918483818,0.9647527778854401,False
unit_value_vs_community_price,kg,Cooking Oil,256,-0.1823215567939549,0.8333333333333331,False
unit_value_vs_community_price,kg,Rice,180,0.0,1.0,False
unit_value_vs_community_price,kg,Tea,139,0.0,1.0,False
unit_value_vs_community_price,kg,Salt,134,0.404351520520819,1.4983305483318303,True
unit_value_vs_community_price,kg,Beans,123,-0.05715841383994835,0.9444444444444446,False
unit_value_vs_community_price,kg,Maize Ufa Mgaiwa (Normal Flour),32,-0.518825794439211,0.5952190473142761,False
unit_value_vs_community_price,kg,Beef,25,0.0,1.0,False
unit_value_vs_community_price,kg,Fresh Milk,16,0.0,1.0,False
unit_value_vs_community_price,kg,Chicken,9,0.06043235109689604,1.0622957319984971,False
unit_value_vs_community_price,kg,Maize Grain (Not As Ufa),5,0.1823215567939549,1.2000000000000004,False
unit_value_vs_community_price,kg,Chips (Vendor),2,0.2290726829685381,1.2574334296829346,False
unit_value_vs_community_price,kg,Tomato,2,0.9829564081810811,2.6723451177837876,False
unit_value_vs_community_price,kg,Bread,1,0.0,1.0,False
unit_value_vs_community_price,kg,Sun Dried Fish,1,-1.4067053583800178,0.2449489742783179,False
unit_value_vs_crop_sale_price,Bunch,Banana,4,-1.4483501700476984,0.23495760859964543,False
unit_value_vs_crop_sale_price,Kilogramme,Pigeon Pea (Nandolo),27,0.4700036292457357,1.6,False
unit_value_vs_crop_sale_price,Kilogramme,Beans,7,0.2231435513142097,1.25,False
unit_value_vs_crop_sale_price,Kilogramme,Maize Grain (Not As Ufa),4,0.35426650494666134,1.4251349413858996,True
unit_value_vs_crop_sale_price,Kilogramme,Rice,3,1.0986122886681096,2.9999999999999996,False
unit_value_vs_crop_sale_price,Kilogramme,Sorghum,2,0.4768978211882935,1.611068818546308,False
unit_value_vs_crop_sale_price,Kilogramme,Groundnut,1,1.136352616650957,3.1153846153846163,False
unit_value_vs_crop_sale_price,Kilogramme,Irish Potato,1,0.22091637613951942,1.2472191289246468,False
unit_value_vs_crop_sale_price,Pail (Large),Irish Potato,1,-0.1823215567939549,0.8333333333333331,False
unit_value_vs_crop_sale_price,Pail (Small),Groundnut,1,-1.5749414766906247,0.20701966780270625,False
unit_value_vs_crop_sale_price,Piece,Papaya,2,0.11778303565638337,1.125,False
unit_value_vs_crop_sale_price,kg,Pigeon Pea (Nandolo),38,0.5108256237659909,1.6666666666666672,False
unit_value_vs_crop_sale_price,kg,Rice,33,1.124258935861885,3.0779350562554626,False
unit_value_vs_crop_sale_price,kg,Beans,10,0.4209339590376855,1.5233836693631324,False
unit_value_vs_crop_sale_price,kg,Maize Grain (Not As Ufa),7,0.3101549283038394,1.3636363636363635,True
unit_value_vs_crop_sale_price,kg,Groundnut,6,1.6082831759700265,4.994229649937634,False
unit_value_vs_crop_sale_price,kg,Irish Potato,4,0.6177509361547522,1.8547518919707042,False
unit_value_vs_crop_sale_price,kg,Sorghum,4,0.44288919047763287,1.557199772218203,False
unit_value_vs_crop_sale_price,kg,Finger Millet,3,1.0647107369924282,2.9,False
unit_value_vs_crop_sale_price,kg,Cassava Tubers,1,1.1897730670650866,3.286335345030995,False
unit_value_vs_crop_sale_price,kg,Ground Bean,1,0.0,1.0,False
unit_value_vs_crop_sale_price,kg,Nkwani,1,0.7135581778200737,2.0412414523193165,False
unit_value_vs_crop_sale_price,kg,Onion,1,1.0986122886681091,2.9999999999999982,False
unit_value_vs_crop_sale_price,kg,Pearl Millet,1,0.4700036292457348,1.5999999999999988,False
unit_value_vs_crop_sale_price,kg,Tomato,1,0.6286086594223743,1.8750000000000002,False
