wave,basis,seed,regime,partition,status,error,n_groups,n_fit_goods,n_fit_cells,fit_coverage,score_coverage,core_complete,core_mse,core_mean_error,outside_core_coverage,outside_core_mse,scale,origin,loading_spread,nonpositive_loadings,n_unidentified_markets,core_rmse,n_train,n_evaluation,n_comparison,comparison_weight_share,n_scored,n_warnings,train_score_coverage,n_train_scored
2016-17,purchased,11,masked,fine,ok,,176,84,7862,0.9497532376597104,0.9924113977605943,True,0.0011629817473198588,0.0006798545021855084,0.9847122468085724,0.00163155165309521,2.8836776927415078,0.0032866159835315835,0.44956528669952356,0,0,0.03410251819616637,8405.0,5604.0,3419.0,0.5036155971133174,5569.0,0.0,0.9932839978793331,8346.0
2016-17,purchased,11,masked,curated,ok,,172,83,7892,0.9510502179531785,0.9924113977605943,True,0.0011879778308759054,0.0005932741357549674,0.9847122468085724,0.0016449533859150948,2.9025307371494593,0.003032764002594901,0.4307043792482582,0,0,0.03446705428196476,8405.0,5604.0,3419.0,0.5036155971133174,5569.0,0.0,0.9932839978793331,8346.0
2016-17,purchased,11,substitutes,fine,ok,,176,84,7862,0.9497532376597104,0.9924113977605943,True,0.0011713559322025717,0.0006352828123465873,0.9847122468085724,0.0016659484253029864,2.883386540277619,0.0033091386336274037,0.449692559292525,0,0,0.03422507753391615,8405.0,5604.0,3419.0,0.5036155971133174,5569.0,0.0,0.9932839978793331,8346.0
2016-17,purchased,11,substitutes,curated,ok,,172,83,7892,0.9510502179531785,0.9924113977605943,True,0.001177507175948861,0.000548396473654702,0.9847122468085724,0.0016344748591972163,2.9028354084960273,0.003053428574261257,0.43084858258425013,0,0,0.03431482443418385,8405.0,5604.0,3419.0,0.5036155971133174,5569.0,0.0,0.9932839978793331,8346.0
2016-17,purchased,11,unequal,fine,ok,,176,84,7862,0.9497532376597104,0.9924113977605943,True,0.0011612485372708827,0.0006307260195115669,0.9847122468085724,0.001629955930991777,2.9214232488629954,0.0033065725755264184,0.45839585606634903,0,0,0.034077096960728366,8405.0,5604.0,3419.0,0.5036155971133174,5569.0,0.0,0.9932839978793331,8346.0
2016-17,purchased,11,unequal,curated,ok,,172,83,7892,0.9510502179531785,0.9924113977605943,True,0.001163480704459796,0.0005601801939869204,0.9847122468085724,0.0016346119506899532,2.9168527278778833,0.0030777651057510994,0.43552010257797824,0,0,0.03410983295854431,8405.0,5604.0,3419.0,0.5036155971133174,5569.0,0.0,0.9932839978793331,8346.0
2016-17,purchased,12,masked,fine,ok,,176,87,7893,0.9491757060291449,0.9952115066534964,True,0.0009914336612948426,0.000411079854720641,0.9901592117943836,0.0015293917514124604,2.896985584892715,-0.00459059520065548,0.44077562651579555,0,0,0.03148703957654391,8405.0,5604.0,3451.0,0.5134034747571846,5574.0,0.0,0.9914120395077644,8341.0
2016-17,purchased,12,masked,curated,ok,,172,85,7893,0.9491913990478744,0.9952115066534964,True,0.000993752286076136,0.0003000759501700801,0.9901592117943836,0.0015256026918465016,2.888757505421671,-0.004633842174541264,0.43446084963940074,0,0,0.03152383679180147,8405.0,5604.0,3451.0,0.5134034747571846,5574.0,0.0,0.9914120395077644,8341.0
2016-17,purchased,12,substitutes,fine,ok,,176,87,7893,0.9491757060291449,0.9952115066534964,True,0.001004245306330832,0.0005658212099715279,0.9901592117943836,0.001575342549178301,2.898102315386342,-0.004588578053400822,0.44031176594449895,0,0,0.03168982969867197,8405.0,5604.0,3451.0,0.5134034747571846,5574.0,0.0,0.9914120395077644,8341.0
2016-17,purchased,12,substitutes,curated,ok,,172,85,7893,0.9491913990478744,0.9952115066534964,True,0.0009877954483674825,0.0004106377945141251,0.9901592117943836,0.0015228518361425556,2.889116249354253,-0.004625117765796828,0.4343719671446572,0,0,0.031429213295395775,8405.0,5604.0,3451.0,0.5134034747571846,5574.0,0.0,0.9914120395077644,8341.0
2016-17,purchased,12,unequal,fine,ok,,176,87,7893,0.9491757060291449,0.9952115066534964,True,0.0009996545750598682,0.0005441222798829136,0.9901592117943836,0.0015725538207526464,2.9324596727562446,-0.0045325741601780906,0.44632039269805324,0,0,0.03161731448209775,8405.0,5604.0,3451.0,0.5134034747571846,5574.0,0.0,0.9914120395077644,8341.0
2016-17,purchased,12,unequal,curated,ok,,172,85,7893,0.9491913990478744,0.9952115066534964,True,0.0009840772280459362,0.00035930313727528424,0.9901592117943836,0.0014995379213665653,2.9009121902058115,-0.0045057578954809845,0.43786956030095786,0,0,0.0313700052286565,8405.0,5604.0,3451.0,0.5134034747571846,5574.0,0.0,0.9914120395077644,8341.0
2016-17,purchased,13,masked,fine,ok,,176,86,7929,0.9555035256825087,0.9923057644954801,True,0.0011008666363307735,0.000299222400767981,0.9844771482265587,0.0017097172418235964,2.919171743970423,-0.000566793410500464,0.4271400851595481,0,0,0.03317931036550901,8405.0,5604.0,3447.0,0.5043284818525158,5563.0,0.0,0.993359366128051,8352.0
2016-17,purchased,13,masked,curated,ok,,172,84,7920,0.9542081052496846,0.9923057644954801,True,0.0011110103901258593,0.00042523328824191787,0.9844771482265587,0.0017705753588186804,2.898962156259796,-0.0006648579969873392,0.4193218872213739,0,0,0.033331822484314585,8405.0,5604.0,3447.0,0.5043284818525158,5563.0,0.0,0.993359366128051,8352.0
2016-17,purchased,13,substitutes,fine,ok,,176,86,7929,0.9555035256825087,0.9923057644954801,True,0.0011109331693488682,0.00022646802080787754,0.9844771482265587,0.0017216588463925956,2.9186234817055468,-0.0005331038099369134,0.42766370706915524,0,0,0.03333066410002759,8405.0,5604.0,3447.0,0.5043284818525158,5563.0,0.0,0.993359366128051,8352.0
2016-17,purchased,13,substitutes,curated,ok,,172,84,7920,0.9542081052496846,0.9923057644954801,True,0.0011021611124446132,0.00035736031715961,0.9844771482265587,0.001758465144969119,2.8989181357302916,-0.0006379796620119664,0.4194849227853459,0,0,0.03319881191314854,8405.0,5604.0,3447.0,0.5043284818525158,5563.0,0.0,0.993359366128051,8352.0
2016-17,purchased,13,unequal,fine,ok,,176,86,7929,0.9555035256825087,0.9923057644954801,True,0.001093488778060862,0.00023437582774913892,0.9844771482265587,0.0017018081608858309,2.9461012485931963,-0.0003792590326969681,0.43209251826166534,0,0,0.033067941847972064,8405.0,5604.0,3447.0,0.5043284818525158,5563.0,0.0,0.993359366128051,8352.0
2016-17,purchased,13,unequal,curated,ok,,172,84,7920,0.9542081052496846,0.9923057644954801,True,0.001085629173169544,0.0002603442619926094,0.9844771482265587,0.001736035090446365,2.907953963105492,-0.00048448852826091503,0.4233719584744135,0,0,0.03294888728272237,8405.0,5604.0,3447.0,0.5043284818525158,5563.0,0.0,0.993359366128051,8352.0
