country,wave,table,subdf,mechanism,source_column,raw_value,raw_type,count,config_maps_to,how,declaration
Burkina_Faso,2021-22,cluster_features,,inline_dict,s00q04,Urbain,str,1467,Urban,exact-or-str-match,"['s00q04', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
Burkina_Faso,2021-22,sample,df_cover,inline_dict,s00q04,Rural,str,1760,Rural,exact-or-str-match,"['s00q04', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
Burkina_Faso,2021-22,sample,df_cover,inline_dict,s00q04,Urbain,str,1467,Urban,exact-or-str-match,"['s00q04', {'mapping': {'Rural': 'Rural', 'rural': 'Rural', 'RURAL': 'Rural', 'Urbain': 'Urban', 'urbain': 'Urban', 'URBAIN': 'Urban'}}]"
Cambodia,2019-20,cluster_features,,passthrough,s01q06b,Rural,str,1056,"(raw value, then canonical spellings)",no mapping declared,'s01q06b'
Cambodia,2019-20,cluster_features,,passthrough,s01q06b,Urban,str,456,"(raw value, then canonical spellings)",no mapping declared,'s01q06b'
Cambodia,2019-20,sample,,passthrough,s01q06b,Rural,str,1056,"(raw value, then canonical spellings)",no mapping declared,'s01q06b'
Cambodia,2019-20,sample,,passthrough,s01q06b,Urban,str,456,"(raw value, then canonical spellings)",no mapping declared,'s01q06b'
CotedIvoire,1985-86,cluster_features,,inline_dict,REGION,3: EAST FOREST,str,364,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1985-86,cluster_features,,inline_dict,REGION,2: OTHER CITIES,str,344,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1985-86,cluster_features,,inline_dict,REGION,1: ABIDJAN,str,336,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1985-86,cluster_features,,inline_dict,REGION,5: SAVANNA,str,304,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1985-86,cluster_features,,inline_dict,REGION,4: WEST FOREST,str,240,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1985-86,sample,,inline_dict,REGION,3: EAST FOREST,str,364,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1985-86,sample,,inline_dict,REGION,2: OTHER CITIES,str,344,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1985-86,sample,,inline_dict,REGION,1: ABIDJAN,str,336,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1985-86,sample,,inline_dict,REGION,5: SAVANNA,str,304,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1985-86,sample,,inline_dict,REGION,4: WEST FOREST,str,240,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1986-87,cluster_features,,inline_dict,REGION,3: EAST FOREST,str,367,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1986-87,cluster_features,,inline_dict,REGION,2: OTHER CITIES,str,352,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1986-87,cluster_features,,inline_dict,REGION,1: ABIDJAN,str,337,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1986-87,cluster_features,,inline_dict,REGION,5: SAVANNA,str,304,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1986-87,cluster_features,,inline_dict,REGION,4: WEST FOREST,str,240,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1986-87,sample,,inline_dict,REGION,3: EAST FOREST,str,367,Rural,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
CotedIvoire,1986-87,sample,,inline_dict,REGION,2: OTHER CITIES,str,352,Urban,exact-or-str-match,"['REGION', {'mapping': {'1: ABIDJAN': 'Urban', '2: OTHER CITIES': 'Urban', '3: EAST FOREST': 'Rural', '4: WEST FOREST': 'Rural', '5: SAVANNA': 'Rural'}}]"
