country,table,wave,delivered_value,delivered_type,count,n_rows,status
EthiopiaRHS,sample,2009,Rural,str,1357,1357,ok
GhanaLSS,cluster_features,1987-88,,NaN,176,176,ok
GhanaLSS,cluster_features,1988-89,,NaN,170,170,ok
GhanaLSS,cluster_features,1991-92,Rural,str,265,365,ok
GhanaLSS,cluster_features,1991-92,Urban,str,100,365,ok
GhanaLSS,cluster_features,1998-99,Rural,str,190,300,ok
GhanaLSS,cluster_features,1998-99,Urban,str,110,300,ok
GhanaLSS,cluster_features,2005-06,Rural,str,338,580,ok
GhanaLSS,cluster_features,2005-06,Urban,str,242,580,ok
GhanaLSS,cluster_features,2012-13,Rural,str,655,1200,ok
GhanaLSS,cluster_features,2012-13,Urban,str,545,1200,ok
GhanaLSS,cluster_features,2016-17,Rural,str,561,1000,ok
GhanaLSS,cluster_features,2016-17,Urban,str,439,1000,ok
GhanaLSS,sample,1987-88,,NaN,3147,3147,ok
GhanaLSS,sample,1988-89,,NaN,3194,3194,ok
GhanaLSS,sample,1991-92,Rural,str,2945,4523,ok
GhanaLSS,sample,1991-92,Urban,str,1578,4523,ok
GhanaLSS,sample,1998-99,Rural,str,3799,5998,ok
GhanaLSS,sample,1998-99,Urban,str,2199,5998,ok
GhanaLSS,sample,2005-06,,NaN,8687,8687,ok
GhanaLSS,sample,2012-13,Rural,str,9327,16772,ok
GhanaLSS,sample,2012-13,Urban,str,7445,16772,ok
GhanaLSS,sample,2016-17,Rural,str,7991,14009,ok
GhanaLSS,sample,2016-17,Urban,str,6018,14009,ok
GhanaSPS,cluster_features,,,,,,NOT_IN_SCHEME
GhanaSPS,sample,2009-10,Rural,str,2999,5009,ok
GhanaSPS,sample,2009-10,Urban,str,2010,5009,ok
GhanaSPS,sample,2013-14,,NaN,4774,4774,ok
GhanaSPS,sample,2017-18,,NaN,5669,5669,ok
Guatemala,cluster_features,2000,Urban,str,678,1065,ok
Guatemala,cluster_features,2000,Rural,str,387,1065,ok
Guatemala,sample,2000,Rural,str,3852,7276,ok
Guatemala,sample,2000,Urban,str,3424,7276,ok
Guinea-Bissau,cluster_features,2018-19,Rural,str,281,450,ok
Guinea-Bissau,cluster_features,2018-19,Urban,str,169,450,ok
Guinea-Bissau,sample,2018-19,Rural,str,3361,5351,ok
Guinea-Bissau,sample,2018-19,Urban,str,1990,5351,ok
Guyana,cluster_features,1992,Urban,str,87,130,ok
Guyana,cluster_features,1992,Rural,str,43,130,ok
Guyana,sample,1992,Urban,str,1015,1502,ok
Guyana,sample,1992,Rural,str,487,1502,ok
Harmonized_LSMS-ISA_Ag,cluster_features,,,,,,NOT_IN_SCHEME
Harmonized_LSMS-ISA_Ag,sample,,,,,,NOT_IN_SCHEME
India,cluster_features,,,,,120,NO_RURAL_COLUMN
India,sample,,,,,2251,NO_RURAL_COLUMN
Iraq,cluster_features,2006-07,Urban,str,2036,2961,ok
Iraq,cluster_features,2006-07,Rural,str,925,2961,ok
Iraq,cluster_features,2012,Urban,str,1677,2828,ok
Iraq,cluster_features,2012,Rural,str,1151,2828,ok
Iraq,sample,2006-07,Urban,str,12194,17822,ok
Iraq,sample,2006-07,Rural,str,5628,17822,ok
Iraq,sample,2012,Urban,str,14884,25146,ok
Iraq,sample,2012,Rural,str,10262,25146,ok
Kazakhstan,cluster_features,1996,Rural,str,73,135,ok
Kazakhstan,cluster_features,1996,Urban,str,62,135,ok
Kazakhstan,sample,1996,Urban,str,1282,1996,ok
Kazakhstan,sample,1996,Rural,str,714,1996,ok
KenyaLPS,cluster_features,,,,,,NOT_IN_SCHEME
KenyaLPS,sample,,,,,,NOT_IN_SCHEME
Kosovo,cluster_features,2000,Rural,str,180,360,ok
Kosovo,cluster_features,2000,Urban,str,180,360,ok
Kosovo,sample,2000,Rural,str,1440,2880,ok
Kosovo,sample,2000,Urban,str,1440,2880,ok
Kyrgyz Republic,cluster_features,,,,,,NOT_IN_SCHEME
Kyrgyz Republic,sample,,,,,,NOT_IN_SCHEME
Liberia,cluster_features,2018-19,Rural,str,29,32,ok
Liberia,cluster_features,2018-19,Urban,str,3,32,ok
Liberia,sample,2018-19,Rural,str,2950,2986,ok
Liberia,sample,2018-19,Urban,str,36,2986,ok
Malawi,cluster_features,2004-05,Rural,str,492,564,ok
Malawi,cluster_features,2004-05,Urban,str,72,564,ok
Malawi,cluster_features,2010-11,Rural,str,628,768,ok
Malawi,cluster_features,2010-11,Urban,str,140,768,ok
Malawi,cluster_features,2013-14,Rural,str,149,204,ok
Malawi,cluster_features,2013-14,Urban,str,55,204,ok
Malawi,cluster_features,2016-17,Rural,str,709,880,ok
Malawi,cluster_features,2016-17,Urban,str,171,880,ok
Malawi,cluster_features,2019-20,Rural,str,660,819,ok
Malawi,cluster_features,2019-20,Urban,str,159,819,ok
Malawi,sample,2004-05,Rural,str,9840,11280,ok
Malawi,sample,2004-05,Urban,str,1440,11280,ok
Malawi,sample,2010-11,Rural,str,10038,12271,ok
Malawi,sample,2010-11,Urban,str,2233,12271,ok
Malawi,sample,2013-14,Rural,str,2954,4000,ok
Malawi,sample,2013-14,Urban,str,1046,4000,ok
Malawi,sample,2016-17,Rural,str,12016,14955,ok
Malawi,sample,2016-17,Urban,str,2939,14955,ok
Malawi,sample,2019-20,Rural,str,11697,14612,ok
Malawi,sample,2019-20,Urban,str,2915,14612,ok
Mali,cluster_features,2014-15,Rural,str,822,989,ok
Mali,cluster_features,2014-15,Urban,str,167,989,ok
Mali,cluster_features,2017-18,Rural,str,789,953,ok
Mali,cluster_features,2017-18,Urban,str,164,953,ok
Mali,cluster_features,2018-19,Rural,str,321,551,ok
Mali,cluster_features,2018-19,Urban,str,230,551,ok
Mali,cluster_features,2021-22,Rural,str,285,513,ok
Mali,cluster_features,2021-22,Urban,str,228,513,ok
Mali,sample,2014-15,Rural,str,2399,3804,ok
Mali,sample,2014-15,Urban,str,1405,3804,ok
Mali,sample,2017-18,Rural,str,6921,8390,ok
Mali,sample,2017-18,Urban,str,1469,8390,ok
Mali,sample,2018-19,Rural,str,3850,6602,ok
Mali,sample,2018-19,Urban,str,2752,6602,ok
Mali,sample,2021-22,Rural,str,3411,6143,ok
Mali,sample,2021-22,Urban,str,2732,6143,ok
Nepal,cluster_features,,,,,,BUILD_FAIL RuntimeError: Could not materialize Nepal/cluster_features: no wave-level build succeeded and no cached parquet was found at /tmp/claude-43292/-global-scratch-fsa-fc-jevons-ligon-mirrors-LSMS-Library/e5ab33fb-cae6-4f88-8ec4-81ab61ac06bf/scratchpad/rural/colddata/N
Nepal,sample,,,,,,BUILD_FAIL PathMissingError: The path '/global/scratch/fsa/fc_jevons/ligon/mirrors/LSMS_Library/.claude/worktrees/agent-afd7ef5c78cd20c6e/lsms_library/countries/Nepal/1995-96/Data/../Data/c1_nlss_public.dta' does not exist in the target repository '/global/scratch/fsa/fc_jevons/
Nicaragua,cluster_features,,,,,,NOT_IN_SCHEME
Nicaragua,sample,,,,,,NOT_IN_SCHEME
Niger,cluster_features,2011-12,Rural,str,139,270,ok
Niger,cluster_features,2011-12,Urban,str,131,270,ok
Niger,cluster_features,2014-15,Rural,str,139,270,ok
Niger,cluster_features,2014-15,Urban,str,131,270,ok
Niger,cluster_features,2018-19,Rural,str,371,504,ok
Niger,cluster_features,2018-19,Urban,str,133,504,ok
Niger,cluster_features,2021-22,Rural,str,344,555,ok
Niger,cluster_features,2021-22,Urban,str,211,555,ok
Niger,sample,2011-12,Rural,str,2430,3968,ok
Niger,sample,2011-12,Urban,str,1538,3968,ok
Niger,sample,2014-15,Rural,str,2284,3558,ok
Niger,sample,2014-15,Urban,str,1274,3558,ok
Niger,sample,2018-19,Rural,str,4447,6024,ok
Niger,sample,2018-19,Urban,str,1577,6024,ok
Niger,sample,2021-22,Rural,str,4111,6622,ok
Niger,sample,2021-22,Urban,str,2511,6622,ok
Nigeria,cluster_features,2010Q3,Rural,str,338,500,ok
Nigeria,cluster_features,2010Q3,Urban,str,162,500,ok
Nigeria,cluster_features,2011Q1,Rural,str,338,500,ok
Nigeria,cluster_features,2011Q1,Urban,str,162,500,ok
Nigeria,cluster_features,2012Q3,Rural,str,388,647,ok
Nigeria,cluster_features,2012Q3,Urban,str,259,647,ok
Nigeria,cluster_features,2013Q1,Rural,str,388,647,ok
Nigeria,cluster_features,2013Q1,Urban,str,259,647,ok
Nigeria,cluster_features,2015Q3,Rural,str,438,792,ok
Nigeria,cluster_features,2015Q3,Urban,str,354,792,ok
Nigeria,cluster_features,2016Q1,Rural,str,438,792,ok
Nigeria,cluster_features,2016Q1,Urban,str,354,792,ok
Nigeria,cluster_features,2018Q3,Rural,str,410,685,ok
Nigeria,cluster_features,2018Q3,Urban,str,275,685,ok
Nigeria,cluster_features,2019Q1,Rural,str,410,685,ok
Nigeria,cluster_features,2019Q1,Urban,str,275,685,ok
Nigeria,sample,2010Q3,Rural,str,3380,5000,ok
Nigeria,sample,2010Q3,Urban,str,1620,5000,ok
Nigeria,sample,2011Q1,Rural,str,3380,5000,ok
Nigeria,sample,2011Q1,Urban,str,1620,5000,ok
Nigeria,sample,2012Q3,Rural,str,3310,4859,ok
Nigeria,sample,2012Q3,Urban,str,1549,4859,ok
Nigeria,sample,2013Q1,Rural,str,3310,4859,ok
Nigeria,sample,2013Q1,Urban,str,1549,4859,ok
Nigeria,sample,2015Q3,Rural,str,3172,4696,ok
Nigeria,sample,2015Q3,Urban,str,1524,4696,ok
Nigeria,sample,2016Q1,Rural,str,3172,4696,ok
Nigeria,sample,2016Q1,Urban,str,1524,4696,ok
Nigeria,sample,2018Q3,Rural,str,3533,5263,ok
Nigeria,sample,2018Q3,Urban,str,1730,5263,ok
Nigeria,sample,2019Q1,Rural,str,3533,5263,ok
Nigeria,sample,2019Q1,Urban,str,1730,5263,ok
Nigeria,sample,2023Q3,Rural,str,3432,5067,ok
Nigeria,sample,2023Q3,Urban,str,1635,5067,ok
Nigeria,sample,2024Q1,Rural,str,3432,5067,ok
Nigeria,sample,2024Q1,Urban,str,1635,5067,ok
Pakistan,cluster_features,1991,Urban,str,150,300,ok
Pakistan,cluster_features,1991,Rural,str,150,300,ok
Pakistan,sample,1991,Rural,str,2386,4967,ok
Pakistan,sample,1991,Urban,str,2377,4967,ok
Pakistan,sample,1991,,NaN,204,4967,ok
Panama,cluster_features,,,,,,NOT_IN_SCHEME
Panama,sample,,,,,18353,NO_RURAL_COLUMN
Peru,cluster_features,,,,,,NOT_IN_SCHEME
Peru,sample,,,,,,NOT_IN_SCHEME
Rwanda,cluster_features,,,,,,NOT_IN_SCHEME
Rwanda,sample,,,,,,NOT_IN_SCHEME
Senegal,cluster_features,2018-19,Urban,str,330,598,ok
Senegal,cluster_features,2018-19,Rural,str,268,598,ok
Senegal,cluster_features,2021-22,Urban,str,329,596,ok
Senegal,cluster_features,2021-22,Rural,str,267,596,ok
Senegal,sample,2018-19,Urban,str,3941,7156,ok
Senegal,sample,2018-19,Rural,str,3215,7156,ok
Senegal,sample,2021-22,Urban,str,3922,7120,ok
Senegal,sample,2021-22,Rural,str,3198,7120,ok
Serbia,cluster_features,2007,Urban,str,298,510,ok
Serbia,cluster_features,2007,Rural,str,212,510,ok
Serbia,sample,2007,Urban,str,2976,5557,ok
Serbia,sample,2007,Rural,str,2581,5557,ok
Serbia and Montenegro,cluster_features,2002,Urban,str,346,618,ok
Serbia and Montenegro,cluster_features,2002,Rural,str,272,618,ok
Serbia and Montenegro,cluster_features,2003,Urban,str,173,301,ok
Serbia and Montenegro,cluster_features,2003,Rural,str,128,301,ok
Serbia and Montenegro,sample,2002,Urban,str,3525,6386,ok
Serbia and Montenegro,sample,2002,Rural,str,2861,6386,ok
Serbia and Montenegro,sample,2003,Urban,str,1369,2548,ok
Serbia and Montenegro,sample,2003,Rural,str,1179,2548,ok
South Africa,cluster_features,1993,Urban,str,186,355,ok
South Africa,cluster_features,1993,Rural,str,167,355,ok
South Africa,cluster_features,1993,Informal,str,2,355,ok
South Africa,sample,1993,Rural,str,4398,8809,ok
South Africa,sample,1993,Urban,str,4328,8809,ok
South Africa,sample,1993,Informal,str,83,8809,ok
Tajikistan,cluster_features,1999,Rural,str,91,125,ok
Tajikistan,cluster_features,1999,Urban,str,34,125,ok
Tajikistan,cluster_features,2003,Rural,str,132,208,ok
Tajikistan,cluster_features,2003,Urban,str,76,208,ok
