country,wave,table,subdf,build,source_file,source_column,src_dtype,raw_value,raw_type,count,n_rows,mechanism,status
CotedIvoire,1986-87,cluster_features,,yaml,../Data/WEIGHT86.DAT,REGION,str,2: OTHER CITIES,str,352,1600,inline_dict,ok
CotedIvoire,1986-87,cluster_features,,yaml,../Data/WEIGHT86.DAT,REGION,str,1: ABIDJAN,str,337,1600,inline_dict,ok
CotedIvoire,1986-87,cluster_features,,yaml,../Data/WEIGHT86.DAT,REGION,str,5: SAVANNA,str,304,1600,inline_dict,ok
CotedIvoire,1986-87,cluster_features,,yaml,../Data/WEIGHT86.DAT,REGION,str,4: WEST FOREST,str,240,1600,inline_dict,ok
CotedIvoire,1986-87,sample,,yaml,../Data/WEIGHT86.DAT,REGION,str,3: EAST FOREST,str,367,1600,inline_dict,ok
CotedIvoire,1986-87,sample,,yaml,../Data/WEIGHT86.DAT,REGION,str,2: OTHER CITIES,str,352,1600,inline_dict,ok
CotedIvoire,1986-87,sample,,yaml,../Data/WEIGHT86.DAT,REGION,str,1: ABIDJAN,str,337,1600,inline_dict,ok
CotedIvoire,1986-87,sample,,yaml,../Data/WEIGHT86.DAT,REGION,str,5: SAVANNA,str,304,1600,inline_dict,ok
CotedIvoire,1986-87,sample,,yaml,../Data/WEIGHT86.DAT,REGION,str,4: WEST FOREST,str,240,1600,inline_dict,ok
CotedIvoire,1987-88,cluster_features,,yaml,../Data/WEIGHT87.DAT,REGION,str,2: OTHER CITIES,str,448,1600,inline_dict,ok
CotedIvoire,1987-88,cluster_features,,yaml,../Data/WEIGHT87.DAT,REGION,str,1: ABIDJAN,str,352,1600,inline_dict,ok
CotedIvoire,1987-88,cluster_features,,yaml,../Data/WEIGHT87.DAT,REGION,str,5: SAVANNA,str,336,1600,inline_dict,ok
CotedIvoire,1987-88,cluster_features,,yaml,../Data/WEIGHT87.DAT,REGION,str,3: EAST FOREST,str,304,1600,inline_dict,ok
CotedIvoire,1987-88,cluster_features,,yaml,../Data/WEIGHT87.DAT,REGION,str,4: WEST FOREST,str,160,1600,inline_dict,ok
CotedIvoire,1987-88,sample,,yaml,../Data/WEIGHT87.DAT,REGION,str,2: OTHER CITIES,str,448,1600,inline_dict,ok
CotedIvoire,1987-88,sample,,yaml,../Data/WEIGHT87.DAT,REGION,str,1: ABIDJAN,str,352,1600,inline_dict,ok
CotedIvoire,1987-88,sample,,yaml,../Data/WEIGHT87.DAT,REGION,str,5: SAVANNA,str,336,1600,inline_dict,ok
CotedIvoire,1987-88,sample,,yaml,../Data/WEIGHT87.DAT,REGION,str,3: EAST FOREST,str,304,1600,inline_dict,ok
CotedIvoire,1987-88,sample,,yaml,../Data/WEIGHT87.DAT,REGION,str,4: WEST FOREST,str,160,1600,inline_dict,ok
CotedIvoire,1988-89,cluster_features,,yaml,../Data/WEIGHT88.DAT,REGION,str,2: OTHER CITIES,str,432,1600,inline_dict,ok
CotedIvoire,1988-89,cluster_features,,yaml,../Data/WEIGHT88.DAT,REGION,str,3: EAST FOREST,str,320,1600,inline_dict,ok
CotedIvoire,1988-89,cluster_features,,yaml,../Data/WEIGHT88.DAT,REGION,str,1: ABIDJAN,str,304,1600,inline_dict,ok
CotedIvoire,1988-89,cluster_features,,yaml,../Data/WEIGHT88.DAT,REGION,str,5: SAVANNA,str,304,1600,inline_dict,ok
CotedIvoire,1988-89,cluster_features,,yaml,../Data/WEIGHT88.DAT,REGION,str,4: WEST FOREST,str,240,1600,inline_dict,ok
CotedIvoire,1988-89,sample,,yaml,../Data/WEIGHT88.DAT,REGION,str,2: OTHER CITIES,str,432,1600,inline_dict,ok
CotedIvoire,1988-89,sample,,yaml,../Data/WEIGHT88.DAT,REGION,str,3: EAST FOREST,str,320,1600,inline_dict,ok
CotedIvoire,1988-89,sample,,yaml,../Data/WEIGHT88.DAT,REGION,str,1: ABIDJAN,str,304,1600,inline_dict,ok
CotedIvoire,1988-89,sample,,yaml,../Data/WEIGHT88.DAT,REGION,str,5: SAVANNA,str,304,1600,inline_dict,ok
CotedIvoire,1988-89,sample,,yaml,../Data/WEIGHT88.DAT,REGION,str,4: WEST FOREST,str,240,1600,inline_dict,ok
CotedIvoire,2018-19,cluster_features,df_main,yaml,Menage/s00_me_CIV2018.dta,s00q04,object,Rural,str,7717,12992,inline_dict,ok
CotedIvoire,2018-19,cluster_features,df_main,yaml,Menage/s00_me_CIV2018.dta,s00q04,object,Urbain,str,5275,12992,inline_dict,ok
CotedIvoire,2018-19,sample,df_cover,yaml,Menage/s00_me_CIV2018.dta,s00q04,object,Rural,str,7717,12992,inline_dict,ok
CotedIvoire,2018-19,sample,df_cover,yaml,Menage/s00_me_CIV2018.dta,s00q04,object,Urbain,str,5275,12992,inline_dict,ok
Ethiopia,2011-12,cluster_features,df_main,yaml,sect_cover_hh_w1.dta,rural,object,rural,str,3466,3969,inline_dict,ok
Ethiopia,2011-12,cluster_features,df_main,yaml,sect_cover_hh_w1.dta,rural,object,small town,str,503,3969,inline_dict,ok
Ethiopia,2011-12,sample,,script,../Data/sect_cover_hh_w1.dta,rural,object,rural,str,3466,3969,script:.map(dict),ok
Ethiopia,2011-12,sample,,script,../Data/sect_cover_hh_w1.dta,rural,object,small town,str,503,3969,script:.map(dict),ok
Ethiopia,2013-14,cluster_features,df_main,yaml,sect_cover_hh_w2.dta,rural,object,Rural,str,3323,5262,inline_dict,ok
Ethiopia,2013-14,cluster_features,df_main,yaml,sect_cover_hh_w2.dta,rural,object,Large town (urban),str,1486,5262,inline_dict,ok
Ethiopia,2013-14,cluster_features,df_main,yaml,sect_cover_hh_w2.dta,rural,object,Small town (urban),str,453,5262,inline_dict,ok
