country,wave,n,note,weight_n,weight_mean,weight_min,weight_max,weight_sum,weight_neg,weight_zero,panel_weight_n,panel_weight_mean,panel_weight_min,panel_weight_max,panel_weight_sum,panel_weight_neg,panel_weight_zero
EthiopiaRHS,1999,1475.0,,1475.0,1.0,1.0,1.0,1475.0,0.0,0.0,1475.0,1.0,1.0,1.0,1475.0,0.0,0.0
EthiopiaRHS,2004,1368.0,,1368.0,1.0,1.0,1.0,1368.0,0.0,0.0,1368.0,1.0,1.0,1.0,1368.0,0.0,0.0
EthiopiaRHS,2009,1357.0,,1357.0,1.0,1.0,1.0,1357.0,0.0,0.0,1357.0,1.0,1.0,1.0,1357.0,0.0,0.0
GhanaLSS,1987-88,3147.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
GhanaLSS,1988-89,3194.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
GhanaLSS,1991-92,4523.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
GhanaLSS,1998-99,5998.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
GhanaLSS,2005-06,8687.0,,8687.0,1.0,0.12127010120471175,3.648528741166279,8687.0,0.0,0.0,8687.0,1.0,0.12127010120471175,3.648528741166279,8687.0,0.0,0.0
GhanaLSS,2012-13,16772.0,,16772.0,1.0,0.08042450749903952,8.831939475903472,16772.0,0.0,0.0,16772.0,1.0,0.08042450749903952,8.831939475903472,16772.0,0.0,0.0
GhanaLSS,2016-17,14009.0,,14009.0,1.0,0.041868092878775895,12.693438569750182,14009.0,0.0,0.0,14009.0,1.0,0.041868092878775895,12.693438569750182,14009.0,0.0,0.0
GhanaSPS,2009-10,5009.0,,5009.0,1.0,0.1514799158962256,3.3477240718453434,5009.0,0.0,0.0,5009.0,1.0,0.1514799158962256,3.3477240718453434,5009.0,0.0,0.0
GhanaSPS,2013-14,4774.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
GhanaSPS,2017-18,5669.0,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0
Guatemala,2000,7276.0,,7276.0,1.0,0.06972366710458047,14.768136727674952,7276.0,0.0,0.0,7276.0,1.0,0.06972366710458047,14.768136727674952,7276.0,0.0,0.0
Guinea-Bissau,2018-19,5351.0,,5351.0,1.0,0.10720516355854674,2.9220972315216103,5351.0,0.0,0.0,5351.0,1.0,0.10720516355854674,2.9220972315216103,5351.0,0.0,0.0
Guyana,1992,1807.0,,1784.0,1.0,0.1944032778310522,4.082468834452096,1784.0,0.0,0.0,0.0,,,,,,
India,1997-98,2251.0,,2251.0,1.0,0.2946359694438797,1.585392269624621,2251.0,0.0,0.0,2251.0,1.0,0.2946359694438797,1.585392269624621,2251.0,0.0,0.0
Iraq,2006-07,17822.0,,17822.0,1.0,0.0188907494562577,57.421748148986005,17822.0,0.0,0.0,17822.0,1.0,0.0188907494562577,57.421748148986005,17822.0,0.0,0.0
