path	sidecar_md5	local_md5	in_remote	md5_match	verdict	bytes
lsms_library/countries/GhanaSPS/2009-10/Data/S10DII.dta	3f8960aca6c70814dda966331250a02a	3f8960aca6c70814dda966331250a02a	True	True	delete	605273
lsms_library/countries/GhanaSPS/2009-10/Data/S10DIII.dta	2d4fab167af4051889ce6de528bde114	2d4fab167af4051889ce6de528bde114	True	True	delete	320772
lsms_library/countries/GhanaSPS/2009-10/Data/S11A.dta	6b6b582bae8aad64b9bff99056243d8c	6b6b582bae8aad64b9bff99056243d8c	True	True	delete	37426089
lsms_library/countries/GhanaSPS/2009-10/Data/S11B.dta	363b56e6aab5d88aae5102ad4b621bcb	363b56e6aab5d88aae5102ad4b621bcb	True	True	delete	3137536
lsms_library/countries/GhanaSPS/2009-10/Data/S11C.dta	cac0f73f4b8cd5e5e6655e1ed12e8fea	cac0f73f4b8cd5e5e6655e1ed12e8fea	True	True	delete	7526379
lsms_library/countries/GhanaSPS/2009-10/Data/S11D.dta	1a53d250663a04f8be3085415a8d4ebb	1a53d250663a04f8be3085415a8d4ebb	True	True	delete	2603717
lsms_library/countries/GhanaSPS/2009-10/Data/S12AI.dta	4e9e79975f605106fc611b67e17c07c7	4e9e79975f605106fc611b67e17c07c7	True	True	delete	748894
lsms_library/countries/GhanaSPS/2009-10/Data/S12AII.dta	94a849395affbedfe243d335a202c0d8	94a849395affbedfe243d335a202c0d8	True	True	delete	227279
lsms_library/countries/GhanaSPS/2009-10/Data/S1D.dta	424ae487ef57abe5e6f2487759601915	424ae487ef57abe5e6f2487759601915	True	True	delete	1265742
lsms_library/countries/GhanaSPS/2009-10/Data/S1EI.dta	8364f28342acad02ecd759406a4352c1	8364f28342acad02ecd759406a4352c1	True	True	delete	175833
lsms_library/countries/GhanaSPS/2009-10/Data/S1EI0.dta	89bd682db813de395b88a94af8f45ac6	89bd682db813de395b88a94af8f45ac6	True	True	delete	66731
lsms_library/countries/GhanaSPS/2009-10/Data/S1EII.dta	1fab2de15102a86ec5d68a43bafa9e75	1fab2de15102a86ec5d68a43bafa9e75	True	True	delete	13412
lsms_library/countries/GhanaSPS/2009-10/Data/S1EII0.dta	f109bc53686b24f25dd88ced995ad77b	f109bc53686b24f25dd88ced995ad77b	True	True	delete	17578
lsms_library/countries/GhanaSPS/2009-10/Data/S1EIII.dta	366450bd34590b7c1be774f64c758433	366450bd34590b7c1be774f64c758433	True	True	delete	800790
lsms_library/countries/GhanaSPS/2009-10/Data/S1EIII0.dta	2bad4495d4084b73daf27999b558cb33	2bad4495d4084b73daf27999b558cb33	True	True	delete	66731
lsms_library/countries/GhanaSPS/2009-10/Data/S1FI.dta	c9f434878a0872f5288f03ef4ad382c5	c9f434878a0872f5288f03ef4ad382c5	True	True	delete	2074191
lsms_library/countries/GhanaSPS/2009-10/Data/S1FII.dta	78054c383f5fa748bddd39dba64f6e48	78054c383f5fa748bddd39dba64f6e48	True	True	delete	703970
