j,group,beta_raw,se_raw,beta_anchor_units,se_anchor_units,n_train_positive,fit,is_member
Condiment,millet_sorghum,0.6447259647249272,0.03428373425711596,1.3741837509111534,0.07307313977464092,11240,probe,False
Fish (smoked),millet_sorghum,0.6043855590680935,0.06659236114722974,1.288201282402325,0.14193649027672275,10476,probe,False
Guinea Corn/Sorghum,millet_sorghum,0.4442181975959932,0.4727799126129301,0.9468168840631344,1.0076939804139466,525,probe,True
Kenkey/Banku,millet_sorghum,0.723940901491939,0.0861595999612415,1.5430242892026826,0.18364255316172726,10987,probe,False
Millet,millet_sorghum,0.47334801461519654,0.22153217178065684,1.008904846088804,0.4721787665165937,872,probe,True
Pepper,millet_sorghum,0.6343130315487325,0.03320675238472032,1.3519893856258103,0.07077763583956458,12978,probe,False
Salt,millet_sorghum,0.4691701268461668,0.03012050516841171,1.0,0.0641995375342551,13247,probe,False
Sugar,millet_sorghum,0.730047277248009,0.048192305798655626,1.556039558945277,0.1027181890769808,12822,probe,False
Sugar Bread,millet_sorghum,0.8302990672359806,0.04257401704344239,1.7697185300721885,0.09074323919477019,10303,probe,False
Tomato (fresh),millet_sorghum,0.7629903004674886,0.0414309609150968,1.6262550763758679,0.08830690307075184,13075,probe,False
Tomato (paste),millet_sorghum,0.6831549655480696,0.05660715975909044,1.456092207192179,0.12065380236293476,12038,probe,False
Condiment,named_spirits,0.611144405941213,0.06853354885630501,1.3364168525091327,0.14986538167320498,11240,probe,False
Fish (smoked),named_spirits,0.685382309452897,0.08666496803020805,1.4987562020695129,0.18951416829114562,10476,probe,False
Kenkey/Banku,named_spirits,0.7139793729041001,0.20113505331127676,1.5612906819026424,0.439831032178947,10987,probe,False
Pepper,named_spirits,0.6357655858172339,0.06579456216665597,1.3902570896038302,0.14387591676890332,12978,probe,False
Salt,named_spirits,0.4573007327719527,0.09131590843749289,1.0,0.19968458804773098,13247,probe,False
Schnapps,named_spirits,1.114115226630304,0.4979578200124381,2.4362856798348766,1.0889066741573763,195,probe,True
Sugar,named_spirits,0.7016410981197421,0.11675522134408423,1.5343100236614695,0.255313873293765,12822,probe,False
Sugar Bread,named_spirits,0.7517332857502926,0.1252278541481899,1.643848854546157,0.2738413590311011,10303,probe,False
Tomato (fresh),named_spirits,0.7294588628011288,0.06646110775127845,1.5951403759610774,0.14533348186087722,13075,probe,False
Tomato (paste),named_spirits,0.8513004255958364,0.1212183910327782,1.86157677997941,0.26507368640764356,12038,probe,False
Whisky,named_spirits,1.099613870434457,0.45475923996316253,2.4045749145624344,0.9944424038129465,662,probe,True
Condiment,tinned_milk_forms,0.6414061170570188,0.032396172505846636,1.491723636646902,0.07534405266603639,11240,probe,False
Fish (smoked),tinned_milk_forms,0.6643712393554434,0.06580064010059908,1.5451338160013366,0.1530331057566666,10476,probe,False
Kenkey/Banku,tinned_milk_forms,0.7680423101046702,0.06045877183527189,1.7862425029323143,0.140609477507212,10987,probe,False
Milk (evaporated),tinned_milk_forms,0.8206074479867665,0.06406384893359977,1.908493689126343,0.14899383583573114,5380,probe,True
"Milk (tinned, condensed/unsweetened)",tinned_milk_forms,0.6726730259939339,0.19962338500308774,1.5644413514702176,0.4642657965329302,393,probe,True
Pepper,tinned_milk_forms,0.6405892211702937,0.030721794284234157,1.4898237749672245,0.07144993706058123,12978,probe,False
Salt,tinned_milk_forms,0.42997650590210673,0.03787588446419457,1.0,0.0880882651593476,13247,probe,False
Sugar,tinned_milk_forms,0.7601895883624868,0.04379037356396161,1.7679793614946024,0.10184364253132336,12822,probe,False
Sugar Bread,tinned_milk_forms,0.939222463011358,0.0649857386955603,2.1843576337754413,0.15113788265993233,10303,probe,False
Tomato (fresh),tinned_milk_forms,0.8139796401196913,0.027318724066410567,1.8930793402582116,0.06353538784426109,13075,probe,False
Tomato (paste),tinned_milk_forms,0.7318691944860777,0.032538976344073454,1.7021143816929925,0.07567617276159187,12038,probe,False
Condiment,millet_sorghum_grain,0.6447259647249272,0.031012499412106022,1.3741837509111534,0.06610075458251524,11240,probe,False
Fish (smoked),millet_sorghum_grain,0.6043855590680935,0.04682223702638748,1.288201282402325,0.09979799298206324,10476,probe,False
Guinea Corn/Sorghum,millet_sorghum_grain,0.4442181975959932,0.3768322881495381,0.9468168840631344,0.8031890066886019,525,probe,True
Kenkey/Banku,millet_sorghum_grain,0.723940901491939,0.07759833062389629,1.5430242892026826,0.16539486677364584,10987,probe,False
Millet,millet_sorghum_grain,0.47334801461519654,0.18373653665356682,1.008904846088804,0.391620280448527,872,probe,True
Pepper,millet_sorghum_grain,0.6343130315487325,0.032939787602667865,1.3519893856258103,0.07020862096249424,12978,probe,False
Salt,millet_sorghum_grain,0.4691701268461668,0.025769287806957666,1.0,0.05492525276530872,13247,probe,False
Sugar,millet_sorghum_grain,0.730047277248009,0.040161180350126016,1.556039558945277,0.0856004635676521,12822,probe,False
Sugar Bread,millet_sorghum_grain,0.8302990672359806,0.053398961633556584,1.7697185300721885,0.11381577508464265,10303,probe,False
Tomato (fresh),millet_sorghum_grain,0.7629903004674886,0.04220306230549613,1.6262550763758679,0.08995257773377763,13075,probe,False
Tomato (paste),millet_sorghum_grain,0.6831549655480696,0.042597714573325576,1.456092207192179,0.09079374865504314,12038,probe,False
