wave,basis,aggregate,members,n_members,n_positive_sample,largest_member_support,additional_hh_vs_best_member,mean_members_when_positive,n_hh_multiple_members,weighted_prevalence
2016-17,purchased,Cocoa Powder,Cocoa (milk powder beverages); Cocoa Powder,2,5118,5058,60,1.006252442360297,32,0.42430808363922123
2016-17,purchased,Coconut (fresh/dried),Coconut (dried); Coconut (fresh),2,1425,1395,30,1.0105263157894737,15,0.14162630993262929
2016-17,purchased,Crab and shrimp,Crab; Shrimp,2,709,555,154,1.0902679830747533,64,0.06643575370692403
2016-17,purchased,Fish (canned or in oil/sauce),Fish (canned); Mackerel (processed); Tuna (processed),3,3898,2397,1501,1.25782452539764,948,0.35259200558253423
2016-17,purchased,Fish (smoked),"Fish (smoked, river); Fish (smoked, sea)",2,7722,5238,2484,1.257187257187257,1986,0.6353419063777092
2016-17,purchased,Gari,Gari (white); Gari (yellow),2,4312,3999,313,1.0282931354359925,122,0.3269519625006879
2016-17,purchased,Spirits (gin/whisky/schnapps),Gin; Schnapps; Whisky,3,234,179,55,1.0555555555555556,13,0.012563554333814488
2016-17,purchased,Goat/Mutton,Goat; Mutton,2,1269,1142,127,1.0969267139479906,123,0.09854249051251252
2016-17,purchased,Millet/Sorghum,Guinea Corn/Sorghum; Millet; Millet (flour),3,777,433,344,1.2252252252252251,159,0.02825354772393343
2016-17,purchased,"Fish (kapla/tilapia, fresh or frozen)",Kapla; Tilapia,2,3583,3018,565,1.0747976555958694,268,0.30454834401563285
2016-17,purchased,Macaroni/Spaghetti,Macaroni; Spaghetti,2,832,543,289,1.0540865384615385,45,0.06601934149584866
2016-17,purchased,Malt Drinks,Malt Drinks (bottle); Malt Drinks (canned),2,3356,2363,993,1.164481525625745,552,0.2751496520373067
2016-17,purchased,Milk (evaporated/condensed),"Milk (evaporated); Milk (tinned, condensed/unsweetened)",2,3390,3353,37,1.0053097345132744,18,0.29602789458986645
2016-17,purchased,Oil (palm)/Shea Butter,Oil (palm); Shea Butter,2,6862,5497,1365,1.039055668901195,268,0.4882269755041595
2016-17,purchased,Rice,Rice (imported); Rice (local),2,10333,7054,3279,1.1570695828897706,1623,0.7623410185620797
2016-17,purchased,Sugar (cubed/granulated),Sugar (cubed); Sugar (granulated),2,8096,7971,125,1.0216156126482214,175,0.5438093108470602
2016-17,total,Beer/Pito,Beer; Pito,2,1627,903,724,1.1044867854947757,170,0.08741216778517376
2016-17,total,Bread (including sugar bread),Bread; Sugar Bread,2,11318,8786,2532,1.4337338752429758,4909,0.8771382950775809
2016-17,total,Cocoa Powder,Cocoa (milk powder beverages); Cocoa Powder,2,5118,5058,60,1.006252442360297,32,0.42430808363922123
2016-17,total,Coconut (fresh/dried),Coconut (dried); Coconut (fresh),2,1673,1643,30,1.0089659294680215,15,0.15727481012107328
2016-17,total,Crab and shrimp,Crab; Shrimp,2,709,555,154,1.0902679830747533,64,0.06643575370692403
2016-17,total,Fish (canned or in oil/sauce),Fish (canned); Mackerel (processed); Tuna (processed),3,3898,2397,1501,1.25782452539764,948,0.35259200558253423
2016-17,total,Fish (smoked),"Fish (smoked, river); Fish (smoked, sea)",2,7722,5238,2484,1.257187257187257,1986,0.6353419063777092
2016-17,total,Gari,Gari (white); Gari (yellow),2,4532,3999,533,1.0423654015887025,192,0.34176809340132785
2016-17,total,Spirits (gin/whisky/schnapps),Gin; Schnapps; Whisky,3,234,179,55,1.0555555555555556,13,0.012563554333814488
2016-17,total,Goat/Mutton,Goat; Mutton,2,1381,1232,149,1.0984793627805938,136,0.10286456534313122
2016-17,total,Millet/Sorghum,Guinea Corn/Sorghum; Millet; Millet (flour),3,2176,1230,946,1.5284926470588236,923,0.06272456051583439
2016-17,total,"Fish (kapla/tilapia, fresh or frozen)",Kapla; Tilapia,2,3583,3018,565,1.0747976555958694,268,0.30454834401563285
2016-17,total,Macaroni/Spaghetti,Macaroni; Spaghetti,2,832,543,289,1.0540865384615385,45,0.06601934149584866
2016-17,total,Malt Drinks,Malt Drinks (bottle); Malt Drinks (canned),2,3356,2363,993,1.164481525625745,552,0.2751496520373067
2016-17,total,Milk (evaporated/condensed),"Milk (evaporated); Milk (tinned, condensed/unsweetened)",2,3390,3353,37,1.0053097345132744,18,0.29602789458986645
2016-17,total,Oil (palm)/Shea Butter,Oil (palm); Shea Butter,2,7522,5896,1626,1.039351236373305,296,0.5167512829489571
2016-17,total,Rice,Rice (imported); Rice (local),2,11089,7054,4035,1.1521327441608802,1687,0.7838211986365963
2016-17,total,Sugar (cubed/granulated),Sugar (cubed); Sugar (granulated),2,8096,7971,125,1.0216156126482214,175,0.5438093108470602
