s3aq13	double	How much did (NAME) pay for overall treatment or services received?
s3aq14	double	How much did (NAME) pay for any other services?
s3aq15	double	How much did (NAME) pay to travel there and return?
s3aq16	int8	During the past 2 weeks was (NAME) admitted to a hospital or health facility for
s3aq17	int8	How many nights did (NAME) stay in hospital/health facility during the past 2 we
s3aq18	double	How much did (NAME) or will (NAME) pay for staying in a hospital/health facility
s3aq19	int8	During the past 2 weeks did (NAME) buy any medicine or medical supplies?
s3aq20	double	How much did (NAME) pay altogether for these medicines and medical supplies?
s3aq21	double	Total medical expenses
s3aq22a	int8	During the past 3 months was (NAME) admitted to a hospital or health facility fo
s3aq22b	int16	How much did (NAME) spend on admissions for any illness or injury in the last 3
s3aq23	int8	Who usually pays for the largest portions of (NAME?s) health expenses incl. Cons
s3aq23o	string	Other Specify
s3bq1	int8	Has (NAME) ever been registered with a health insurance scheme?
s3bq2	int8	Is (NAME) currently covered?
s3bq3	double	TAKE WEIGHT (KG) OF MEMBER
s3bq3o	string	Other Specify
s3bq4	double	TAKE HEIGHT (CM) OF MEMBER
s3bq4o	string	Other Specify
s3bq5	int8	WHAT IS THE MODE OF MEASUREMENT (HEIGHT)
s3cq1	int8	Does (NAME) have difficulty seeing, even if wearing glasses? Will you say that [
s3cq2	int8	Does (NAME) have difficulty hearing, even if using a hearing aid? Will you say t
s3cq3	int8	Does (NAME) have difficulty walking or climbing stairs? Will you say that [NAME]
s3cq4	int8	Does (NAME) have difficulty remembering or concentrating Will you say that [NAME
s3cq5	int8	Does (NAME) have difficulty with self-care such as washing all over the body or
s3cq6	int8	Using (his/her) usual language, does (NAME) have difficulty communicating (e.g.
s4aq6o	int8	Which of the following type of work did Name do in the past 7 days
s4aq1	int8	During the past 7 days, did [NAME] work for a wage, salary, commission, other pa
s4aq2	int8	During the past 7 days, how many hours did [NAME] work for a wage/salary?
s4aq3a	int8	Wage/salary work hours: Day 1
s4aq3b	int8	Wage/salary work hours: Day 2
s4aq3c	int8	Wage/salary work hours: Day 3
s4aq3d	int8	Wage/salary work hours: Day 4
s4aq3e	int8	Wage/salary work hours: Day 5
s4aq3f	int8	Wage/salary work hours: Day 6
s4aq3g	int8	Wage/salary work hours: Day 7
s4aq4	int8	During the past 7 days, did [NAME] work as a domestic worker for a wage, salary,
s4aq5	int8	During the past 7 days, for how many days did (NAME) do domestic work?
s4aq6a	int8	Domestic work hours: Day 1
s4aq6b	int8	Domestic work hours: Day 2
s4aq6c	int8	Domestic work hours: Day 3
s4aq6d	int8	Domestic work hours: Day 4
s4aq6e	int8	Domestic work hours: Day 5
s4aq6f	int8	Domestic work hours: Day 6
s4aq6g	int8	Domestic work hours: Day 7
s4aq7	int8	During the past 7 days, did [NAME] work on a farm that is owned or rented by a m
s4aq8	int8	During the past 7 days, how many days has (NAME) done on this farm or other agri
s4aq9a	int8	Farm Enterprise work hours: Day 1
s4aq9b	int8	Farm Enterprise work hours: Day 2
s4aq9c	int8	Farm Enterprise work hours: Day 3
s4aq9d	int8	Farm Enterprise work hours: Day 4
s4aq9e	int8	Farm Enterprise work hours: Day 5
s4aq9f	int8	Farm Enterprise work hours: Day 6
s4aq9g	int8	Farm Enterprise work hours: Day 7
s4aq10	int8	Are the products obtained from this activity on the farm mainly intended for sal
s4aq11	int8	During the past 7 days, did [NAME] run/manage a non-farm enterprise of any size
s4aq12	int8	During the past 7 days, for how many days did (NAME) work in the non-farm enterp
s4aq13a	int8	Non-Farm Enterprise work hours: Day 1
s4aq13b	int8	Non-Farm Enterprise work hours: Day 2
s4aq13c	int8	Non-Farm Enterprise work hours: Day 3
s4aq13d	int8	Non-Farm Enterprise work hours: Day 4
s4aq13e	int8	Non-Farm Enterprise work hours: Day 5
s4aq13f	int8	Non-Farm Enterprise work hours: Day 6
s4aq13g	int8	Non-Farm Enterprise work hours: Day 7
s4aq14	int8	Are the products/services obtained from this activity on the non-farm enterprise
s4aq15	int8	During the past 7 days, did [NAME] help/work in a farm/non-farm enterprise of an
s4aq16	int8	During the past 7 days, for how many days did (NAME) help/work in the farm/non-f
s4aq17a	int8	Family help work hours: Day 1
s4aq17b	int8	Family help work hours: Day 2
s4aq17c	int8	Family help work hours: Day 3
s4aq17d	int8	Family help work hours: Day 4
s4aq17e	int8	Family help work hours: Day 5
s4aq17f	int8	Family help work hours: Day 6
s4aq17g	int8	Family help work hours: Day 7
s4aq18	int8	Are the products/services obtained from this activity on the non-farm enterprise
s4aq19	int8	During the past 7 days, did [NAME] catch fish, prawns, wildlife or collect any o
s4aq20	int8	During the past 7 days, for how many days did (NAME) do this activity?
s4aq21a	int8	Non Productive Agric work hours: Day 1
s4aq21b	int8	Non Productive Agric work hours: Day 2
s4aq21c	int8	Non Productive Agric work hours: Day 3
s4aq21d	int8	Non Productive Agric work hours: Day 4
s4aq21e	int8	Non Productive Agric work hours: Day 5
s4aq21f	int8	Non Productive Agric work hours: Day 6
s4aq21g	int8	Non Productive Agric work hours: Day 7
s4aq22	int8	During the past 7 days, did [NAME] work as an apprentice even if it was for at l
s4aq23	int8	During the past 7 days, for how many days did (NAME) work as an apprentice?
s4aq24a	int8	Apprenticeship work hours: Day 1
s4aq24b	int8	Apprenticeship work hours: Day 2
s4aq24c	int8	Apprenticeship work hours: Day 3
s4aq24d	int8	Apprenticeship work hours: Day 4
s4aq24e	int8	Apprenticeship work hours: Day 5
s4aq24f	int8	Apprenticeship work hours: Day 6
s4aq24g	int8	Apprenticeship work hours: Day 7
s4aq25	int8	During the past 7 days, did [NAME] do any voluntary work for someone who is not
s4aq26	int8	During the past 7 days, for how many days did (NAME) do voluntary work?
s4aq27a	int8	Voluntary work hours: Day 1
s4aq27b	int8	Voluntary work hours: Day 2
s4aq27c	int8	Voluntary work hours: Day 3
s4aq27d	int8	Voluntary work hours: Day 4
s4aq27e	int8	Voluntary work hours: Day 5
s4aq27f	int8	Voluntary work hours: Day 6
s4aq27g	int8	Voluntary work hours: Day 7
s4aq28	int8	INTERVIEWER:  IS THERE A 'YES' RESPONSE IN QUESTIONS 1, 4, 7, 11, 15, 19, 22 or
s4aq29	int8	Even though [NAME] did not do any activity in the past seven days, does [NAME] h
s4aq29a	int8	Even though (NAME) did not do any activities in the past seven days , does Name
s4aq30	int8	Even though [NAME] did not do any activity in the past seven days, does [NAME] r
s4aq31	int8	Are the products obtained from this activity on the farm mainly intended for sal
s4aq32	int8	Even though [NAME] did not do any activity in the past seven days, does [NAME] r
s4aq33	int8	Are the products/services obtained from this activity on the non-farm enterprise
s4aq34	int8	Even though [NAME] did not do any activities in the past seven days, does [NAME]
s4aq35	int8	Even though [NAME] did not do any activities in the past seven days, does [NAME]
s4aq36	int8	Even though [NAME] did not do any activities in the past seven days, does [NAME]
s4aq37	int8	Does [NAME] do any work involuntarily for someone who is not a member of [NAME?s
s4aq38	int8	INTERVIEWER CHECK:  IS THERE A 'YES' RESPONSE IN QUESTIONS 29, 30, 32, 34, 35, 3
s4aq39	int8	What is the main reason [NAME] did not do this activity during the past seven da
s4aq39a	string	Other Specify
s4aq40a1	int8	Main occupation (code) - Major
s4aq40a2	int16	Main occupation (code) - Detail (4)
s4aq40a3	int32	Main occupation (code) - Detail (6)
s4aq41a1	int8	Industry of main occupation (code) - Major
s4aq41a2	int16	Industry of main occupation (code) - Detail (4)
s4aq41a3	int32	Industry of main occupation (code) - Detail (6)
s4aq42	int8	In what sector is [NAME] mainly working?
s4aq43	int8	How long has (NAME) been doing this work?
s4aq43m	int8	How long has (NAME) been doing this work?
s4aq44	int8	Where do you usually do your main work?
s4aq44a	string	Other Specify
s4aq45	int8	Is the work you do regular or temporary?
s4aq46	int8	What is [NAME?s] status in this job?
s4aq46a	string	Other Specify
s4aq47	int8	Does [NAME] have a contract/agreement (written or verbal) or letter of appointme
s4aq48	int8	Does [NAME's] employer provide health insurance coverage (either partial or full
s4aq49	int8	In this job, is (NAME) entitled to paid holidays/leave?
s4aq50	int8	Is (NAME) entitled to paid sick leave and/or maternity leave on this job?
s4aq51	int8	Is [NAME] entitled to any social security benefits in this job?
s4aq52	string	What type of social security benefit will/does [NAME] benefits?
s4aq52b	int8	Two-tier Scheme
s4aq52c	int8	SSNIT scheme
s4aq52d	int8	Cap 30
s4aq52e	int8	Other benefit
s4aq52o	string	Other Specify
s4aq52a	string	Other Specify
s4aq53	int8	Is [NAME] entitled to free or subsidized medical care in this job?
s4aq54	int8	Is [NAME] paid on a timely basis or a piece rate basis
s4aq54a	string	Other specify
s4aq55a	double	How much is [NAME's] payment for this job? IF [NAME] HAS NOT YET BEEN PAID, ASK:
s4aq55b	int8	Time Unit of payment
s4aq56	int8	Does [NAME] receive other payments (including bonuses, commission, allowances, t
s4aq57a	double	ow much is [NAME's] other cash payments (including bonuses, commission, allowanc
s4aq57b	int8	Time Unit of payment
s4aq58	int8	Does [NAME] receive any payment in-kind?
s4aq59a	double	What is the value of goods and services you received?
s4aq59b	int8	Time Unit of payment
