j,group,beta_raw,se_raw,beta_anchor_units,se_anchor_units,n_train_positive,fit,is_member
Condiment,millet_sorghum,0.5376873106751283,0.18126510902347687,1.2797197160847826,0.43141902226470213,5648,probe,False
Fish (smoked),millet_sorghum,0.2633325975482769,0.26379626379856075,0.6267432953684868,0.6278468416683358,6895,probe,False
Guinea Corn/Sorghum,millet_sorghum,1.0270512972316879,0.5495654910947368,2.4444277713147833,1.3079903138325684,407,probe,True
Kenkey/Banku,millet_sorghum,0.488852598165121,0.489506692013586,1.1634909281114916,1.1650477005653541,6263,probe,False
Millet,millet_sorghum,1.790500800587333,1.0695958663903555,4.261471548026971,2.5456857383222573,465,probe,True
Oil (palm),millet_sorghum,0.5212449026400823,0.23004105531362015,1.2405860535924709,0.5475079440207574,5430,probe,False
Pepper,millet_sorghum,0.6112359781902801,0.1251492079220004,1.4547688162629577,0.29786068157175516,6390,probe,False
Salt,millet_sorghum,0.4201602147071289,0.11023896709429469,1.0,0.2623736451846978,7252,probe,False
Sugar,millet_sorghum,0.7054144279259248,0.2562089600750154,1.6789177157519097,0.6097887213181403,6967,probe,False
Sugar Bread,millet_sorghum,0.5306233294944299,0.41413117901004437,1.2629071266642866,0.9856506268655469,5627,probe,False
Tomato (fresh),millet_sorghum,0.5826272149856481,0.22511564604596454,1.3866786872997154,0.5357852508783597,6975,probe,False
Beer,beer_pito,2.303327879049093,0.8180195782456506,10.430373057412657,3.7043138525688133,844,probe,True
Condiment,beer_pito,0.5286945892699192,0.15874678752420737,2.3941366965945887,0.7188677871718727,5648,probe,False
Fish (smoked),beer_pito,0.30384372160933415,0.15755011256547027,1.3759236782417474,0.7134487730742164,6895,probe,False
Kenkey/Banku,beer_pito,0.6264053251907781,0.21953698396018226,2.8366092757871093,0.9941496664162567,6263,probe,False
Oil (palm),beer_pito,0.46606479116222194,0.19318388973665473,2.1105243786455663,0.8748125080078684,5430,probe,False
Pepper,beer_pito,0.44607060785994784,0.14563425621908518,2.019982865768508,0.6594890966764969,6390,probe,False
Pito,beer_pito,0.5183304958027113,0.43157765135058684,2.347204011826539,1.9543530679127639,1121,probe,True
Salt,beer_pito,0.22082890672948308,0.13461885850281172,1.0,0.6096070505285829,7252,probe,False
Sugar,beer_pito,0.5370138853133792,0.18729990086555795,2.4318097357209894,0.8481674960017875,6967,probe,False
Sugar Bread,beer_pito,0.7642637032728092,0.23404378217269334,3.460886142995027,1.059842144938926,5627,probe,False
Tomato (fresh),beer_pito,0.5452812558009204,0.1776578145014355,2.469247635541182,0.8045043428986747,6975,probe,False
Condiment,named_spirits,0.5733430951904414,0.3093105398449961,1.6763513571843849,0.9043679911909727,5648,probe,False
Fish (smoked),named_spirits,0.5284902064191258,0.14385679210145771,1.5452096348959876,0.420611202441304,6895,probe,False
Kenkey/Banku,named_spirits,0.6375533668818999,0.3623638070243209,1.8640905608097489,1.0594861345595363,6263,probe,False
Oil (palm),named_spirits,0.5059651269392026,0.19127491480154357,1.4793503826025365,0.5592532040808659,5430,probe,False
Pepper,named_spirits,0.48847773940821565,0.2438257843713838,1.4282204290597245,0.7129024278416579,6390,probe,False
Salt,named_spirits,0.34201845140235615,0.19000071556041948,1.0,0.5555276763033451,7252,probe,False
Sugar,named_spirits,0.6084351899538856,0.2334063958974479,1.7789542858262708,0.6824380232716298,6967,probe,False
Sugar Bread,named_spirits,0.6178971402728527,0.3150925313195347,1.8066193146578173,0.9212734869349333,5627,probe,False
Tomato (fresh),named_spirits,0.5631049711830599,0.20962270116714235,1.646416937081017,0.612898807966763,6975,probe,False
Whisky,named_spirits,2.0962055615413013,0.748614249512675,6.128925363372547,2.188812464483072,272,probe,True
Condiment,tinned_milk_forms,0.38395673139716785,0.4830622351676584,2.1826220310155113,2.745992427302719,5648,probe,False
Fish (smoked),tinned_milk_forms,0.11925225588138348,0.4725220888216453,0.6778956576379652,2.686076416607391,6895,probe,False
Kenkey/Banku,tinned_milk_forms,-0.02623853119244705,0.6356012851187403,-0.1491542967191356,3.6131085989658644,6263,probe,False
Milk (evaporated),tinned_milk_forms,0.986426788184586,1.0228314792867252,5.607394437495802,5.814338799540732,2984,probe,True
"Milk (tinned, condensed/unsweetened)",tinned_milk_forms,2.6760874571580144,3.591254171810318,15.212358485455228,20.414671324674636,179,probe,True
Oil (palm),tinned_milk_forms,0.31605368434104864,0.3785416242287852,1.7966236245324052,2.1518395723696795,5430,probe,False
Pepper,tinned_milk_forms,0.28872799276304034,0.3700543532036221,1.6412893079966127,2.103593238322319,6390,probe,False
Salt,tinned_milk_forms,0.17591535590728177,0.28395165367241987,1.0,1.6141379597474133,7252,probe,False
Sugar,tinned_milk_forms,0.5064804311317955,0.4369785037621762,2.8791143815707705,2.484027056697033,6967,probe,False
Sugar Bread,tinned_milk_forms,0.45374020495745726,0.48889743514623385,2.579309819869314,2.779162925400969,5627,probe,False
Tomato (fresh),tinned_milk_forms,0.2631442745904789,0.5038213655071028,1.4958573299830182,2.8639987845782358,6975,probe,False
Condiment,millet_sorghum_grain,0.5376873106751283,0.1900512539255616,1.2797197160847826,0.4523304379450494,5648,probe,False
Fish (smoked),millet_sorghum_grain,0.2633325975482769,0.18505549301377708,0.6267432953684868,0.4404403047603384,6895,probe,False
Guinea Corn/Sorghum,millet_sorghum_grain,1.0270512972316879,0.5886198301258847,2.4444277713147833,1.4009413778888606,407,probe,True
Kenkey/Banku,millet_sorghum_grain,0.488852598165121,0.32795343095767615,1.1634909281114916,0.7805437532591583,6263,probe,False
Millet,millet_sorghum_grain,1.790500800587333,0.8207934724116555,4.261471548026971,1.953524973762179,465,probe,True
Oil (palm),millet_sorghum_grain,0.5212449026400823,0.2785879501783423,1.2405860535924709,0.6630517131959556,5430,probe,False
Pepper,millet_sorghum_grain,0.6112359781902801,0.12596178805871733,1.4547688162629577,0.29979465844122943,6390,probe,False
Salt,millet_sorghum_grain,0.4201602147071289,0.1259063063065815,1.0,0.2996626094032821,7252,probe,False
Sugar,millet_sorghum_grain,0.7054144279259248,0.23012690114358952,1.6789177157519097,0.5477122609145624,6967,probe,False
Sugar Bread,millet_sorghum_grain,0.5306233294944299,0.4293519322709922,1.2629071266642866,1.0218766966555137,5627,probe,False
Tomato (fresh),millet_sorghum_grain,0.5826272149856481,0.21101272891093614,1.3866786872997154,0.5022196807901523,6975,probe,False
