country,feature,wave,tier,coverage,n_rows,detail
Benin,interview_date,2018-19,sane,declared,24035,warn: index_levels_match_scheme
Benin,livestock,2018-19,sane,declared,7334,all checks pass
Benin,people_last7days,2018-19,sane,declared,35042,"warn: index_levels_match_scheme,no_constant_columns"
Benin,plot_features,2018-19,sane,declared,7588,"warn: index_levels_match_scheme,no_constant_columns"
Benin,plot_inputs,2018-19,sane,declared,10534,warn: index_levels_match_scheme
Benin,plot_labor,2018-19,sane,declared,10738,warn: index_levels_match_scheme
Benin,sample,2018-19,sane,declared,8012,all checks pass
Benin,shocks,2018-19,sane,declared,12305,all checks pass
Benin,subjective_well_being,2018-19,sane,declared,7953,warn: index_levels_match_scheme
Burkina_Faso,assets,2014,sane,declared,50461,all checks pass
Burkina_Faso,assets,2018-19,sane,declared,42215,all checks pass
Burkina_Faso,assets,2021-22,sane,declared,20275,all checks pass
Burkina_Faso,cluster_features,2014,sane,declared,900,warn: has_household_index
Burkina_Faso,cluster_features,2018-19,sane,declared,585,warn: has_household_index
Burkina_Faso,cluster_features,2021-22,sane,declared,550,warn: has_household_index
Burkina_Faso,crop_production,2014,absent,absent,,source not declared for wave
Burkina_Faso,crop_production,2018-19,sane,declared,15587,"warn: index_levels_match_scheme,no_constant_columns"
Burkina_Faso,crop_production,2021-22,absent,absent,,source not declared for wave
Burkina_Faso,food_acquired,2014,sane,declared,97361,all checks pass
Burkina_Faso,food_acquired,2018-19,sane,declared,137934,all checks pass
Burkina_Faso,food_acquired,2021-22,sane,declared,69208,all checks pass
Burkina_Faso,food_coping,2014,sane,declared,51099,warn: index_levels_match_scheme
Burkina_Faso,food_coping,2018-19,absent,absent,,source not declared for wave
Burkina_Faso,food_coping,2021-22,absent,absent,,source not declared for wave
Burkina_Faso,food_expenditures,2014,sane,declared,96793,all checks pass
Burkina_Faso,food_expenditures,2018-19,sane,declared,97802,all checks pass
Burkina_Faso,food_expenditures,2021-22,sane,declared,50109,all checks pass
Burkina_Faso,food_prices,2014,sane,declared,96582,all checks pass
Burkina_Faso,food_prices,2018-19,sane,declared,97385,all checks pass
Burkina_Faso,food_prices,2021-22,sane,declared,50000,all checks pass
Burkina_Faso,food_quantities,2014,sane,declared,97062,all checks pass
Burkina_Faso,food_quantities,2018-19,sane,declared,137452,all checks pass
Burkina_Faso,food_quantities,2021-22,sane,declared,69017,all checks pass
Burkina_Faso,food_security,2014,absent,absent,,source not declared for wave
Burkina_Faso,food_security,2018-19,sane,declared,7009,warn: index_levels_match_scheme
Burkina_Faso,food_security,2021-22,sane,declared,3224,warn: index_levels_match_scheme
Burkina_Faso,household_characteristics,2014,dropped,declared,,declared for wave but absent from built t-index
Burkina_Faso,household_characteristics,2018-19,sane,declared,7004,all checks pass
Burkina_Faso,household_characteristics,2021-22,sane,declared,3226,all checks pass
Burkina_Faso,household_roster,2014,sane,declared,78543,warn: index_levels_match_scheme
Burkina_Faso,household_roster,2018-19,sane,declared,45612,warn: index_levels_match_scheme
Burkina_Faso,household_roster,2021-22,sane,declared,22362,warn: index_levels_match_scheme
Burkina_Faso,housing,2014,sane,declared,10799,warn: index_levels_match_scheme
Burkina_Faso,housing,2018-19,sane,declared,7010,warn: index_levels_match_scheme
Burkina_Faso,housing,2021-22,sane,declared,3227,warn: index_levels_match_scheme
Burkina_Faso,individual_education,2014,sane,declared,64477,warn: index_levels_match_scheme
Burkina_Faso,individual_education,2018-19,sane,declared,45612,warn: index_levels_match_scheme
Burkina_Faso,individual_education,2021-22,sane,declared,22362,warn: index_levels_match_scheme
Burkina_Faso,interview_date,2014,absent,absent,,source not declared for wave
Burkina_Faso,interview_date,2018-19,sane,declared,21028,warn: index_levels_match_scheme
Burkina_Faso,interview_date,2021-22,sane,declared,9681,warn: index_levels_match_scheme
Burkina_Faso,livestock,2014,absent,absent,,source not declared for wave
Burkina_Faso,livestock,2018-19,sane,declared,13961,all checks pass
Burkina_Faso,livestock,2021-22,absent,absent,,source not declared for wave
Burkina_Faso,months_food_inadequate,2014,sane,declared,10220,warn: index_levels_match_scheme
Burkina_Faso,months_food_inadequate,2018-19,absent,absent,,source not declared for wave
Burkina_Faso,months_food_inadequate,2021-22,absent,absent,,source not declared for wave
Burkina_Faso,panel_ids,,sane,declared,3132,3132 entries
Burkina_Faso,people_last7days,2014,absent,absent,,source not declared for wave
Burkina_Faso,people_last7days,2018-19,sane,declared,45332,"warn: index_levels_match_scheme,no_constant_columns"
Burkina_Faso,people_last7days,2021-22,absent,absent,,source not declared for wave
Burkina_Faso,plot_features,2014,absent,absent,,source not declared for wave
Burkina_Faso,plot_features,2018-19,sane,declared,12434,"warn: index_levels_match_scheme,no_constant_columns"
Burkina_Faso,plot_features,2021-22,sane,declared,7350,"warn: index_levels_match_scheme,no_constant_columns"
Burkina_Faso,plot_inputs,2014,absent,absent,,source not declared for wave
Burkina_Faso,plot_inputs,2018-19,sane,declared,22694,warn: index_levels_match_scheme
Burkina_Faso,plot_inputs,2021-22,absent,absent,,source not declared for wave
Burkina_Faso,plot_labor,2014,absent,absent,,source not declared for wave
Burkina_Faso,plot_labor,2018-19,sane,declared,16987,warn: index_levels_match_scheme
Burkina_Faso,plot_labor,2021-22,absent,absent,,source not declared for wave
Burkina_Faso,sample,2014,sane,declared,10411,all checks pass
Burkina_Faso,sample,2018-19,builds,declared,7010,fail: no_all_null_columns; warn: no_constant_columns
Burkina_Faso,sample,2021-22,builds,declared,3227,fail: no_all_null_columns; warn: no_constant_columns
Burkina_Faso,shocks,2014,sane,declared,11596,all checks pass
Burkina_Faso,shocks,2018-19,builds,declared,8766,fail: no_all_null_columns; warn: no_constant_columns
Burkina_Faso,shocks,2021-22,sane,declared,4475,all checks pass
Burkina_Faso,subjective_well_being,2014,absent,absent,,source not declared for wave
Burkina_Faso,subjective_well_being,2018-19,sane,declared,6988,warn: index_levels_match_scheme
Burkina_Faso,subjective_well_being,2021-22,sane,declared,3186,warn: index_levels_match_scheme
Burkina_Faso,updated_ids,,sane,declared,2,2 entries
Cambodia,cluster_features,2019-20,sane,declared,252,warn: has_household_index
Cambodia,household_characteristics,2019-20,sane,declared,1512,all checks pass
Cambodia,household_roster,2019-20,sane,declared,6351,warn: index_levels_match_scheme
Cambodia,housing,2019-20,sane,declared,1512,warn: index_levels_match_scheme
Cambodia,individual_education,2019-20,sane,declared,1973,warn: index_levels_match_scheme
Cambodia,interview_date,2019-20,sane,declared,1512,warn: index_levels_match_scheme
Cambodia,plot_features,2019-20,sane,declared,2951,warn: index_levels_match_scheme
Cambodia,sample,2019-20,sane,declared,1512,all checks pass
China,cluster_features,1995-97,sane,declared,30,warn: has_household_index
China,household_characteristics,1995-97,sane,declared,784,all checks pass
China,household_roster,1995-97,sane,declared,2996,warn: index_levels_match_scheme
China,individual_education,1995-97,sane,declared,1744,warn: index_levels_match_scheme
China,plot_features,1995-97,sane,declared,3180,"warn: index_levels_match_scheme,no_constant_columns"
China,sample,1995-97,sane,declared,787,all checks pass
CotedIvoire,assets,1985-86,absent,absent,,source not declared for wave
CotedIvoire,assets,1986-87,absent,absent,,source not declared for wave
CotedIvoire,assets,1987-88,absent,absent,,source not declared for wave
CotedIvoire,assets,1988-89,absent,absent,,source not declared for wave
CotedIvoire,assets,2018-19,sane,declared,66857,all checks pass
CotedIvoire,cluster_features,1985-86,builds,declared,100,"fail: no_all_null_columns; warn: has_household_index,no_constant_columns"
CotedIvoire,cluster_features,1986-87,builds,declared,100,"fail: no_all_null_columns; warn: has_household_index,no_constant_columns"
CotedIvoire,cluster_features,1987-88,builds,declared,100,"fail: no_all_null_columns; warn: has_household_index,no_constant_columns"
CotedIvoire,cluster_features,1988-89,builds,declared,100,"fail: no_all_null_columns; warn: has_household_index,no_constant_columns"
CotedIvoire,cluster_features,2018-19,sane,declared,1084,warn: has_household_index
CotedIvoire,crop_production,1985-86,absent,absent,,source not declared for wave
CotedIvoire,crop_production,1986-87,absent,absent,,source not declared for wave
CotedIvoire,crop_production,1987-88,absent,absent,,source not declared for wave
CotedIvoire,crop_production,1988-89,absent,absent,,source not declared for wave
CotedIvoire,crop_production,2018-19,sane,declared,22216,"warn: index_levels_match_scheme,no_null_index_levels,no_constant_columns"
CotedIvoire,food_acquired,1985-86,absent,absent,,source not declared for wave
CotedIvoire,food_acquired,1986-87,absent,absent,,source not declared for wave
CotedIvoire,food_acquired,1987-88,absent,absent,,source not declared for wave
CotedIvoire,food_acquired,1988-89,absent,absent,,source not declared for wave
CotedIvoire,food_acquired,2018-19,sane,declared,296241,all checks pass
CotedIvoire,food_expenditures,1985-86,dropped,declared,,declared for wave but absent from built t-index
CotedIvoire,food_expenditures,1986-87,dropped,declared,,declared for wave but absent from built t-index
CotedIvoire,food_expenditures,1987-88,dropped,declared,,declared for wave but absent from built t-index
CotedIvoire,food_expenditures,1988-89,dropped,declared,,declared for wave but absent from built t-index
CotedIvoire,food_expenditures,2018-19,sane,declared,215620,all checks pass
CotedIvoire,food_prices,1985-86,absent,absent,,source not declared for wave
CotedIvoire,food_prices,1986-87,absent,absent,,source not declared for wave
CotedIvoire,food_prices,1987-88,absent,absent,,source not declared for wave
CotedIvoire,food_prices,1988-89,absent,absent,,source not declared for wave
CotedIvoire,food_prices,2018-19,sane,declared,213872,all checks pass
CotedIvoire,food_quantities,1985-86,absent,absent,,source not declared for wave
CotedIvoire,food_quantities,1986-87,absent,absent,,source not declared for wave
CotedIvoire,food_quantities,1987-88,absent,absent,,source not declared for wave
CotedIvoire,food_quantities,1988-89,absent,absent,,source not declared for wave
CotedIvoire,food_quantities,2018-19,sane,declared,294493,all checks pass
CotedIvoire,food_security,1985-86,absent,absent,,source not declared for wave
CotedIvoire,food_security,1986-87,absent,absent,,source not declared for wave
CotedIvoire,food_security,1987-88,absent,absent,,source not declared for wave
CotedIvoire,food_security,1988-89,absent,absent,,source not declared for wave
CotedIvoire,food_security,2018-19,sane,declared,12960,warn: index_levels_match_scheme
CotedIvoire,household_characteristics,1985-86,dropped,declared,,declared for wave but absent from built t-index
CotedIvoire,household_characteristics,1986-87,dropped,declared,,declared for wave but absent from built t-index
CotedIvoire,household_characteristics,1987-88,dropped,declared,,declared for wave but absent from built t-index
CotedIvoire,household_characteristics,1988-89,dropped,declared,,declared for wave but absent from built t-index
CotedIvoire,household_characteristics,2018-19,sane,declared,12979,all checks pass
CotedIvoire,household_roster,1985-86,builds,declared,14398,"fail: no_all_null_columns; warn: index_levels_match_scheme,no_constant_columns"
CotedIvoire,household_roster,1986-87,builds,declared,13867,"fail: no_all_null_columns; warn: index_levels_match_scheme,no_constant_columns"
CotedIvoire,household_roster,1987-88,builds,declared,11847,"fail: no_all_null_columns; warn: index_levels_match_scheme,no_constant_columns"
CotedIvoire,household_roster,1988-89,builds,declared,10560,"fail: no_all_null_columns; warn: index_levels_match_scheme,no_constant_columns"
CotedIvoire,household_roster,2018-19,sane,declared,61116,warn: index_levels_match_scheme
CotedIvoire,housing,1985-86,absent,absent,,source not declared for wave
CotedIvoire,housing,1986-87,absent,absent,,source not declared for wave
CotedIvoire,housing,1987-88,absent,absent,,source not declared for wave
CotedIvoire,housing,1988-89,absent,absent,,source not declared for wave
CotedIvoire,housing,2018-19,sane,declared,12992,warn: index_levels_match_scheme
CotedIvoire,individual_education,1985-86,sane,declared,4954,warn: index_levels_match_scheme
CotedIvoire,individual_education,1986-87,sane,declared,5069,warn: index_levels_match_scheme
CotedIvoire,individual_education,1987-88,sane,declared,4591,warn: index_levels_match_scheme
CotedIvoire,individual_education,1988-89,sane,declared,3947,warn: index_levels_match_scheme
CotedIvoire,individual_education,2018-19,sane,declared,61116,warn: index_levels_match_scheme
CotedIvoire,interview_date,1985-86,absent,absent,,source not declared for wave
CotedIvoire,interview_date,1986-87,absent,absent,,source not declared for wave
CotedIvoire,interview_date,1987-88,absent,absent,,source not declared for wave
CotedIvoire,interview_date,1988-89,absent,absent,,source not declared for wave
CotedIvoire,interview_date,2018-19,sane,declared,38973,warn: index_levels_match_scheme
CotedIvoire,livestock,1985-86,absent,absent,,source not declared for wave
CotedIvoire,livestock,1986-87,absent,absent,,source not declared for wave
CotedIvoire,livestock,1987-88,absent,absent,,source not declared for wave
CotedIvoire,livestock,1988-89,absent,absent,,source not declared for wave
CotedIvoire,livestock,2018-19,sane,declared,4711,all checks pass
CotedIvoire,people_last7days,1985-86,absent,absent,,source not declared for wave
CotedIvoire,people_last7days,1986-87,absent,absent,,source not declared for wave
CotedIvoire,people_last7days,1987-88,absent,absent,,source not declared for wave
CotedIvoire,people_last7days,1988-89,absent,absent,,source not declared for wave
CotedIvoire,people_last7days,2018-19,sane,declared,60617,"warn: index_levels_match_scheme,no_constant_columns"
CotedIvoire,plot_features,1985-86,absent,absent,,source not declared for wave
CotedIvoire,plot_features,1986-87,absent,absent,,source not declared for wave
CotedIvoire,plot_features,1987-88,absent,absent,,source not declared for wave
CotedIvoire,plot_features,1988-89,absent,absent,,source not declared for wave
