pair,j,n_cells,median_gap,ratio,in_30_50
reported_purchase_price_vs_unit_value,Biscuits,10,0.0,1.0,False
reported_purchase_price_vs_unit_value,Donut,10,0.0,1.0,False
reported_purchase_price_vs_unit_value,Jam/Marmalade,10,0.0,1.0,False
reported_purchase_price_vs_unit_value,Other Meat,9,0.0,1.0,False
reported_purchase_price_vs_unit_value,Water,9,0.0,1.0,False
reported_purchase_price_vs_unit_value,Ginger,7,0.0,1.0,False
reported_purchase_price_vs_unit_value,Other Drinks,7,0.0,1.0,False
reported_purchase_price_vs_unit_value,Yam,7,0.0,1.0,False
reported_purchase_price_vs_unit_value,Garlic,6,0.0,1.0,False
reported_purchase_price_vs_unit_value,Cake,5,0.0,1.0,False
reported_purchase_price_vs_unit_value,Macaroni/Spaghetti,5,0.0,1.0,False
reported_purchase_price_vs_unit_value,Other Juice,5,0.0,1.0,False
reported_purchase_price_vs_unit_value,Samosa,4,0.0,1.0,False
reported_purchase_price_vs_unit_value,Jackfruit,3,0.0,1.0,False
reported_purchase_price_vs_unit_value,Other Spices,3,0.0,1.0,False
reported_purchase_price_vs_unit_value,Wheat (flour),3,0.0,1.0,False
reported_purchase_price_vs_unit_value,Bongo,2,0.0,1.0,False
reported_purchase_price_vs_unit_value,Ice Cream,2,0.0,1.0,False
reported_purchase_price_vs_unit_value,Soybean,2,0.0,1.0,False
reported_purchase_price_vs_unit_value,Yogurt,2,0.0,1.0,False
unit_value_vs_crop_sale_price,Maize,42,1.203972804325936,3.333333333333333,False
unit_value_vs_crop_sale_price,Matoke,34,0.3151827845361357,1.3705097960612398,True
unit_value_vs_crop_sale_price,Beans,22,0.41159840473913256,1.509228215710232,False
unit_value_vs_crop_sale_price,Millet,11,0.5594074979928143,1.7496355305594125,False
unit_value_vs_crop_sale_price,Ground Nuts,10,0.729692808104466,2.074443257628262,False
unit_value_vs_crop_sale_price,Cassava,9,0.0,1.0,False
unit_value_vs_crop_sale_price,Sorghum,9,0.458145365937078,1.5811388300841904,False
unit_value_vs_crop_sale_price,Rice,7,0.633515470146536,1.8842228790639823,False
unit_value_vs_crop_sale_price,Sweet Bananas,7,-1.0074515102711317,0.365148371670111,False
unit_value_vs_crop_sale_price,Cabbages,5,0.0,1.0,False
unit_value_vs_crop_sale_price,Sweet Potatoes,5,0.0,1.0,False
unit_value_vs_crop_sale_price,Sim Sim,3,0.3285040669720374,1.3888888888888906,True
unit_value_vs_crop_sale_price,Tea,3,2.436116478167988,11.42857134342194,False
unit_value_vs_crop_sale_price,Irish Potatoes,2,0.0019705557323699274,1.0019724985532532,False
unit_value_vs_crop_sale_price,Tomatoes,2,1.1339401836539809,3.107878016963649,False
unit_value_vs_crop_sale_price,Dodo,1,-0.6931471805599454,0.49999999999999994,False
unit_value_vs_crop_sale_price,Onions,1,0.5533852381847861,1.7391304347826078,False
unit_value_vs_crop_sale_price,Soybean,1,0.4700036292457357,1.6,False
unit_value_vs_crop_sale_price_soldunit,Maize,51,1.09861228866811,3.000000000000001,False
unit_value_vs_crop_sale_price_soldunit,Matoke,42,0.2412702240108966,1.272864947510915,False
unit_value_vs_crop_sale_price_soldunit,Beans,27,0.4177317013701005,1.5185132047305934,False
unit_value_vs_crop_sale_price_soldunit,Ground Nuts,14,0.729692808104466,2.074443257628262,False
unit_value_vs_crop_sale_price_soldunit,Millet,14,0.5406755962411229,1.7171665816776458,False
unit_value_vs_crop_sale_price_soldunit,Sorghum,12,0.48448549485153425,1.6233395773754948,False
unit_value_vs_crop_sale_price_soldunit,Rice,9,0.5306282510621703,1.6999999999999997,False
unit_value_vs_crop_sale_price_soldunit,Sweet Bananas,9,-0.6931471805599463,0.4999999999999995,False
unit_value_vs_crop_sale_price_soldunit,Cassava,8,0.3973088012791459,1.4878152983881663,True
unit_value_vs_crop_sale_price_soldunit,Sweet Potatoes,6,-0.055785887828552205,0.945741609003176,False
unit_value_vs_crop_sale_price_soldunit,Cabbages,5,0.0,1.0,False
