t,j,u,geo_level,geo,lp_unit_value,n_unit_value,lp_own_consumption_valuation,n_own_consumption_valuation,lp_crop_sale_price,n_crop_sale_price,gap_1_3,gap_1_4,gap_3_4,position
2009-10,Beans,Kg,District,107,7.24422751560335,13,6.998916057379114,14,6.826495814233249,8,0.2453114582242355,0.4177317013701005,0.17242024314586502,0.41275355109595746
2009-10,Beans,Kg,District,108,7.313220387090301,40,7.24422751560335,21,6.88734428172201,6,0.06899287148695166,0.42587610536829157,0.3568832338813399,0.8379977871092636
2009-10,Beans,Kg,District,110,7.495541943884256,10,6.796183503325032,14,8.115712168132662,6,0.6993584405592239,-0.6201702242484055,-1.3195286648076294,2.1276878721592736
2009-10,Beans,Kg,District,201,7.278723951346826,10,6.907755278982137,12,6.907755278982137,20,0.3709686723646888,0.3709686723646888,0.0,0.0
2009-10,Beans,Kg,District,203,7.313220387090301,22,6.907755278982137,10,6.907755278982137,7,0.4054651081081646,0.4054651081081646,0.0,0.0
2009-10,Beans,Kg,District,404,7.090076835776092,15,6.907755278982137,15,6.907755278982137,29,0.1823215567939549,0.1823215567939549,0.0,0.0
2009-10,Maize,Kg,District,105,7.090076835776092,47,6.907755278982137,19,6.309918278226516,7,0.1823215567939549,0.7801585575495755,0.5978370007556206,0.7663019202575764
2009-10,Maize,Kg,District,107,7.24422751560335,25,6.907755278982137,10,6.214608098422191,12,0.33647223662121295,1.0296194171811583,0.6931471805599454,0.6732071763541618
2009-10,Maize,Kg,District,203,7.090076835776092,25,7.090076835776092,17,5.991464547107982,45,0.0,1.09861228866811,1.09861228866811,1.0
2009-10,Maize,Kg,District,205,7.090076835776092,10,7.090076835776092,21,5.857933154483459,38,0.0,1.2321436812926327,1.2321436812926327,1.0
2011-12,Beans,Kg,District,KABALE,7.345489647659087,10,7.313220387090301,17,6.907755278982137,14,0.03226926056878554,0.43773436867695015,0.4054651081081646,0.9262811812873656
2011-12,Maize,Kg,District,MANAFWA,7.170119543449628,25,7.090076835776092,16,6.396929655216146,17,0.08004270767353638,0.7731898882334818,0.6931471805599454,0.8964772963386638
2013-14,Beans,Kg,District,110,7.600902459542082,12,7.207173529526489,20,6.907755278982137,12,0.39372893001559284,0.6931471805599454,0.29941825054435256,0.43196922521198655
2013-14,Beans,Kg,District,117,7.600902459542082,28,7.313220387090301,14,7.313220387090301,14,0.2876820724517808,0.2876820724517808,0.0,0.0
2013-14,Beans,Kg,District,204,7.600902459542082,12,7.495541943884256,24,7.313220387090301,15,0.10536051565782589,0.2876820724517808,0.1823215567939549,0.6337605789617438
2013-14,Beans,Kg,District,406,7.436650426056064,10,7.313220387090301,17,7.24422751560335,7,0.12343003896576299,0.19242291045271465,0.06899287148695166,0.35854811323990304
2013-14,Beans,Kg,District,411,7.600902459542082,12,6.998916057379114,10,6.907755278982137,22,0.601986402162968,0.6931471805599454,0.09116077839697745,0.13151720291689709
2013-14,Maize,Kg,District,110,7.495541943884256,33,7.313220387090301,23,6.214608098422191,19,0.1823215567939549,1.280933845462065,1.09861228866811,0.8576651265482123
2013-14,Maize,Kg,District,115,7.600902459542082,21,7.313220387090301,10,6.396929655216146,22,0.2876820724517808,1.203972804325936,0.9162907318741551,0.7610560044063085
2013-14,Maize,Kg,District,204,7.313220387090301,37,7.313220387090301,18,6.214608098422191,9,0.0,1.09861228866811,1.09861228866811,1.0
2013-14,Maize,Kg,District,205,7.313220387090301,14,7.313220387090301,11,6.305768876819169,6,0.0,1.0074515102711326,1.0074515102711326,1.0
2013-14,Maize,Kg,District,223,7.24422751560335,39,7.090076835776092,17,6.551080335043404,29,0.15415067982725805,0.6931471805599454,0.5389965007326873,0.7776075786635525
2019-20,Beans,Kg,District,JINJA,8.006367567650246,20,7.600902459542082,10,7.600902459542082,8,0.4054651081081637,0.4054651081081637,0.0,0.0
2019-20,Beans,Kg,District,LWENGO,7.8632667240095735,14,7.600902459542082,19,7.195437351433918,21,0.2623642644674913,0.6678293725756559,0.4054651081081646,0.6071387763979054
2019-20,Beans,Kg,District,NAMISINDWA,7.824046010856292,13,7.489330683884978,12,7.090076835776092,47,0.3347153269713141,0.7339691750802002,0.3992538481088861,0.5439654166202006
2019-20,Cassava,Plastic Basin (15 lts),District,ARUA,9.210340371976184,14,9.210340371976184,27,9.210340371976184,9,0.0,0.0,0.0,
2019-20,Maize,Kg,District,MAYUGE,7.600902459542082,19,7.40807121913609,16,6.214608098422191,9,0.19283124040599198,1.3862943611198908,1.1934631207138988,0.8609016628689039
2019-20,Matoke,Bunch (Medium),District,IBANDA,8.85366542803745,14,8.699514748210191,35,8.987196820661973,60,0.15415067982725894,-0.13353139262452274,-0.2876820724517817,2.1544152786657116
2019-20,Matoke,Bunch (Medium),District,LWENGO,8.987196820661973,12,8.517193191416238,18,8.699514748210191,26,0.4700036292457348,0.2876820724517817,-0.18232155679395312,-0.6337605789617355
2019-20,Matoke,Bunch (Medium),District,MBARARA,8.776590088123822,12,8.920431124349712,20,8.987196820661973,55,-0.14384103622588995,-0.21060673253815132,-0.06676569631226137,0.3170159638660497
2009-10,Beans,Cup/Mug(0.5lt),Region,Western,6.684611727667927,64,6.214608098422191,275,6.103036322765087,8,0.4700036292457357,0.5815754049028401,0.11157177565710441,0.19184404071513986
2009-10,Beans,Kg,Region,Central,7.3777589082278725,318,7.090076835776092,160,6.907755278982137,35,0.2876820724517808,0.4700036292457357,0.1823215567939549,0.38791521054113026
2009-10,Beans,Kg,Region,Eastern,7.313220387090301,170,7.090076835776092,124,6.802394763324311,93,0.2231435513142097,0.5108256237659905,0.2876820724517808,0.5631707946263246
2009-10,Beans,Kg,Region,Northern,7.24422751560335,54,7.24422751560335,12,6.907755278982137,56,0.0,0.33647223662121295,0.33647223662121295,1.0
2009-10,Beans,Kg,Region,Western,7.170119543449628,55,6.907755278982137,60,6.907755278982137,85,0.2623642644674913,0.2623642644674913,0.0,0.0
2009-10,Cassava,Heap (unspecified),Region,Central,6.907755278982137,152,6.907755278982137,157,6.907755278982137,5,0.0,0.0,0.0,
2009-10,Cassava,Heap (unspecified),Region,Eastern,6.907755278982137,49,6.907755278982137,182,6.214608098422191,5,0.0,0.6931471805599454,0.6931471805599454,1.0
