,0
1,Kilogram (kg)
2,Gram
3,Litre
4,Small cup wuth handle(Akendo)
5,Metre
6,Square metre
7,Yard
8,Millilitre
9,Sack (120 kgs)
10,Sack (100 kgs)
11,Sack (80 kgs)
12,Sack (50 kgs)
14,Jerrican (20 lts)
15,Jerrican (10 lts)
16,Jerrican (5 lts)
17,Jerrican (3 lts)
18,Jerrican (2 lts)
19,Jerrican (1 lt)
20,Tin (Debe) - 20 lts
21,Tin (5 lts)
22,Plastic Basin (15 lts)
23,Bottle(750ml)
24,Bottle(500ml)
25,Bottle(350ml)
26,Bottle(300ml)
27,Bottle(250ml)
28,Bottle(150ml)
29,Kimbo/Cowboy/Blueband Tin (2kg)
30,Kimbo/Cowboy/Blueband Tin (1kg)
31,Kimbo/Cowboy/Blueband Tin (0.5kg)
32,Cup/Mug(0.5lt)
33,Glass(0.25lt)
34,Ladle(100g)
35,Table spoon
36,Tea spoon
37,Basket (20 kg)
38,Basket (10 kg)
39,Basket (5 kg)
40,Basket (2 kg)
43,Buns (200 g)
44,Buns (100 g)
45,Buns (50 g)
46,Bathing soap (Tablet)
47,Washing soap (Bar)
48,Washing soap (Tablet)
49,Packet (2 kg)
50,Packet (1 kg)
51,Packet (500 g)
52,Packet (250 g)
53,Packet (100 g)
54,Packet(125g)
55,Fish Whole(small)
56,Fish  Whole (medium)
57,Fish   Whole  (large)
58,Fish   Cut piece (up to 1kg)
59,Fish   Cut piece (1 - 2 kg)
60,Fish   Cut piece(Above 2  kg)
61,Tray of 30 eggs
62,Ream
63,Crate
64,Heap(unspecified)
65,Dozen
66,Bundle (Unspecified)
67,Bunch- Big
68,Bunch- medium
69,Bunch- small
70,Bunch(Big)
71,Bunch(Medium)
72,Bunch(Small)
73,Cluster(Unspecified)
74,Gourd(1-5lts)
75,Gourd(5-10lts)
76,Gourd (Above 10 lts)
77,Jug (2 lts)
78,Jug (1.5 lts)
79,Jug (1 lt)
80,Tot (50 ml)
81,Tot (sachet)
82,Tot (Unspecified)
83,Tobacco leaf (Number)
84,Pair
85,Number of Units (General)
86,Acre
87,Piece-Big
88,Piece-Medium
89,Piece-Small
90,Heap - Big
91,Heap - medium
92,Heap - small
93,Cluster - big
94,Cluster - medium
95,Cluster - Small
96,Bundle-Big
97,Bundle-Medium
98,Bundle-Small
99,Others specify
100,Fish Whole-Large
101,Fish Whole-Medium
102,Fish Whole-Small
103,Plastinbasin(5ltrs)
104,Glass(0.5ltrs)
105,Glass(0.125ltrs)
106,Jug(2.5ltrs)
107,Nice cup(100g)- Large
108,Nice cup(60g)-Medium
109,Nice cup(50g)-Small
110,Metallic tumbler(100g)- Big
111,Metallic tumbler(50g)- Small
112,Plastic tumbler(50g)- Big
113,Plastic tumbler(30g)-Small
114,Plastic plate(60g)-Large
115,Plastic plate(30g)-Small
116,Metallic plate(100g)-Large
117,Metallic plate(80g)- Small
118,Plastic bowl(40g)
119,Nomi Tin(1kg)
120,Nomi Tin(500g)
121,Nomi Tin(250g)
122,Nido Tin(400g)
123,Akendo-Big
124,Akendo-Medium
125,Akendo-Small
126,Jerrican(0.5ltrs)
127,Container- Big
128,Container-Medium
129,Container-Small
130,Container- Smallest
131,Bottle(500g)
132,Bottle(350g)
133,Sadolin Tin- 3ltrs
134,Loaf (Kg)
135,Loaf (0.5kg)
137,Bottle (1tr
138,Bottle (1.5ltr)
139,Bottle (2ltr)
140,sacket (10g)
141,Sacket (15g)
142,Sacket (20g)
143,Sacket (25g)
144,Sacket (30g)
145,Sacket (50g)
146,Sacket (100g)
147,Sacket (150g)
