pair,u,j,n_cells,median_gap,ratio,in_30_50
unit_value_vs_community_price,Birchiko Large,Field Pea,2,0.02010681227815403,1.0203103158759357,False
unit_value_vs_community_price,Birchiko Large,Horsebeans,2,0.23500181462286762,1.2649110640673515,False
unit_value_vs_community_price,Birchiko Large,Maize,2,-0.7750129161758517,0.4606978305063438,False
unit_value_vs_community_price,Birchiko Large,Salt,2,-0.5249110622493389,0.5916079783099616,False
unit_value_vs_community_price,Birchiko Large,Tea,2,-0.07707533991362903,0.9258200997725515,False
unit_value_vs_community_price,Birchiko Large,Beer,1,-0.06453852113757108,0.9375000000000001,False
unit_value_vs_community_price,Birchiko Large,Lentils,1,0.3465735902799727,1.4142135623730951,True
unit_value_vs_community_price,Birchiko Large,Linseed,1,0.13285158286650267,1.1420804814403214,False
unit_value_vs_community_price,Birchiko Large,Soda,1,0.0,1.0,False
unit_value_vs_community_price,Birchiko Large,Sorghum,1,-0.9932517730102834,0.37037037037037035,False
unit_value_vs_community_price,Birchiko Large,Sugar,1,-0.09531017980432521,0.9090909090909087,False
unit_value_vs_community_price,Birchiko Large,Teff,1,-0.07707533991362903,0.9258200997725515,False
unit_value_vs_community_price,Birchiko Medium,Salt,5,0.0,1.0,False
unit_value_vs_community_price,Birchiko Medium,Tea,4,0.11157177565710485,1.118033988749895,False
unit_value_vs_community_price,Birchiko Medium,Barley,2,-0.1540465348559542,0.8572321289096398,False
unit_value_vs_community_price,Birchiko Medium,Butter/ghee,2,-0.286907762598136,0.7505809572816812,False
unit_value_vs_community_price,Birchiko Medium,Coffee,2,1.6570103440448831,5.243610795028082,False
unit_value_vs_community_price,Birchiko Medium,Field Pea,2,-0.7294325269773632,0.48218253804964767,False
unit_value_vs_community_price,Birchiko Medium,Haricot Beans,2,-0.03848052056806406,0.9622504486493764,False
unit_value_vs_community_price,Birchiko Medium,Horsebeans,2,-0.7177571987632583,0.48784516965759456,False
unit_value_vs_community_price,Birchiko Medium,Maize,2,-0.44859822613061495,0.6385225888560105,False
unit_value_vs_community_price,Birchiko Medium,Milk,2,0.30099320108148375,1.351200154807034,True
unit_value_vs_community_price,Birchiko Medium,Soda,2,0.047655089902162384,1.0488088481701514,False
unit_value_vs_community_price,Birchiko Medium,Beer,1,-0.06062462181643502,0.9411764705882352,False
unit_value_vs_community_price,Birchiko Medium,Berbere,1,-0.356674943938732,0.7000000000000003,False
unit_value_vs_community_price,Birchiko Medium,Chick Pea,1,-0.13353139262452252,0.8750000000000001,False
unit_value_vs_community_price,Birchiko Medium,Lentils,1,-0.9162907318741551,0.39999999999999997,False
unit_value_vs_community_price,Birchiko Medium,Niger Seed,1,-1.6277870511022967,0.1963636363636364,False
unit_value_vs_community_price,Birchiko Medium,Sugar,1,-0.8634182033257032,0.4217180976033086,False
unit_value_vs_community_price,Birchiko Medium,Wheat,1,-0.45814536593707733,0.632455532033676,False
unit_value_vs_community_price,Birchiko Small,Tea,12,0.0,1.0,False
unit_value_vs_community_price,Birchiko Small,Coffee,4,1.406705358380018,4.0824829046386295,False
unit_value_vs_community_price,Birchiko Small,Butter/ghee,2,0.7996682793876704,2.2248027931270298,False
