Code ,2009-10,2013-14,2017-2018,Preferred Label,Agg Label,FCT Code ,FCT Code label 
71,Palm Oil,Palm Oil,Palm oil,Palm oil,Oils and fats ,11_006,"Margarine, fortified with vitamin A"
72,,Palm nuts,,Palm Nuts ,Palm Nuts ,06_029,"Oil palm, nut (kernel), shelled, raw"
73,Pawpaw,Pawpaw,Pawpaw,Pawpaw,Other Fruits ,05_017,"Papaya, fruit, ripe, raw"
74,Pepper $(Fresh Or Dried),Pepper,Pepper (fresh or dried),Pepper ,Pepper ,04_049,"Pepper, sweet, green, fresh, raw"
75,Pineapple,Pineapple,Pineapple,Pineapple,Pineapple ,05_018,"Pineapple, fruit, raw"
76,Plantain,Plantain,Plantain,Plantain,Plantain ,02_042,"Plantain, ripe, ivory flesh, raw"
77,Pork,Pork,Pork,Pork,Other Meat ,07_005,"Pork meat, fatty, ca. 40% fat, raw"
78,,Prekese,Prekese,Prekese,Other Spices ,13_016,"Allspice, ground"
79,"Restaurants, Cafes, Canteens,","Restaurants, Cafes, Canteens, Hotels, Prepared Foo","Restaurants, cafes, canteens, hotels, etc.",Restaurants,Resturants ,14_002,"Pésgo né tomate zéindo (Burkina Faso)*: sauce with lamb, tomato and vegetables"
80,Rice-Imported,,Imported rice,Imported Rice ,Imported Rice ,01_037,"Rice, white, raw"
81,Rice-Local,,Local rice,Local Rice ,Local Rice ,01_065,"Rice, red native, hulled, raw"
82,,,Salt,Salt,Salt ,13_015,Salt
83,Shea Butter,Shea Butter,Shea butter,Shea butter,Oils and Fats ,11_006,"Margarine, fortified with vitamin A"
84,,Shea nuts,,Shea Nut ,Shea Nut ,06_016,"Shea nut, kernel, dried, raw"
85,,Snails,Snails,Snails,Other Meat ,07_005,"Pork meat, fatty, ca. 40% fat, raw"
86,Soya Beans,Soya beans,Soya beans,Soya beans,Beans ,03_004,"Cowpea, dry, raw"
87,"Sugar $(Cube, Granulated",Sugar,"Sugar (cube, granulated)",Sugar ,Sugar ,13_002,"Sugar, white"
88,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Other Vegetables ,04_005,"Cabbage, white, raw"
89,Tinned Milk,Tinned Milk,Tinned milk,Tinned milk,Other Milk Products ,10_018,"Milk, camel, fresh"
90,Tobacco,Tobacco,Tobacco,Tobacco,Tobacco,,
91,Tomato Puree $(Canned),,Tomato puree (canned),Tomato Puree,Tomato Puree,04_066,"Tomato, paste, concentrated, without salt"
92,Tomatoes $(Fresh),Tomatoes,Tomatoes (fresh),Tomatoes,Tomatoes,04_021,"Tomato, red, ripe, raw"
93,Water Melon,Watermelon,Watermelon,Watermelon,Watermelon ,05_002,"Watermelon, fruit, raw"
94,,Wild mushrooms,Wild Mushrooms,Wild Mushrooms,Other Vegetables ,04_005,"Cabbage, white, raw"
95,Yam,Yam,Yam,Yam,Yam ,02_019,"Yam, tuber, pale, raw"
