country,fa_rows,n_factors,fq_rows,fq_kg_rows,fq_kg_total,fq_native_total,fp_rows,fp_kg_rows,fp_kgprice_rows,kg_factor_sources
Uganda,355571,156,349057,349057,1507383.0251276426,0.0,349081,0,325838,
Malawi,971531,464,971028,970478,2907446.187881059,1209.75,681613,919,0,
Nigeria,595725,98,595053,595042,1656617.400386292,36.95,481613,0,0,
Ethiopia,325920,97,325435,325425,2338554.084016932,13.0,263635,0,0,
Tanzania,251613,32,250899,250899,799247.6762857144,0.0,195579,0,0,
Niger,239031,71,238272,238241,501913.9560585333,80.0,198370,0,0,
Mali,430271,69,414417,414417,15705598.703023752,0.0,342194,0,0,
EthiopiaRHS,54693,103,54445,51922,320228.9700516491,16520.200000086727,35625,0,0,
GhanaLSS,5259320,73,1611029,483096,1889590.1590984447,15627853054.732216,407478,0,152224,
