u,truth_kg,n_rows,Q_median,live,old,fix_b_only,fix_c_pooled_u,fix_c_per_j_median,fix_c_n_items,live_err,old_err,fix_b_only_err,fix_c_pooled_u_err,fix_c_per_j_median_err
Sac large,100.0,136,2.0,33.0,33.0,20.526315789473685,20.526315789473685,53.12512438795777,4,0.33,0.33,0.20526315789473684,0.20526315789473684,0.5312512438795777
Sac moyen,50.0,208,1.0,26.234567901234566,26.234567901234566,10.545454545454545,10.545454545454545,35.3125,4,0.5246913580246914,0.5246913580246914,0.2109090909090909,0.2109090909090909,0.70625
Sac petit,25.0,240,1.0,5.3,5.3,4.05,4.05,8.145562770562771,4,0.212,0.212,0.162,0.162,0.32582251082251085
Gramme,0.001,2120,10.0,0.7083333333333334,0.7083333333333334,0.0625,0.0625,0.16620879120879123,44,708.3333333333334,708.3333333333334,62.5,62.5,166.2087912087912
