country,t,j,expenditure_share,baseline_n,median_price_kg_old,median_price_kg_new,pct_change
Tanzania,2020-21,Beef,0.06938158582025092,127,7000.0,7000.0,0.0
Tanzania,2020-21,Cooking Oil,0.06519215823710345,325,5000.0,5000.0,0.0
Tanzania,2020-21,Vegetables (fresh),0.0620035282305826,334,1250.0,1256.6821695632607,0.5345735650608585
Tanzania,2020-21,Sugar,0.05297229591127904,292,2800.0,2800.0,0.0
Tanzania,2020-21,Pulses,0.04798434411458863,205,2400.0,2400.0,0.0
Tanzania,2020-21,Coconuts,0.03012597512161549,83,1176.470588235294,1250.0,6.250000000000022
Tanzania,2020-21,Bread,0.02995103599678637,103,2400.0,2500.0,4.166666666666674
Niger,2021-22,Riz importé non parfumé,0.1976361314076049,3110,500.0,500.0,0.0
Niger,2021-22,Mil,0.15461947752275576,9,359.8413641711036,2285.714285714286,535.2005392652511
Niger,2021-22,Maïs en grain,0.10917098230440903,12,359.8413641711036,2840.277777777778,689.3138645470545
Niger,2021-22,Huile de palme raffinée,0.06489386307335655,0,516.6666666666666,1125.0,117.741935483871
Niger,2021-22,Pâtes alimentaires,0.04841168776909903,347,420.0,600.0,42.85714285714286
Niger,2021-22,Sorgho,0.03275566991262092,1,287.87309133688285,480.0,66.7401415571284
Niger,2021-22,Niébé/Haricots secs,0.022007090611483742,16,500.0,675.0,35.00000000000001
Niger,2021-22,Viande de bœuf,0.020476950392825218,0,400.0,955.4342305738953,138.8585576434738
Niger,2021-22,Lait en poudre,0.019135500988408185,208,2583.333333333333,4000.0,54.838709677419374
Niger,2021-22,Sucre poudre,0.019049627311156798,1490,172.2222222222222,600.0,248.3870967741936
Mali,2021-22,Riz local Gambiaka,0.17495401518275536,1641,1250.0,1211.111111111111,-3.111111111111109
Mali,2021-22,Mil,0.10420872912640844,1137,500.0,500.0,0.0
Mali,2021-22,Riz brisé importé,0.08016590060955342,813,1157.8947368421052,1111.111111111111,-4.040404040404033
Mali,2021-22,Sucre poudre,0.04771067314629896,4926,300.0,333.33333333333326,11.111111111111093
Mali,2021-22,Riz importé parfumé,0.03953542918821754,425,1286.764705882353,1222.2222222222222,-5.015873015873018
Mali,2021-22,Viande de bœuf,0.03376715025823853,1270,618.1645268663814,1147.5409836065573,85.63682219419924
Mali,2021-22,Lait en poudre,0.029217680564692997,2562,2000.0,2000.0,0.0
Mali,2021-22,Huile d'arachide,0.02486492860890836,0,300.0,618.9024390243902,106.30081300813008
Mali,2021-22,Riz local fumé,0.022957346884834376,407,450.0,450.0,0.0
Mali,2021-22,Thé,0.020899660003448513,0,79.36507936507935,192.59259259259258,142.66666666666669
EthiopiaRHS,1997,Teff (white),0.13171701955463422,77,1.68,1.8,7.14285714285714
EthiopiaRHS,1997,Barley,0.101002152388212,94,1.3451327433628317,1.4986111111111111,11.409904970760243
EthiopiaRHS,1997,Maize,0.08579559192564327,128,0.7648809523809523,1.343883783635063,75.69842463088763
EthiopiaRHS,1997,Wheat,0.07792213700253069,144,1.345132743362832,2.0,48.68421052631577
EthiopiaRHS,1997,Beef,0.0736517650317094,39,12.0,12.0,0.0
EthiopiaRHS,1997,Coffee,0.06013794725998197,373,2.5,12.0,380.0
EthiopiaRHS,1997,Horse Beans,0.04471740030163518,65,1.3451327433628317,2.0,48.684210526315795
EthiopiaRHS,1997,Cooking Oil,0.04016096271111983,17,8.0,9.0,12.5
EthiopiaRHS,1997,Sorghum,0.03656757708932698,24,1.345132743362832,1.5,11.513157894736835
EthiopiaRHS,1997,Berbere,0.031959906902902846,108,0.9883720930232559,10.0,911.7647058823529
GhanaLSS,2016-17,Rice (imported),0.07158397581850671,2925,6.123956722732716,5.6,-8.555852800000018
GhanaLSS,2016-17,Herring (smoked),0.04470866243998024,359,11.427674393511534,1599.9999999999998,13901.098954205909
GhanaLSS,2016-17,Salmon (smoked),0.04319377351479272,548,17.341037274704185,2500.0,14316.669316816555
GhanaLSS,2016-17,Tomato (fresh),0.03860179912941938,712,4.409248840367555,6.666666666666667,51.19733333333334
GhanaLSS,2016-17,Bread,0.034814065115158124,0,5.511561050459444,11.023122100918888,100.0
GhanaLSS,2016-17,"Fish (smoked, river)",0.03336040867753308,303,22.046244201837776,88.1849768073511,300.0
GhanaLSS,2016-17,"Fish (smoked, sea)",0.031958551816763416,246,21.861270397609005,1333.3333333333333,5999.066106785641
GhanaLSS,2016-17,Yam,0.0316610387814426,95,7.348748067279258,3.0,-59.17672
GhanaLSS,2016-17,Beef,0.028508247940364884,6197,22.046244201837776,19.841619781653996,-10.000000000000009
GhanaLSS,2016-17,Rice (local),0.028452849947969112,37,8.267341575689166,7.6000000000000005,-8.072021333333323
