country,t,j,exp_share,price_kg_before,price_kg_after,pct_change
EthiopiaRHS,1997,Barley,0.10098953006064564,1.3451327433628317,1.4986111111111111,11.409904970760243
EthiopiaRHS,1997,Maize,0.08578486997527461,0.7648809523809523,1.343883783635063,75.69842463088763
EthiopiaRHS,1997,Wheat,0.07791239900472904,1.345132743362832,2.0,48.68421052631577
EthiopiaRHS,1997,Beef,0.07364256070603822,12.0,12.0,0.0
EthiopiaRHS,1997,Coffee,0.06013043176796982,2.5,12.0,380.0
EthiopiaRHS,1997,Horse Beans,0.044711811928900766,1.3451327433628317,2.0,48.684210526315795
EthiopiaRHS,1997,Cooking Oil,0.04028091463742211,8.0,9.0,12.5
EthiopiaRHS,1997,Sorghum,0.036563007207147086,1.345132743362832,1.5789473684210524,17.38227146814402
EthiopiaRHS,1997,Berbere,0.03195591284530724,0.9883720930232559,10.0,911.7647058823529
GhanaLSS,2016-17,Rice (imported),0.06059447274572,6.123956722732717,5.6,-8.55585280000003
GhanaLSS,2016-17,Cooked Rice and Stew,0.04980232063545758,,,
GhanaLSS,2016-17,Kenkey/Banku,0.04129523128783358,,,
GhanaLSS,2016-17,Herring (smoked),0.03784503161134271,9.620179288074667,1333.3333333333333,13759.755555555554
GhanaLSS,2016-17,Salmon (smoked),0.03656270697596898,17.341037274704185,2500.0,14316.669316816555
GhanaLSS,2016-17,Tomato (fresh),0.0326756880787647,4.409248840367555,6.666666666666667,51.19733333333334
GhanaLSS,2016-17,Bread,0.029469443344927872,5.511561050459445,11.023122100918888,99.99999999999997
GhanaLSS,2016-17,"Fish (smoked, river)",0.028240813835536786,22.046244201837776,88.1849768073511,300.0
GhanaLSS,2016-17,"Fish (smoked, sea)",0.027052305699858906,21.67629659338023,1333.3333333333333,6051.11224184173
GhanaLSS,2016-17,Yam,0.026800466579383803,7.348748067279258,3.0,-59.17672
