country,n_units_total,n_units_inferred_now,n_units_inferred_after_c,rows_affected,share_rows_affected,rows_compared,rows_gained,rows_lost,share_move_gt_10pct,share_move_gt_2x,share_move_gt_10x,median_rel_move,reimpl_keys,reimpl_agree_with_live,kg_selftest_old,kg_selftest_b,kg_selftest_c_median,kg_selftest_c_n_items,kg_selftest_c_within_10pct,fq_rows_old,fq_rows_new,fq_kg_rows_old,fq_kg_rows_new,fq_kg_total_old,fq_kg_total_new,fp_rows_old,fp_rows_new
Uganda,128,67,40,173021,0.4866004257940046,173021,0,0,0.9829847243976165,0.5353223019171083,0.04794793695562966,0.43564527260179436,128,128,1.3333333333333333,1.0,1.0,53,0.9622641509433962,349057,349057,349057,349057,1457881.374651201,1248196.58137776,349023,349023
Malawi,636,558,553,298188,0.30692587266901417,297197,441,0,0.9623784896886577,0.6901079082224921,0.1096276207364139,0.4395151515151516,426,426,2.0,0.4404494382022472,0.9478609625668449,64,0.46875,971131,971131,970477,970581,8789916.227967298,2549896.8665696084,681579,681613
Nigeria,81,77,77,178235,0.2991900625288514,178224,0,0,0.9450691264925039,0.48733055031870004,0.05699007989945237,0.7471959352215048,71,71,1.2,1.0,0.9006048168137613,102,0.5098039215686274,595053,595053,595042,595042,1656617.400386292,1572036.4299147492,481613,481613
Ethiopia,75,72,70,104772,0.3214653902798233,104631,137,0,0.9028777322208523,0.5772094312393077,0.13861092792766963,0.4166666666666667,71,71,1.1764705882352942,1.0,1.0,70,0.7571428571428571,325515,325515,325425,325511,4126527.891269432,740559.0451447752,263635,263686
Tanzania,2,1,1,3594,0.014283840660061284,3594,0,0,1.0,0.9287701725097385,0.8697829716193656,0.05887300252312869,2,2,0.8653846153846154,1.0,1.0,59,1.0,250899,250899,250899,250899,799247.6762857144,778860.582867773,195579,195579
Niger,46,41,41,216612,0.9062088181030913,216569,0,12,0.9869741283378508,0.7407708397785463,0.010887984891651159,0.4520833333333332,41,41,2.0,1.0,1.0,42,1.0,238272,238272,238241,238234,501913.9560585333,220210.7168761957,198370,198370
Mali,41,35,34,300080,0.6974209277408889,298546,0,1534,0.9295987887963664,0.6967201034346466,0.09433722106476054,0.40401467291624216,39,39,1.8181818181818181,1.0,1.0,140,1.0,414417,414417,414417,414417,16032490.542043986,14584217.699222395,330693,330693
EthiopiaRHS,105,101,101,42089,0.7720060896201324,39731,0,0,0.9699227303616823,0.6213787722433365,0.10291711761596738,0.42799678197908286,75,75,1.0,1.0,1.0,33,1.0,54271,54271,51922,51922,320228.9700516491,223206.42521616793,35469,35469
GhanaLSS,60,55,54,1680442,0.9513344901084406,1436196,13380,0,0.8940123771407246,0.4659538113182323,0.15865244019618494,0.7337278106508875,47,47,1.2726992561429815,1.0,0.6954598125167554,38,0.21052631578947367,513179,512883,483096,483223,2039948.6320269748,2362412.0130774374,342283,342391
