country,cells_ju_with_3plus_waves,waves,max_over_min_p25,max_over_min_median,max_over_min_p75,share_within_2x,share_within_10x
Uganda,356,8,1.574107142857143,2.204166643487084,3.3333333333333335,0.4606741573033708,0.9297752808988764
Malawi,264,5,1.4265687583444593,2.4672229219143578,6.069032258064516,0.4128787878787879,0.8181818181818182
Nigeria,375,8,1.6555555555555554,3.106508989685716,9.390044563279858,0.35733333333333334,0.7546666666666667
Ethiopia,508,5,1.245064935064935,1.6,2.5063131313131315,0.6633858267716536,0.9606299212598425
Tanzania,68,6,1.0,1.0,1.0,0.9411764705882353,0.9852941176470589
Niger,0,2,,,,,
Mali,55,3,1.0,1.35,2.1916666666666664,0.7272727272727273,0.9272727272727272
EthiopiaRHS,161,5,1.25,1.6719883889695213,2.526315789473684,0.6335403726708074,0.9751552795031055
GhanaLSS,0,5,,,,,
