country,u,kg_per_unit
Malawi,90 kg bag,90.0
Malawi,50 kg bag,50.0
Malawi,satchet/tube (25g),0.025
Malawi,bucket 5 litre,5.0
Malawi,5 litre container0,5.0
Malawi,satchet/tube (50g),0.05
Malawi,5 litres as a container for chisoso,5.0
Malawi,loaf (300g),0.3
Malawi,satchet (20 gram),0.02
Malawi,loaf (700g),0.7000000000000001
Malawi,packet (150g),0.15
Malawi,loaf (600g),0.6
Malawi,bottleof300ml,0.3
Malawi,tin 100g,0.1
Malawi,satchet/tube (100g),0.1
Malawi,packet (500g),0.5
Malawi,satchet (250 gram),0.25
Malawi,packet (250g),0.25
Malawi,packet 150 gram,0.15
Malawi,tin 1kg,1.0
Malawi,tin 250g,0.25
Malawi,packet (25g),0.025
Malawi,packet (400g),0.4
Malawi,satchet (500 gram),0.5
Malawi,container250g,0.25
Malawi,packet 750 gram,0.75
Malawi,tin 500g,0.5
Malawi,satchet (5 gram),0.005
Malawi,packet50g,0.05
Malawi,packet 250 gram,0.25
Malawi,packet 100 gram,0.1
Malawi,1packet20g,0.02
Malawi,tin (250g),0.25
Malawi,packet 200 gram,0.2
Malawi,tin400g,0.4
Malawi,packet 300 gram,0.3
Malawi,bottles250g,0.25
Malawi,packet(250ml),0.25
Malawi,packet (1kg),1.0
Malawi,satchet (150 gram),0.15
Malawi,(400g)packets,0.4
Malawi,satchet (25 gram),0.025
Malawi,tin (40 gram),0.04
Malawi,packet 40 gram,0.04
Malawi,packet 500 gram,0.5
Malawi,tin (500g),0.5
Malawi,satchet (120 gram),0.12
Malawi,packet (500ml),0.5
Malawi,tin (400 gram),0.4
Malawi,packet 200gram,0.2
Malawi,tin (600 gram),0.6
Malawi,halfof250grams,0.25
Malawi,tin (400g),0.4
Malawi,pail (16l),16.0
Malawi,5l bucket,5.0
Malawi,5 litre bucket(chigoba),5.0
Malawi,50 gram,0.05
Malawi,packet of 17 grams,0.017
Malawi,2grams,0.002
Malawi,90 gram,0.09
Malawi,100 gram,0.1
Malawi,300grams,0.3
Malawi,200 gram,0.2
Malawi,500 gram,0.5
Malawi,50 kg,50.0
Malawi,10l bucket,10.0
Malawi,20 litre pail,20.0
Malawi,70 gram,0.07
Malawi,125g packet,0.125
Malawi,packet of 125 grams,0.125
Malawi,3litre bucket,3.0
Malawi,10 units,0.2600472813238771
Malawi,10satchet,0.09473684210526317
Malawi,12 bottles,0.42
Malawi,12pieces,0.11666666666666667
Malawi,12a,0.31578947368421056
Malawi,12b,0.195
Malawi,16a,0.38278503669232145
Malawi,16b,0.46749999999999997
Malawi,1mlambe,0.11538461538461538
Malawi,1ndasi,0.1463588880362403
Malawi,1plate,1.7231999999999998
Malawi,1plate khofi,0.22248306997742667
Malawi,1sachet,0.28598388952819337
Malawi,2 packets,0.028749999999999998
Malawi,2 packets of crisps,0.1453846153846154
Malawi,2 plates ndiwo,0.0743362831858407
Malawi,23 dozen,1.6
Malawi,24 days,0.8400000000000001
Malawi,2packets,0.3942857142857143
Malawi,2plates of nsima.,2.003960396039604
Malawi,2sachet,0.0590909090909091
Malawi,3 cups of tea,0.25333333333333335
Malawi,4 bottles,0.251
Malawi,4 meals at 150,1.6162162162162161
Malawi,4 plate,0.625
Malawi,40 packet,0.21906693711967548
Malawi,4sachets,0.03151515151515152
Malawi,500mgtin,4.565217391304348
Malawi,5sachets,0.02
Malawi,6 pack,5.538461538461538
Malawi,6packs,1.4
Malawi,7 plates meal,1.9055555555555554
Malawi,7buns,0.1477142857142857
Malawi,acres,0.71417004048583
Malawi,amediumpall,5.0
Malawi,b,0.0556838905775076
Malawi,badin small,1.371539582458508
Malawi,bags,0.8333333333333334
Malawi,bakery donas,0.3669653656360254
Malawi,bale,0.18674698795180725
Malawi,banches,0.066666669315762
Malawi,bar,1.04
Malawi,basin,0.1451127819548872
Malawi,basin (small),0.96
Malawi,basket,1.0774774774774776
Malawi,basket shelled,0.7692307692307693
Malawi,basket unshelled,1.1153225806451612
Malawi,batches,0.08500000089406967
Malawi,big packet,0.6607142857142857
Malawi,botles,1.437500026077032
Malawi,bottle,0.5
Malawi,bottle (small),0.413591755582433
Malawi,bottle (very small),2.921348314606742
Malawi,bottle s,0.4017826020717621
Malawi,bottles,0.44000000000000006
Malawi,bottles of pure water,0.49840974069968375
Malawi,bottls,0.4317617804348402
Malawi,botttle,0.08759124252727446
Malawi,bowl,2.4
Malawi,box,1.1733333333333333
Malawi,box small,3.779657116260655
Malawi,brunch,0.08333333540293902
Malawi,bucket,2.0
Malawi,bunch,0.06666666666666667
Malawi,bunch (large),0.16666666666666669
Malawi,bunch (medium),0.14285714285714285
Malawi,bunch (small),0.09547314578005114
Malawi,bundle,0.1215
Malawi,buns,0.1852700296735905
Malawi,buntch,0.4400243421777575
Malawi,cans,0.2857142857142857
Malawi,carlsberg beer,0.78
Malawi,carton,3.9912508851193365
Malawi,carton small,3.4698973076160136
Malawi,chicken,4.676923076923077
Malawi,chigiba,6.637714285714286
Malawi,chikang'a,0.25
Malawi,chocolate bar,0.5572609208972845
Malawi,clate,9.8
Malawi,clove,0.12333333492279053
Malawi,cluster,0.5138095238095238
Malawi,coffee,0.2190096540627514
Malawi,container small,0.1574857131775273
Malawi,containersmall,0.9183673469387754
Malawi,crate,14.285714285714286
Malawi,crete,5.32
Malawi,cubes,0.1
Malawi,cup,0.25
Malawi,cup of tea & two score,0.5185185185185186
Malawi,custard,0.6569435655464595
Malawi,dish of nsima and beef,0.9516129032258065
Malawi,dozen,1.1285377358490565
Malawi,drum head,0.3046526867627785
Malawi,fresh beans (heaps),0.15554932735426008
Malawi,full bottle,0.23809523809523808
Malawi,glass,1.33333338631524
Malawi,half full palm,0.1026
Malawi,half liter,0.6899999976158142
Malawi,half litr,0.24242424242424243
Malawi,half loaf,0.5635091744957692
Malawi,half packet,0.6669399016936343
Malawi,halflitre,0.4529411764705883
Malawi,halflittle,1.4666666666666668
Malawi,hall fruit,0.15000000596046448
Malawi,handful,0.34795032646268087
Malawi,head,0.45000000000000007
Malawi,heads,0.125
Malawi,heap,0.27906976744186046
Malawi,heap (large),0.28
Malawi,"heap (large, special)",0.36250000000000004
Malawi,heap (medium),0.25
Malawi,"heap (medium, special)",0.4045979020979021
Malawi,heap (small),0.2
Malawi,"heap (small, special)",0.3199110122358176
Malawi,heap's,0.23999999463558197
Malawi,heap(mediun),0.7330714285714285
Malawi,heap(small),0.4442857142857143
