country,rows_total,rows_step2,rows_inference_now,rows_inference_after_c,rows_c_removes,share_inference_now,share_Q_eq_1,Q_median,Q_p90,Q_mean
Uganda,355571,355537,199964,166570,33394,0.5623743218653939,0.3414540433451402,2.0,8.0,4.247822053937223
Malawi,971531,389626,218059,201710,16349,0.2244488338509013,0.28798274750879976,2.0,10.0,5.003852263150324
Nigeria,595725,353689,138086,138086,0,0.2317948717948718,0.31766435409817073,2.0,10.0,4.716035452954476
Ethiopia,325920,264091,92797,80426,12371,0.2847232449680903,0.41803645587247906,2.0,10.0,6.976170641334892
Tanzania,251613,196293,2198,2198,0,0.008735637665780385,0.045950864422202004,5.0,15.0,8.365787079162875
Niger,239031,199131,179596,179596,0,0.751350243273885,0.33893293837279226,2.0,8.0,4.185386476854039
Mali,430271,344825,248896,247326,1570,0.578463340545842,0.24551401793584177,3.0,10.0,34.85070439897673
EthiopiaRHS,54519,37679,28727,28727,0,0.5269172215191035,0.27413234935774705,2.0,12.0,5.380471577271364
GhanaLSS,1766405,882361,844335,842620,1715,0.4779962692587487,0.4011404903752581,2.0,6.0,3.438123021053381
