country,u,kg_per_unit
Niger,bouquet,0.15000000000000002
Niger,bouteille,0.8333333333333334
Niger,boîte,0.580065717415115
Niger,boîte de nescafé,1.4814814814814814
Niger,boîte de tomate,0.5454545454545455
Niger,calebasse,0.6
Niger,cannette,1.9383301707779887
Niger,carton,2.0775862068965516
Niger,cristal (kantou),0.8649727767695099
Niger,cueillère,0.17284609229127768
Niger,feuille,1.5
Niger,gobelet,0.2
Niger,gousse,0.21428571428571427
Niger,louche,0.2
Niger,morceau,0.2
Niger,moudou,4.923076923076923
Niger,panier,0.9761156505342553
Niger,paquet,0.8333333333333334
Niger,plaquette,0.631578947368421
Niger,pot,0.9230769230769231
Niger,pot-tarzan,0.225
Niger,sachet,0.19354838709677422
Niger,sans os au kg,2.88996138996139
Niger,sans os au tas,2.4239130434782608
Niger,seau,1.2916666666666667
Niger,tas,0.5
Niger,tasse,0.8333333333333334
Niger,tiya,2.084251769464105
Niger,tongolo,1.09375
Niger,unité,0.26666666666666666
Niger,unknown,0.9032258064516129
Niger,waygouizé,0.358974358974359
Mali,kg,1.0
Mali,kilogram,1.0
Mali,kilogramme,1.0
Mali,g,0.001
Mali,gram,0.001
Mali,gramm,0.001
Mali,l,1.0
Mali,litre,1.0
Mali,liter,1.0
Mali,ml,0.001
Mali,cl,0.01
Mali,pound,0.453592
Mali,lbs,0.453592
Mali,seau (5 kg),5.0
Mali,seau (10 kg),10.0
Mali,seau (25 kg),25.0
Mali,sac (25 kg),25.0
Mali,alvéole,3.4741379310344827
Mali,autre,0.9486842105263158
Mali,barre,0.2761904761904762
Mali,bidon,1.2444444444444445
Mali,boite,0.9195402298850575
Mali,boule,0.15384615384615385
Mali,bouteille,0.8660256410256411
Mali,boîte,1.567895815042435
Mali,calebasse,0.5
Mali,cannette,1.1437908496732025
Mali,carcasse,7.03030303030303
Mali,carton,4.409722222222222
Mali,centilitre,0.9838709677419355
Mali,cuillere,0.2
Mali,gigot,4.166666666666667
Mali,gobelet,0.6511627906976745
Mali,gousse,0.14117647058823532
Mali,gramme,0.7083333333333334
Mali,louche,0.2
Mali,morceau,0.7
Mali,moude,2.5
Mali,paani,0.4
Mali,panier,0.875
Mali,paquet,1.0
Mali,piece,2.365079365079365
Mali,pot,0.6666666666666666
Mali,sac large,33.0
Mali,sac moyen,26.234567901234566
Mali,sac petit,5.3
Mali,sachet,0.28
Mali,tas,0.5392307692307692
Mali,tranche,0.12352941176470589
Mali,unité,0.3761964308364051
Mali,verre,0.2727272727272727
Mali,unit,1.3333333333333333
EthiopiaRHS,kg,1.0
EthiopiaRHS,kilogram,1.0
EthiopiaRHS,kilogramme,1.0
EthiopiaRHS,g,0.001
EthiopiaRHS,gram,0.001
EthiopiaRHS,gramm,0.001
EthiopiaRHS,l,1.0
EthiopiaRHS,litre,1.0
EthiopiaRHS,liter,1.0
EthiopiaRHS,ml,0.001
EthiopiaRHS,cl,0.01
EthiopiaRHS,pound,0.453592
EthiopiaRHS,lbs,0.453592
EthiopiaRHS,100 kg,100.0
EthiopiaRHS,31.0,0.725
EthiopiaRHS,83.0,0.1825749167591565
EthiopiaRHS,95.0,0.9230769230769231
EthiopiaRHS,akara,2.2222222222222223
EthiopiaRHS,bags,15.609756097560977
EthiopiaRHS,baldi,0.06666666666666667
EthiopiaRHS,bars,0.6125
EthiopiaRHS,bekolo,0.1111111111111111
EthiopiaRHS,bere'lei,1.0
EthiopiaRHS,big mada,2.571428571428571
EthiopiaRHS,bikole,0.7411764705882353
EthiopiaRHS,bilkat,1.405
EthiopiaRHS,birchiko,1.0
EthiopiaRHS,bobo,1.6030534351145038
EthiopiaRHS,bottles,1.0434782608695652
EthiopiaRHS,bunch,0.9785714285714286
EthiopiaRHS,bundels,0.7960526315789473
EthiopiaRHS,butile/shigute,0.4642857142857143
EthiopiaRHS,butille,0.2113207547169811
EthiopiaRHS,chika,0.6093189964157706
EthiopiaRHS,chinet,1.84375
EthiopiaRHS,dawla,0.5
EthiopiaRHS,dirib,0.75
EthiopiaRHS,efigne,0.875
EthiopiaRHS,enkib,1.25
EthiopiaRHS,ensira,2.857142857142857
EthiopiaRHS,esir,0.5
EthiopiaRHS,festal,5.6
EthiopiaRHS,gan,2.3859649122807016
EthiopiaRHS,gebete/buchu,0.6
EthiopiaRHS,gembo,0.20810810810810812
EthiopiaRHS,guchiye,4.078740157480315
EthiopiaRHS,gurzigne,4.0
EthiopiaRHS,jemb,15.0
EthiopiaRHS,kelemeshash,2.0
EthiopiaRHS,kerchat,3.0
EthiopiaRHS,kidan,1.25
EthiopiaRHS,kil,1.5384615384615385
EthiopiaRHS,kubaya,0.8695652173913044
EthiopiaRHS,kuch'belu,0.4
EthiopiaRHS,kunna,1.7111111111111112
EthiopiaRHS,kurbet,4.3
EthiopiaRHS,leaves,0.3333333333333333
EthiopiaRHS,lemba,0.5058823529411764
EthiopiaRHS,lotterey,0.75
EthiopiaRHS,madaberia,0.19047619047619047
EthiopiaRHS,mankorko,2.0
EthiopiaRHS,medeb,0.3333333333333333
EthiopiaRHS,melekia,1.0
EthiopiaRHS,mesferia,0.4444444444444444
EthiopiaRHS,mika,2.3333333333333335
EthiopiaRHS,minilik,4.183333333333334
EthiopiaRHS,number,0.6
EthiopiaRHS,packets,0.5454545454545454
EthiopiaRHS,pieces,0.5882352941176471
EthiopiaRHS,safa,16.666666666666668
EthiopiaRHS,sahen,0.9583333333333333
EthiopiaRHS,sefied,15.606060606060606
EthiopiaRHS,shekim,0.48461538461538467
EthiopiaRHS,shirimir,1.0
EthiopiaRHS,silicha,4.5561594202898545
EthiopiaRHS,sini,0.5256578947368421
EthiopiaRHS,small kunna,0.6666666666666666
EthiopiaRHS,small ma,7.333333333333333
EthiopiaRHS,small tomato can,0.672911547911548
EthiopiaRHS,spoon,0.04
EthiopiaRHS,tassa,0.743421052631579
EthiopiaRHS,temene,4.0
EthiopiaRHS,wesla,0.4444444444444444
EthiopiaRHS,woket,1.25
EthiopiaRHS,zurba,1.55
GhanaLSS,kg,1.0
GhanaLSS,kilogram,1.0
GhanaLSS,kilogramme,1.0
GhanaLSS,g,0.001
GhanaLSS,gram,0.001
GhanaLSS,gramm,0.001
GhanaLSS,l,1.0
GhanaLSS,litre,1.0
GhanaLSS,liter,1.0
GhanaLSS,ml,0.001
GhanaLSS,cl,0.01
GhanaLSS,pound,0.453592
GhanaLSS,lbs,0.453592
GhanaLSS,tot (25ml),0.025
GhanaLSS,american tin,0.5
GhanaLSS,ball,0.18181818181818182
GhanaLSS,bar,0.226796
GhanaLSS,barrel,0.08247127272727273
GhanaLSS,basket,0.5314141568627451
GhanaLSS,beer bottle,0.453592
GhanaLSS,blister/strip,0.3288542
GhanaLSS,bowl,0.6047893333333333
GhanaLSS,box,0.8504849999999999
GhanaLSS,bucket,1.0
GhanaLSS,bunch,0.453592
GhanaLSS,bundle,0.16666666666666666
GhanaLSS,coil,0.6590909090909092
GhanaLSS,crate,1.13398
GhanaLSS,dozen,0.6123491999999999
GhanaLSS,fanta bottle,0.25
GhanaLSS,finger,0.25
GhanaLSS,heap,0.226796
GhanaLSS,hours,0.680388
GhanaLSS,loaf,0.36287359999999996
GhanaLSS,log,0.08502272748573088
GhanaLSS,margarin tin,0.40823279999999995
GhanaLSS,maxi bag,0.3887931428571429
GhanaLSS,milliliter,0.265631
GhanaLSS,mini bag,0.3916104844720497
GhanaLSS,minute,0.5
GhanaLSS,other unit,0.20000000000000004
GhanaLSS,packet,0.340194
GhanaLSS,pair,0.1375
GhanaLSS,piece,0.2041164
GhanaLSS,plate,0.4314368
GhanaLSS,pot,0.793786
GhanaLSS,roll,0.453592
GhanaLSS,satchet,0.20789633333333332
GhanaLSS,set,0.226796
GhanaLSS,single,0.2306667090690649
GhanaLSS,stick,0.4297187368421053
GhanaLSS,tin,0.325
GhanaLSS,tonne,0.37799333333333335
GhanaLSS,tuber,0.680388
GhanaLSS,visit,0.24134075789473683
GhanaLSS,yard,1.020582
