country,u,kg_per_unit
Malawi,satchet (500 gram),0.5
Malawi,container250g,0.25
Malawi,packet 750 gram,0.75
Malawi,tin 500g,0.5
Malawi,satchet (5 gram),0.005
Malawi,packet50g,0.05
Malawi,packet 250 gram,0.25
Malawi,packet 100 gram,0.1
Malawi,1packet20g,0.02
Malawi,tin (250g),0.25
Malawi,packet 200 gram,0.2
Malawi,tin400g,0.4
Malawi,packet 300 gram,0.3
Malawi,bottles250g,0.25
Malawi,packet(250ml),0.25
Malawi,packet (1kg),1.0
Malawi,satchet (150 gram),0.15
Malawi,(400g)packets,0.4
Malawi,satchet (25 gram),0.025
Malawi,tin (40 gram),0.04
Malawi,packet 40 gram,0.04
Malawi,packet 500 gram,0.5
Malawi,tin (500g),0.5
Malawi,satchet (120 gram),0.12
Malawi,packet (500ml),0.5
Malawi,tin (400 gram),0.4
Malawi,packet 200gram,0.2
Malawi,tin (600 gram),0.6
Malawi,halfof250grams,0.25
Malawi,tin (400g),0.4
Malawi,pail (16l),16.0
Malawi,5l bucket,5.0
Malawi,5 litre bucket(chigoba),5.0
Malawi,50 gram,0.05
Malawi,packet of 17 grams,0.017
Malawi,2grams,0.002
Malawi,90 gram,0.09
Malawi,100 gram,0.1
Malawi,300grams,0.3
Malawi,200 gram,0.2
Malawi,500 gram,0.5
Malawi,50 kg,50.0
Malawi,10l bucket,10.0
Malawi,20 litre pail,20.0
Malawi,70 gram,0.07
Malawi,125g packet,0.125
Malawi,packet of 125 grams,0.125
Malawi,3litre bucket,3.0
Malawi,10 units,2.3404255319148937
Malawi,10satchet,0.09473684210526317
Malawi,12 bottles,5.04
Malawi,12pieces,0.11666666666666667
Malawi,12a,0.31578947368421056
Malawi,12b,0.78
Malawi,16a,0.6427850366923215
Malawi,16b,0.5575
Malawi,1mlambe,0.11538461538461538
Malawi,1ndasi,0.1463588880362403
Malawi,1plate,4.9232
Malawi,1plate khofi,0.22248306997742667
Malawi,1sachet,0.28598388952819337
Malawi,2 packets,0.057499999999999996
Malawi,2 packets of crisps,0.2907692307692308
Malawi,2 plates ndiwo,0.0743362831858407
Malawi,23 dozen,1.6
Malawi,24 days,1.6800000000000002
Malawi,2packets,0.7885714285714286
Malawi,2plates of nsima.,4.007920792079208
Malawi,2sachet,0.1181818181818182
Malawi,3 cups of tea,0.76
Malawi,4 bottles,2.0
Malawi,4 meals at 150,6.464864864864865
Malawi,4 plate,2.5
Malawi,40 packet,3.0669371196754565
Malawi,4sachets,0.12606060606060607
Malawi,500mgtin,4.565217391304348
Malawi,5sachets,0.1
Malawi,6 pack,5.538461538461538
Malawi,6packs,2.8
Malawi,7 plates meal,13.338888888888889
Malawi,7buns,1.034
Malawi,acres,1.42834008097166
Malawi,amediumpall,5.0
Malawi,b,0.835258358662614
Malawi,badin small,1.371539582458508
Malawi,bags,1.6666666666666667
Malawi,bakery donas,1.100896096908076
Malawi,bale,1.1801652892561985
Malawi,banches,0.133333338631524
Malawi,bar,2.3529411764705883
Malawi,basin,0.3333333333333333
Malawi,basin (small),0.974025974025974
Malawi,basket,1.0774774774774776
Malawi,basket shelled,1.3333333333333333
Malawi,basket unshelled,1.125
Malawi,batches,0.5950000062584877
Malawi,big packet,4.625
Malawi,botles,5.750000104308128
Malawi,bottle,1.5
Malawi,bottle (small),0.9442832138012549
Malawi,bottle (very small),1.460674157303371
Malawi,bottle s,1.2053478062152863
Malawi,bottles,1.407857142857143
Malawi,bottles of pure water,1.4952292220990513
Malawi,bottls,1.7270471217393608
Malawi,botttle,0.17518248505454892
Malawi,bowl,2.4
Malawi,box,1.5066666666666668
Malawi,box small,3.779657116260655
Malawi,brunch,0.08333333540293902
Malawi,bucket,2.0
Malawi,bunch,0.3
Malawi,bunch (large),0.4605263157894737
Malawi,bunch (medium),0.4
Malawi,bunch (small),0.30761154369052035
Malawi,bundle,0.36105768783734393
Malawi,buns,0.741080118694362
Malawi,buntch,0.4400243421777575
Malawi,cans,1.7142857142857142
Malawi,carlsberg beer,31.200000000000003
Malawi,carton,3.9912508851193365
Malawi,carton small,3.4698973076160136
Malawi,chicken,4.676923076923077
Malawi,chigiba,6.637714285714286
Malawi,chikang'a,0.25
Malawi,chocolate bar,0.5572609208972845
Malawi,clate,9.8
Malawi,clove,0.12333333492279053
Malawi,cluster,0.6
Malawi,coffee,0.24380121733818566
Malawi,container small,0.9449142790651638
Malawi,containersmall,0.9183673469387754
Malawi,crate,14.285714285714286
Malawi,crete,5.32
Malawi,cubes,0.2
Malawi,cup,0.5
Malawi,cup of tea & two score,3.111111111111111
Malawi,custard,2.627774262185838
Malawi,dish of nsima and beef,0.9516129032258065
Malawi,dozen,1.3949999809265137
Malawi,drum head,0.3046526867627785
Malawi,fresh beans (heaps),1.2443946188340806
Malawi,full bottle,1.9047619047619047
Malawi,glass,1.33333338631524
Malawi,grams,0.7056756123892577
Malawi,half full palm,0.1026
Malawi,half liter,0.6899999976158142
Malawi,half litr,0.24242424242424243
Malawi,half loaf,0.5635091744957692
Malawi,half packet,0.6669399016936343
Malawi,halflitre,0.4529411764705883
Malawi,halflittle,1.4666666666666668
Malawi,hall fruit,0.15000000596046448
Malawi,handful,0.32822429906542055
Malawi,head,0.8115854700854701
Malawi,heads,0.5
Malawi,heap,0.637065637065637
Malawi,heap (large),0.5666666666666667
Malawi,"heap (large, special)",0.8291666666666667
Malawi,heap (medium),0.48456292365415315
Malawi,"heap (medium, special)",1.1476860583200348
Malawi,heap (small),0.3636111111111111
Malawi,"heap (small, special)",0.6
Malawi,heap's,1.6799999624490738
Malawi,heap(mediun),0.9107857142857142
Malawi,heap(small),0.5277272727272726
Malawi,heaplarge,1.0181818181818183
Malawi,heard,0.49354221829949985
Malawi,insmallpape,0.09618750000000001
Malawi,jar,1.5
Malawi,jiggies,0.56
Malawi,juicebox,1.5492277992277992
Malawi,jumbo,0.8615384615384616
Malawi,k100packetp,0.2
Malawi,k100tube,0.5454545454545454
Malawi,k20 packet,1.1627999999999998
Malawi,k40 packet,2.6304
Malawi,k5 packet,0.1437052078356426
Malawi,k50,0.07142857142857142
Malawi,k50packet,0.2777925531914894
Malawi,kamba packet,0.09438987344326713
Malawi,kampango big,3.48
Malawi,kg packet,2.8079999685287476
Malawi,khofi,0.17431578947368417
Malawi,khofi plate,0.23529850746268655
Malawi,kipsmedium,11.34
Malawi,kkilogram,0.3240000009536743
Malawi,krate,28.679497319504474
Malawi,lajaandonga,0.757556270096463
Malawi,large packet,0.638913532672761
Malawi,largetubbe,0.4
Malawi,lichero,5.050434782608697
Malawi,lipoko,0.7287671232876713
Malawi,litre container,4.605263157894737
Malawi,litres,2.232952380952381
Malawi,loaf,1.5
Malawi,loaves,2.25
Malawi,lunch box,3.0421455938697317
Malawi,mango,0.5050602409638554
Malawi,mbale,0.30999999999999994
Malawi,meal,2.9224776639790804
Malawi,meals,3.2222222222222223
Malawi,meals at work,14.285714285714286
Malawi,meals eaten at restaurant,28.37573385518591
Malawi,medium bottle,0.6215007106511077
Malawi,medium packet,0.08333333333333333
Malawi,medium sachet,0.20257235184995745
Malawi,medium tin,1.9708306966393785
Malawi,medium tins,0.9051428562929834
Malawi,mediumbottle,1.1016393442622952
Malawi,mediumtin,1.0845070422535212
Malawi,mice,3.0387596899224807
Malawi,miligram,0.39111111111111113
Malawi,mililitres (500),0.9578454332552694
Malawi,milligram,0.6533555648186744
Malawi,millilitre,0.7425148176969957
Malawi,milltre,0.21428571428571427
Malawi,milters,0.7650000080466269
Malawi,mitanda,1.6935483870967742
Malawi,mkoko,1.4000000000000001
Malawi,mlamba,1.2571428571428571
Malawi,mulingo,3.040093457943925
Malawi,n/a,1.1282143080660276
Malawi,n0. 24 plate,1.141304347826087
Malawi,ndowa,4.75
Malawi,no 10 plate,0.5263157894736842
Malawi,no 12 plate,0.28
Malawi,no. 10 plate,0.2674131274131274
Malawi,no. 12 plate,0.30800000000000005
Malawi,no. 24 plate,1.6809338521400778
Malawi,no.10 plate (flat),0.32857142857142857
Malawi,no.10 plate (heaped),0.48
Malawi,no.12 plate,0.63
