country,spread,tolerance,cells_total,cells_strict,cells_in_band,cells_admitted,share_of_band_admitted,admitted_spread_median,admitted_spread_p90,ju_cells_strict,ju_cells,ju_cells_new,rows_need_inference,rows_served_strict,rows_served,rows_gained,share_served_strict,share_served,tag_any_tight,tag_only_tight
Ethiopia,iqr_over_median,1.5,253,228,11,7,0.6363636363636364,0.2916666666666667,0.614423076923077,941,960,19,104772,99599,101035,1436,0.950626121482839,0.9643320734547398,26,19
Ethiopia,iqr_over_median,2.0,253,228,11,8,0.7272727272727273,0.3244047619047619,0.9394540942928038,941,962,21,104772,99599,101101,1502,0.950626121482839,0.9649620127514985,28,21
Tanzania,max_over_min,1.1,353,321,14,0,0.0,,,74,74,0,3594,3540,3540,0,0.9849749582637729,0.9849749582637729,0,0
Tanzania,max_over_min,1.25,353,321,14,0,0.0,,,74,74,0,3594,3540,3540,0,0.9849749582637729,0.9849749582637729,0,0
Tanzania,max_over_min,1.5,353,321,14,0,0.0,,,74,74,0,3594,3540,3540,0,0.9849749582637729,0.9849749582637729,0,0
Tanzania,max_over_min,2.0,353,321,14,1,0.07142857142857142,2.0,2.0,74,74,0,3594,3540,3540,0,0.9849749582637729,0.9849749582637729,1,0
Tanzania,iqr_over_median,1.1,353,321,14,10,0.7142857142857143,0.43912540097295694,0.7868543956043955,74,74,0,3594,3540,3540,0,0.9849749582637729,0.9849749582637729,8,0
Tanzania,iqr_over_median,1.25,353,321,14,10,0.7142857142857143,0.43912540097295694,0.7868543956043955,74,74,0,3594,3540,3540,0,0.9849749582637729,0.9849749582637729,8,0
Tanzania,iqr_over_median,1.5,353,321,14,10,0.7142857142857143,0.43912540097295694,0.7868543956043955,74,74,0,3594,3540,3540,0,0.9849749582637729,0.9849749582637729,8,0
Tanzania,iqr_over_median,2.0,353,321,14,12,0.8571428571428571,0.44264475743348985,1.607136699507389,74,74,0,3594,3540,3540,0,0.9849749582637729,0.9849749582637729,9,0
Niger,max_over_min,1.1,289,65,10,0,0.0,,,137,137,0,216612,75571,75571,0,0.348877255184385,0.348877255184385,0,0
Niger,max_over_min,1.25,289,65,10,1,0.1,1.2345679012345678,1.2345679012345678,137,138,1,216612,75571,75601,30,0.348877255184385,0.34901575166657434,1,1
Niger,max_over_min,1.5,289,65,10,2,0.2,1.367283950617284,1.4734567901234568,137,138,1,216612,75571,75601,30,0.348877255184385,0.34901575166657434,1,1
Niger,max_over_min,2.0,289,65,10,3,0.3,1.5,1.9,137,139,2,216612,75571,75621,50,0.348877255184385,0.34910808265470056,4,2
Niger,iqr_over_median,1.1,289,65,10,9,0.9,0.45833333333333326,0.57,137,147,10,216612,75571,77508,1937,0.348877255184385,0.3578195113844108,12,10
Niger,iqr_over_median,1.25,289,65,10,9,0.9,0.45833333333333326,0.57,137,147,10,216612,75571,77508,1937,0.348877255184385,0.3578195113844108,12,10
Niger,iqr_over_median,1.5,289,65,10,10,1.0,0.46354166666666663,0.7404411764705879,137,149,12,216612,75571,77585,2014,0.348877255184385,0.3581749856886968,14,12
Niger,iqr_over_median,2.0,289,65,10,10,1.0,0.46354166666666663,0.7404411764705879,137,149,12,216612,75571,77585,2014,0.348877255184385,0.3581749856886968,14,12
Mali,max_over_min,1.1,405,215,11,0,0.0,,,649,649,0,300080,208347,208347,0,0.6943048520394561,0.6943048520394561,0,0
Mali,max_over_min,1.25,405,215,11,0,0.0,,,649,649,0,300080,208347,208347,0,0.6943048520394561,0.6943048520394561,0,0
Mali,max_over_min,1.5,405,215,11,1,0.09090909090909091,1.4,1.4,649,651,2,300080,208347,208371,24,0.6943048520394561,0.6943848307118102,2,2
Mali,max_over_min,2.0,405,215,11,5,0.45454545454545453,2.0,2.0,649,659,10,300080,208347,208538,191,0.6943048520394561,0.694941348973607,18,10
Mali,iqr_over_median,1.1,405,215,11,9,0.8181818181818182,0.45,0.9403333333333332,649,663,14,300080,208347,209068,721,0.6943048520394561,0.6967075446547587,24,14
Mali,iqr_over_median,1.25,405,215,11,9,0.8181818181818182,0.45,0.9403333333333332,649,663,14,300080,208347,209068,721,0.6943048520394561,0.6967075446547587,24,14
Mali,iqr_over_median,1.5,405,215,11,11,1.0,0.5,1.2999999999999996,649,668,19,300080,208347,212751,4404,0.6943048520394561,0.7089809384164223,29,19
Mali,iqr_over_median,2.0,405,215,11,11,1.0,0.5,1.2999999999999996,649,668,19,300080,208347,212751,4404,0.6943048520394561,0.7089809384164223,29,19
EthiopiaRHS,max_over_min,1.1,341,89,15,0,0.0,,,254,254,0,42089,26003,26003,0,0.6178098790657892,0.6178098790657892,0,0
EthiopiaRHS,max_over_min,1.25,341,89,15,3,0.2,1.2,1.24,254,258,4,42089,26003,26287,284,0.6178098790657892,0.6245574853287083,11,4
EthiopiaRHS,max_over_min,1.5,341,89,15,4,0.26666666666666666,1.225,1.425,254,258,4,42089,26003,26287,284,0.6178098790657892,0.6245574853287083,14,4
EthiopiaRHS,max_over_min,2.0,341,89,15,7,0.4666666666666667,1.5,2.0,254,259,5,42089,26003,26305,302,0.6178098790657892,0.6249851505143862,15,5
EthiopiaRHS,iqr_over_median,1.1,341,89,15,10,0.6666666666666666,0.2666666666666667,0.6281586021505376,254,261,7,42089,26003,26460,457,0.6178098790657892,0.6286678229466132,23,7
EthiopiaRHS,iqr_over_median,1.25,341,89,15,12,0.8,0.3380952380952382,1.0825320512820515,254,265,11,42089,26003,26907,904,0.6178098790657892,0.639288175057616,28,11
EthiopiaRHS,iqr_over_median,1.5,341,89,15,12,0.8,0.3380952380952382,1.0825320512820515,254,265,11,42089,26003,26907,904,0.6178098790657892,0.639288175057616,28,11
EthiopiaRHS,iqr_over_median,2.0,341,89,15,13,0.8666666666666667,0.39285714285714307,1.2243589743589745,254,265,11,42089,26003,26907,904,0.6178098790657892,0.639288175057616,28,11
GhanaLSS,max_over_min,1.1,396,74,11,2,0.18181818181818182,1.0,1.0,875,893,18,1680442,935610,939329,3719,0.556764232267463,0.5589773404854199,18,18
GhanaLSS,max_over_min,1.25,396,74,11,3,0.2727272727272727,1.0,1.16,875,903,28,1680442,935610,941590,5980,0.556764232267463,0.5603228198295448,28,28
GhanaLSS,max_over_min,1.5,396,74,11,3,0.2727272727272727,1.0,1.16,875,903,28,1680442,935610,941590,5980,0.556764232267463,0.5603228198295448,28,28
GhanaLSS,max_over_min,2.0,396,74,11,3,0.2727272727272727,1.0,1.16,875,903,28,1680442,935610,941590,5980,0.556764232267463,0.5603228198295448,28,28
GhanaLSS,iqr_over_median,1.1,396,74,11,5,0.45454545454545453,0.08333333333333333,0.5019688644688645,875,920,45,1680442,935610,942029,6419,0.556764232267463,0.5605840606221458,45,45
GhanaLSS,iqr_over_median,1.25,396,74,11,5,0.45454545454545453,0.08333333333333333,0.5019688644688645,875,920,45,1680442,935610,942029,6419,0.556764232267463,0.5605840606221458,45,45
GhanaLSS,iqr_over_median,1.5,396,74,11,5,0.45454545454545453,0.08333333333333333,0.5019688644688645,875,920,45,1680442,935610,942029,6419,0.556764232267463,0.5605840606221458,45,45
GhanaLSS,iqr_over_median,2.0,396,74,11,6,0.5454545454545454,0.28125000000000006,1.2510869505494506,875,920,45,1680442,935610,942029,6419,0.556764232267463,0.5605840606221458,45,45
