country,step2_floor,baseline_floor,cells_ju,rows_served_by_ju,share_of_inference_rows
EthiopiaRHS,5,5,254,19224,0.6691962265464546
EthiopiaRHS,5,10,247,19123,0.6656803703832631
EthiopiaRHS,5,20,208,16603,0.577958018588784
EthiopiaRHS,10,3,206,20009,0.696522435339576
EthiopiaRHS,10,5,192,18823,0.6552372332648728
EthiopiaRHS,10,10,187,18702,0.6510251679604553
EthiopiaRHS,10,20,159,16243,0.5654262540467156
EthiopiaRHS,20,3,148,19272,0.670867128485397
EthiopiaRHS,20,5,138,18176,0.6327148675462109
EthiopiaRHS,20,10,135,18106,0.6302781355519198
EthiopiaRHS,20,20,122,15578,0.5422773001009503
GhanaLSS,3,3,1107,677948,0.8045714556977048
GhanaLSS,3,5,1000,660545,0.7839180176117349
GhanaLSS,3,10,886,606515,0.7197965868362963
GhanaLSS,3,20,796,572709,0.679676485248392
GhanaLSS,5,3,962,677567,0.8041192945811872
GhanaLSS,5,5,875,660214,0.7835251952244191
GhanaLSS,5,10,783,606232,0.7194607296290143
GhanaLSS,5,20,701,572439,0.6793560561107024
GhanaLSS,10,3,778,676619,0.8029942322755216
GhanaLSS,10,5,703,659347,0.7824962616600603
GhanaLSS,10,10,636,605475,0.7185623412688994
GhanaLSS,10,20,572,571779,0.6785727848852389
GhanaLSS,20,3,653,675093,0.8011832142602834
GhanaLSS,20,5,595,658037,0.7809415869549737
GhanaLSS,20,10,538,604300,0.7171678811326576
GhanaLSS,20,20,488,570716,0.6773112435024091
