country,rows,survey_kg,metric,item_unit,item_unit_tight,unit,none,rows_refused,refused_to_unit,refused_to_none,item_rows,wave_spread_over_2x,single_wave,partition_ok,gate_invariant
Uganda,355571,0,182550,59744,718,112559,0,13571,13571,0,60462,24523,7452,True,True
Malawi,971531,419998,253347,225580,889,70726,991,26784,26784,0,226469,31054,143618,True,True
Nigeria,595725,166585,250905,125763,0,52461,11,40103,40103,0,125763,16585,57946,True,True
Ethiopia,325920,0,221148,86534,0,18103,135,11857,11857,0,86534,7750,11247,True,True
Tanzania,251613,0,248019,3532,0,62,0,0,0,0,3532,20,124,True,True
Niger,239031,0,22419,57013,30,159526,43,18550,18550,0,57043,170,29510,True,True
Mali,430271,0,130191,125854,0,172692,1534,82437,82437,0,125854,20082,70525,True,True
EthiopiaRHS,54693,0,12430,25837,249,13645,2532,0,0,0,26086,4571,3975,True,True
GhanaLSS,5259320,0,85963,504417,5980,925799,3737161,430967,430967,0,510397,0,510397,True,True
