wave,basis,seed,regime,partition,status,error,n_groups,n_fit_goods,n_fit_cells,fit_coverage,score_coverage,core_complete,core_mse,core_mean_error,outside_core_coverage,outside_core_mse,scale,origin,loading_spread,nonpositive_loadings,n_unidentified_markets,core_rmse,n_train,n_evaluation,n_comparison,comparison_weight_share,n_scored,n_warnings,train_score_coverage,n_train_scored,legacy_fit_coverage,legacy_n_fit_cells,legacy_n_fit_goods,legacy_error
2019-20,purchased,11,masked,fine,ok,,114,26,1662,0.886792453160864,0.9616260618387918,True,0.006004010344377959,-0.004522184732109238,0.7275095009881463,0.01996067528689584,1.7763093281823144,0.009607643231519985,0.502679615727362,0,0,0.07748554926163949,1857.0,1238.0,1095.0,0.859173298517322,1199.0,0.0,0.9656800539926312,1800.0,0.6655960593071307,1174.0,26.0,
2019-20,purchased,11,masked,curated,ok,,72,28,1679,0.8954414827934664,0.9616260618387918,True,0.006803462688529153,0.0008228602128578799,0.7275095009881463,0.014175695227743505,1.8309646339177237,0.0031569662053059166,0.5129071167301054,0,0,0.08248310547335831,1857.0,1238.0,1095.0,0.859173298517322,1199.0,0.0,0.9661397364857914,1803.0,0.7906938259742573,1452.0,28.0,
2019-20,purchased,11,substitutes,fine,ok,,114,26,1662,0.886792453160864,0.9616260618387918,True,0.007430782195536087,-0.008064620885493779,0.7275095009881463,0.028069295638016443,1.7681710962732309,0.010915353438587544,0.5006213077477056,0,0,0.0862019848700486,1857.0,1238.0,1095.0,0.859173298517322,1199.0,0.0,0.9656800539926312,1800.0,0.6655960593071307,1174.0,26.0,
2019-20,purchased,11,substitutes,curated,ok,,72,28,1679,0.8954414827934664,0.9616260618387918,True,0.005510555828870394,-0.0036582869536900525,0.7275095009881463,0.010073973255174099,1.8248632040526402,0.0047223835864013625,0.5071938424908733,0,0,0.07423311814056037,1857.0,1238.0,1095.0,0.859173298517322,1199.0,0.0,0.9661397364857914,1803.0,0.7906938259742573,1452.0,28.0,
2019-20,purchased,11,unequal,fine,ok,,114,26,1662,0.886792453160864,0.9616260618387918,True,0.00894294105393155,-0.009308980049526227,0.7275095009881463,0.028390813709085392,1.668759140054754,0.015059291666500078,0.6261462469791993,0,0,0.09456712459375906,1857.0,1238.0,1095.0,0.859173298517322,1199.0,0.0,0.9656800539926312,1800.0,0.6655960593071307,1174.0,26.0,
2019-20,purchased,11,unequal,curated,ok,,72,28,1679,0.8954414827934664,0.9616260618387918,True,0.007920952706804197,-0.00026804360055488423,0.7275095009881463,0.019967233977858236,1.7348233687269807,0.005396346159883742,0.546871045332141,0,0,0.08899973430749215,1857.0,1238.0,1095.0,0.859173298517322,1199.0,0.0,0.9661397364857914,1803.0,0.7906938259742573,1452.0,28.0,
2019-20,purchased,12,masked,fine,ok,,114,26,1655,0.8787067929174859,0.9527000801087543,True,0.0067601122634750885,-0.00019166464933248727,0.6384974640938871,0.03812242132298852,1.6656337556704912,-0.0049945116059732135,0.5003307219152188,0,0,0.08221990186977292,1857.0,1238.0,1102.0,0.8691574326783422,1194.0,0.0,0.9712337787157864,1804.0,0.6538612116298591,1167.0,26.0,
2019-20,purchased,12,masked,curated,ok,,72,28,1672,0.8928425676445423,0.9528978975013578,True,0.0075946694502925524,0.0019372090817836216,0.6400093374593586,0.027698191891552627,1.6795056260716767,-0.006835485584336494,0.5057521139112944,0,0,0.08714740070875639,1857.0,1238.0,1102.0,0.8691574326783422,1195.0,0.0,0.9716750312003418,1807.0,0.7701845918625336,1435.0,28.0,
2019-20,purchased,12,substitutes,fine,ok,,114,26,1655,0.8787067929174859,0.9527000801087543,True,0.007666193927007455,-0.0029194920910909166,0.6384974640938871,0.04301153961977867,1.6910789968986462,-0.001896343786721801,0.5060543362878733,0,0,0.08755680400178764,1857.0,1238.0,1102.0,0.8691574326783422,1194.0,0.0,0.9712337787157864,1804.0,0.6538612116298591,1167.0,26.0,
2019-20,purchased,12,substitutes,curated,ok,,72,28,1672,0.8928425676445423,0.9528978975013578,True,0.006334850714466102,-0.0003760245114948449,0.6400093374593586,0.029533295162615915,1.69292190076348,-0.004161983760296298,0.5079987615882917,0,0,0.07959177541973858,1857.0,1238.0,1102.0,0.8691574326783422,1195.0,0.0,0.9716750312003418,1807.0,0.7701845918625336,1435.0,28.0,
