seed,regime,partition,status,error,n_groups,n_fit_goods,n_fit_cells,fit_coverage,score_coverage,core_complete,core_mse,core_mean_error,outside_core_coverage,outside_core_mse,scale,origin,loading_spread,nonpositive_loadings,n_unidentified_markets,core_rmse
11,complete,fine,ok,,10,10,288,1.0,1.0,True,0.0037168562673304617,0.0033128263727351254,1.0,0.00376179993815903,0.5717564625657094,0.027796299976085726,0.3971614258748663,0,0,0.06096602551692591
11,complete,rare_pool,ok,,5,5,288,1.0,1.0,True,0.005381163951994901,0.0009068861994069364,1.0,0.005918759972741194,0.41021393780997367,0.041440544891475306,0.555892586017848,0,0,0.0733564172516277
11,complete,broad_pool,ok,,3,3,288,1.0,1.0,True,0.010863146942496004,0.005667215063697668,1.0,0.010233775961491404,0.24805543074521885,0.08595774139131995,0.31471176899966624,0,0,0.10422642151823118
11,substitutes,fine,ok,,10,5,225,0.78125,0.796875,True,0.008076003680755584,-0.0005535514189697458,0.15217391304347827,0.03752654010359547,0.4165508298820227,-0.0016788102991242906,0.5506889260643946,0,0,0.08986658823364546
11,substitutes,rare_pool,ok,,5,5,288,1.0,1.0,True,0.006166790310810474,0.001721926457430356,1.0,0.038744483973406595,0.38487760220823686,0.004397098850182395,0.550148565285292,0,0,0.0785289138522269
11,substitutes,broad_pool,ok,,3,3,288,1.0,1.0,True,0.020100612306361582,-0.015987609794034217,1.0,0.2544577020682097,0.233697142558995,0.6612420889055707,0.9266397315926075,0,0,0.14177662820917128
11,unequal,fine,ok,,10,5,225,0.78125,0.796875,True,0.00942111051875877,0.0004120984549854502,0.15217391304347827,0.017896308268370714,0.712114816630107,-0.004465656665798013,0.8670446917451333,0,0,0.09706240528010199
11,unequal,rare_pool,ok,,5,5,288,1.0,1.0,True,0.008904049487130005,0.003667622785190779,1.0,0.06544057401478531,0.4250733755380514,0.01818730923172807,0.6087317665874316,0,0,0.09436127111866396
11,unequal,broad_pool,ok,,3,3,288,1.0,1.0,True,0.021406990058387664,-0.015406780301313223,1.0,0.24461437602547556,0.25944197610284253,0.5523636827926167,1.024355520258834,0,0,0.14631127796033927
11,unreported,fine,ok,,10,5,228,0.7916666666666666,0.8125,True,0.007194216224964834,-0.0018524727436581335,0.21739130434782608,0.06377183468595284,0.3787731482126493,-0.007109457310376901,0.6001504719340921,0,0,0.08481872567402103
11,unreported,rare_pool,ok,,5,5,263,0.9131944444444444,0.9322916666666666,True,0.014765700412731952,0.012109234041688028,0.717391304347826,0.11362560326557412,0.4115914846140772,-0.05475527291624576,0.6406766918724356,0,0,0.12151419839974238
11,unreported,broad_pool,ok,,3,3,263,0.9131944444444444,0.9322916666666666,True,0.028885779672473563,0.01310556538847032,0.717391304347826,0.2589166197703121,0.27894991890655507,0.26779519901449456,0.7887383704564384,0,0,0.16995817036104374
12,complete,fine,ok,,10,10,288,1.0,1.0,True,0.00568658451789218,0.004256557228968942,1.0,0.005478141106114577,0.5358514718397491,0.009042751912237353,0.4122074442039202,0,0,0.0754094458134535
12,complete,rare_pool,ok,,5,5,288,1.0,1.0,True,0.006256902778434804,0.008004686984525711,1.0,0.006527041127788794,0.38358085408319925,0.010561842407221508,0.5736815662360657,0,0,0.07910058646075138
12,complete,broad_pool,ok,,3,3,288,1.0,1.0,True,0.009325299722410344,0.01583997470323928,1.0,0.009961819534050056,0.2347976828904155,0.010195848660952111,0.33466308494184727,0,0,0.09656759147048426
12,substitutes,fine,ok,,10,5,238,0.8263888888888888,0.7291666666666666,True,0.009792960205247551,0.012460355715633658,0.13333333333333333,0.09992029738200087,0.3085157523488122,-0.0008519656328491253,0.6195379831695197,0,0,0.09895938664546962
12,substitutes,rare_pool,ok,,5,5,288,1.0,1.0,True,0.007879226655095805,0.0035926411804988057,1.0,0.03038195838911746,0.33325955349200354,0.0024099723180402268,0.5893489847578521,0,0,0.08876500805551592
12,substitutes,broad_pool,ok,,3,3,288,1.0,1.0,True,0.03302440312516217,0.008841473537472982,1.0,0.21682334861698657,0.20426713758186751,0.5612009816725062,0.992210103615155,0,0,0.1817261762244564
12,unequal,fine,ok,,10,5,238,0.8263888888888888,0.7291666666666666,True,0.012262831927446143,0.014601708284379337,0.13333333333333333,0.05002192267522067,0.3699147694205373,0.02230941040648897,1.050766102142271,0,0,0.1107376716724988
12,unequal,rare_pool,ok,,5,5,288,1.0,1.0,True,0.012720872827918759,0.004733819817413443,1.0,0.056937744414626026,0.3593806432056403,0.010805794530811257,0.6783020876048987,0,0,0.11278684687461903
12,unequal,broad_pool,ok,,3,3,288,1.0,1.0,True,0.03602632005634923,0.010686743359800813,1.0,0.19772963389484807,0.21986187803615886,0.47861334791208054,1.1137590057619537,0,0,0.18980600637585004
12,unreported,fine,ok,,10,5,240,0.8333333333333334,0.734375,True,0.00941112644113015,0.011832555058969699,0.15,0.08614386666557133,0.3202698281370391,0.003372910715928367,0.5743038651126771,0,0,0.09701096041752268
12,unreported,rare_pool,ok,,5,5,271,0.9409722222222222,0.9114583333333334,True,0.012894190454614787,0.0015258238839335348,0.7166666666666667,0.06414670776467696,0.34999688433432824,-0.018970640700010828,0.6212734610827051,0,0,0.1135525889384068
