draw,j,status,beta_anchor_units,n_observations,n_fit_reference,error
16,"Cassava (white, flour)",ok,2.289535341864687,2378,9,
16,"Cassava (yellow, flour)",ok,0.7950080561520081,237,9,
16,Macaroni,ok,0.917946987097937,192,9,
16,Spaghetti,ok,0.8922855216752918,264,9,
16,Sugar (cubed),ok,1.5197962961588132,189,9,
16,Sugar (granulated),ok,1.9656353134326499,4774,9,
17,"Cassava (white, flour)",ok,2.3278867109286665,2379,9,
17,"Cassava (yellow, flour)",ok,1.2582723142958119,239,9,
17,Macaroni,ok,0.5802640195757846,182,9,
17,Spaghetti,ok,0.644704326350873,292,9,
17,Sugar (cubed),ok,1.6554292023614077,194,9,
17,Sugar (granulated),ok,2.0329020809590665,4770,9,
18,"Cassava (white, flour)",ok,2.3211061296564885,2336,9,
18,"Cassava (yellow, flour)",ok,0.5319095533575492,264,9,
18,Macaroni,ok,0.6057779753011013,158,9,
18,Spaghetti,ok,0.810176387779491,317,9,
18,Sugar (cubed),ok,1.9506851870343516,185,9,
18,Sugar (granulated),ok,1.9150921828136747,4753,9,
19,"Cassava (white, flour)",ok,2.186898569552435,2296,9,
19,"Cassava (yellow, flour)",ok,0.7689215160890078,249,9,
19,Macaroni,ok,1.052582950484097,200,9,
19,Spaghetti,ok,0.525255288356894,262,9,
19,Sugar (cubed),ok,2.348672497752705,158,9,
19,Sugar (granulated),ok,2.2560881016695093,4692,9,
20,"Cassava (white, flour)",ok,2.7712707944466137,2321,9,
20,"Cassava (yellow, flour)",ok,0.9145406053187739,267,9,
20,Macaroni,ok,0.89909364173802,183,9,
20,Spaghetti,ok,1.0163728310071016,314,9,
20,Sugar (cubed),ok,1.372839500176932,179,9,
20,Sugar (granulated),ok,2.2418908083963034,4779,9,
21,"Cassava (white, flour)",ok,2.2576546333198935,2246,9,
21,"Cassava (yellow, flour)",ok,1.5899752721789255,219,9,
21,Macaroni,ok,0.5406955881091763,200,9,
21,Spaghetti,ok,0.47678260629560637,310,9,
21,Sugar (cubed),ok,0.9881880937733916,195,9,
21,Sugar (granulated),ok,2.071114716880991,4683,9,
22,"Cassava (white, flour)",ok,2.3181312163437484,2369,9,
22,"Cassava (yellow, flour)",ok,0.5611788289437393,228,9,
22,Macaroni,ok,0.6655517650662759,202,9,
22,Spaghetti,ok,0.8254036852879058,368,9,
22,Sugar (cubed),ok,2.0901141892445994,178,9,
22,Sugar (granulated),ok,2.102664320312153,4903,9,
23,"Cassava (white, flour)",ok,2.1719418327714326,2351,9,
23,"Cassava (yellow, flour)",ok,0.7622696576521562,225,9,
23,Macaroni,ok,0.7612847104480743,203,9,
23,Spaghetti,ok,0.5322665460257459,309,9,
23,Sugar (cubed),ok,1.6997005154898006,198,9,
23,Sugar (granulated),ok,1.9754293703048413,4809,9,
24,"Cassava (white, flour)",ok,1.9590689571549413,2305,9,
24,"Cassava (yellow, flour)",ok,0.4948489311406668,258,9,
24,Macaroni,ok,0.6900308683353478,189,9,
24,Spaghetti,ok,0.8869132833810506,290,9,
24,Sugar (cubed),ok,1.740666209794717,203,9,
24,Sugar (granulated),ok,1.9616989511727452,4840,9,
25,"Cassava (white, flour)",ok,2.2406782102823284,2348,9,
25,"Cassava (yellow, flour)",ok,0.5216670160048343,229,9,
25,Macaroni,ok,0.8482646332816114,199,9,
25,Spaghetti,ok,0.7659337970253512,285,9,
25,Sugar (cubed),ok,1.1016070862737217,187,9,
25,Sugar (granulated),ok,2.034163629825732,4666,9,
26,"Cassava (white, flour)",ok,2.2783041904981376,2273,9,
26,"Cassava (yellow, flour)",ok,0.9214169812450659,299,9,
26,Macaroni,ok,1.2433166620699392,187,9,
26,Spaghetti,ok,0.7527513020920084,297,9,
26,Sugar (cubed),ok,2.9396679892218316,182,9,
26,Sugar (granulated),ok,2.2097821879948882,4642,9,
27,"Cassava (white, flour)",ok,2.2662018234419485,2334,9,
27,"Cassava (yellow, flour)",ok,1.2235611331084215,263,9,
27,Macaroni,ok,0.5762621506728731,183,9,
27,Spaghetti,ok,0.8146151948908538,315,9,
27,Sugar (cubed),ok,1.9519444205999896,186,9,
27,Sugar (granulated),ok,2.029767167074138,4665,9,
28,"Cassava (white, flour)",ok,2.4345880605122816,2249,9,
28,"Cassava (yellow, flour)",ok,0.9119507065897888,230,9,
28,Macaroni,ok,0.8350804542173732,197,9,
28,Spaghetti,ok,0.7393733115564438,300,9,
28,Sugar (cubed),ok,1.4282318075651645,217,9,
28,Sugar (granulated),ok,2.256951938985669,4681,9,
29,"Cassava (white, flour)",ok,2.65742027432038,2328,9,
29,"Cassava (yellow, flour)",ok,1.315560883573921,221,9,
29,Macaroni,ok,0.7662591926625772,150,9,
29,Spaghetti,ok,0.9869738538762742,318,9,
29,Sugar (cubed),ok,1.6176525976205516,195,9,
29,Sugar (granulated),ok,1.888422231618571,4688,9,
30,"Cassava (white, flour)",ok,2.186662693149638,2356,9,
30,"Cassava (yellow, flour)",ok,0.4382113726902062,251,9,
30,Macaroni,ok,1.0181671357903848,222,9,
30,Spaghetti,ok,0.6690165401106728,318,9,
30,Sugar (cubed),ok,2.0907409045549863,241,9,
30,Sugar (granulated),ok,2.1866401381411493,4737,9,
31,"Cassava (white, flour)",ok,2.707465749500424,2293,9,
31,"Cassava (yellow, flour)",ok,0.9794096022142446,313,9,
31,Macaroni,ok,0.9491068444171274,192,9,
31,Spaghetti,ok,0.42162307654296893,312,9,
31,Sugar (cubed),ok,2.399021936457764,198,9,
31,Sugar (granulated),ok,2.1598744958320584,4697,9,
32,"Cassava (white, flour)",ok,2.814321112240761,2331,9,
32,"Cassava (yellow, flour)",ok,1.4414496182864032,285,9,
32,Macaroni,ok,0.9282662299522977,204,9,
32,Spaghetti,ok,0.8448885105480506,293,9,
32,Sugar (cubed),ok,2.178514541331913,207,9,
32,Sugar (granulated),ok,2.422815791480811,4791,9,
33,"Cassava (white, flour)",ok,2.4788628475082977,2421,9,
33,"Cassava (yellow, flour)",ok,0.9469371483379183,308,9,
33,Macaroni,ok,0.9776114568013152,173,9,
33,Spaghetti,ok,0.6875934473162483,323,9,
33,Sugar (cubed),ok,2.5213303429265705,190,9,
33,Sugar (granulated),ok,2.015709872740029,4660,9,
34,"Cassava (white, flour)",ok,2.4785883627625385,2330,9,
34,"Cassava (yellow, flour)",ok,0.7599603022389838,231,9,
34,Macaroni,ok,0.6235583833279282,186,9,
34,Spaghetti,ok,0.5084088028039786,325,9,
34,Sugar (cubed),ok,1.127248466128452,171,9,
34,Sugar (granulated),ok,2.086449237909203,4616,9,
35,"Cassava (white, flour)",ok,2.4144809788036907,2357,9,
35,"Cassava (yellow, flour)",ok,1.6968513050045493,271,9,
35,Macaroni,ok,1.0155398103645483,178,9,
35,Spaghetti,ok,0.7580766631013914,328,9,
35,Sugar (cubed),ok,1.4681745515715428,213,9,
35,Sugar (granulated),ok,2.0886918408010153,4744,9,
36,"Cassava (white, flour)",ok,2.2674776646308574,2408,9,
36,"Cassava (yellow, flour)",ok,0.9995902609354109,202,9,
36,Macaroni,ok,0.5525733637410106,163,9,
36,Spaghetti,ok,0.9051915800207012,283,9,
36,Sugar (cubed),ok,1.4034141426073952,183,9,
36,Sugar (granulated),ok,2.0078412696525354,4710,9,
37,"Cassava (white, flour)",ok,2.2610597057187944,2349,9,
37,"Cassava (yellow, flour)",ok,1.1070729232871386,238,9,
37,Macaroni,ok,0.8393976235680227,172,9,
37,Spaghetti,ok,0.5112232068438605,299,9,
37,Sugar (cubed),ok,1.6500904088174697,178,9,
37,Sugar (granulated),ok,2.131361621237562,4836,9,
38,"Cassava (white, flour)",ok,2.3929902122157802,2317,9,
38,"Cassava (yellow, flour)",ok,0.9050195457083998,266,9,
38,Macaroni,ok,1.0154879578635783,174,9,
38,Spaghetti,ok,0.6568237141727002,285,9,
38,Sugar (cubed),ok,2.139598896012713,175,9,
38,Sugar (granulated),ok,1.9304742275175348,4639,9,
39,"Cassava (white, flour)",ok,2.4174786763798806,2277,9,
39,"Cassava (yellow, flour)",ok,1.1386198063854616,257,9,
39,Macaroni,ok,1.166561890774694,168,9,
39,Spaghetti,ok,0.8219744053921492,300,9,
39,Sugar (cubed),ok,1.6021269485589382,224,9,
39,Sugar (granulated),ok,2.209172801869515,4596,9,
40,"Cassava (white, flour)",ok,2.0809103178706017,2283,9,
40,"Cassava (yellow, flour)",ok,0.8473501916230911,245,9,
40,Macaroni,ok,0.6207467402424497,190,9,
40,Spaghetti,ok,0.9079629094545897,287,9,
40,Sugar (cubed),ok,1.6593205591418712,169,9,
40,Sugar (granulated),ok,1.711506523415371,4666,9,
41,"Cassava (white, flour)",ok,2.313046116058018,2365,9,
41,"Cassava (yellow, flour)",ok,0.7780875941904197,289,9,
41,Macaroni,ok,0.8598005144924155,192,9,
41,Spaghetti,ok,0.5153848343725275,322,9,
41,Sugar (cubed),ok,1.6224424538970743,178,9,
41,Sugar (granulated),ok,2.2996663816965537,4841,9,
42,"Cassava (white, flour)",ok,2.085158409752851,2211,9,
42,"Cassava (yellow, flour)",ok,1.2889158833373042,221,9,
42,Macaroni,ok,0.5043983892616515,170,9,
42,Spaghetti,ok,0.5460810804389403,273,9,
42,Sugar (cubed),ok,1.6086753113798216,200,9,
